source,target,coef_abs
rxraa,apoc1,0.1279065
tbr1b,apoc1,0.07507309
sox5,apoeb,0.06883863
nr2f6b,mdka,0.05628865
rarga,apoc1,0.05562314
irx3a,mdka,0.044472862
sox11b,mdka,0.043720167
eomesa,apoc1,0.04361613
foxd1,histh1l,0.043594904
rarga,rxraa,0.043574568
etv4,apoeb,0.042102978
rfx4,tenm4,0.041940205
rorb,apoc1,0.04099151
nr6a1b,apoc1,0.040172867
hmga1a,rrm2,0.039112862
foxf2b,histh1l,0.03880328
rxraa,cxcl12b,0.037031546
hmga1a,hmgb2b,0.036328904
dbx1a,rpl3,0.03592698
nr2f1b,apoc1,0.03508354
irx1b,egfl6,0.034900073
creb5b,mdka,0.03419052
irx1b,actc1b,0.033966735
msx1a,rpl3,0.033599738
six1b,col1a1a,0.033373065
sox21a,mdka,0.033003967
hmga1a,stmn1a,0.032757673
irx3a,rpl3,0.03227814
nkx3-1,hmgb2b,0.032067318
meis1a,id1,0.031851195
irx3a,rrm2,0.031356525
hoxb8a,rpl3,0.030548342
sox21a,id1,0.030492635
fosaa,tenm4,0.030467613
meis1a,rxraa,0.030326052
irx3a,histh1l,0.02995333
sox21a,actc1b,0.029914744
zic2b,histh1l,0.02984254
rarga,cxcl12b,0.029720021
irx1b,fgfr2,0.028992023
tbr1b,apoeb,0.028832523
mafbb,mdka,0.028787985
irx1b,mdka,0.02878285
irx3a,nucks1a,0.0284484
irx3a,hmgb2b,0.028289367
nr2f1b,tenm4,0.028168427
hoxa2b,tpt1,0.028069615
hoxb3a,tenm4,0.027971197
barhl1b,tenm4,0.027751265
tfap2b,histh1l,0.027583376
irx3a,egfl6,0.02756719
msx1b,mdkb,0.02748454
meis3,id1,0.027154628
nkx2.4a,id1,0.026986454
foxi2,rpl3,0.026793443
otpa,hmgb2b,0.026771076
irx1b,tenm4,0.026747348
hoxa2b,rps20,0.026737157
pbx1a,mdka,0.026637543
irx3a,pax7a,0.026493032
myod1,rxraa,0.026434626
irx7,mdka,0.026100775
raraa,apoc1,0.02602051
si:ch211-153j24.3,apoeb,0.025983827
nr2f6b,si:ch73-21g5.7,0.025885377
irx1b,rpl3,0.02574705
atoh1a,id1,0.025578998
nkx2.4b,id1,0.02553896
hmga1a,rplp0,0.025511913
sox1b,mdka,0.025340969
foxd1,rpl3,0.02521071
tbx18,efemp2b,0.025115287
msx3,mdkb,0.024876606
si:ch211-153j24.3,mdka,0.024757521
twist1b,pmp22a,0.024650209
erfl1,apoeb,0.024626156
pknox2,fgfr2,0.024606582
atoh1a,si:ch73-21g5.7,0.024567049
sox18,actc1b,0.024503991
lhx9,mdkb,0.02431142
sox13,mdka,0.02430621
jun,mdka,0.024245668
jun,rps20,0.024157634
vax1,serbp1a,0.024121987
nr2f6b,rplp0,0.024061387
erfl1,rxraa,0.024048338
hoxd9a,rpl3,0.02396992
hoxc6b,col5a2a,0.023853421
