source,target,coef_abs
foxg1a,pmp22a,0.022478916
bhlhe41,si:ch211-121a2.2,0.022391306
pax6b,mibp2,0.022390122
phox2bb,tmsb4x,0.02238013
hmx4,serbp1a,0.022377357
sox11a,stmn1a,0.022373812
hoxa4a,mdkb,0.022367105
sox11a,cirbpa,0.022366643
meis2a,cdh6,0.02236409
nr2f1b,epha4b,0.022359097
sox21a,hsp90ab1,0.02232606
bhlhe40,fabp11a,0.022312524
nr5a1b,apoc1,0.022268698
lef1,cirbpa,0.022229712
irx6a,mibp2,0.02222863
sox21a,ptmab,0.022199389
etv4,apoeb,0.022193106
atf3,hbae1.3,0.02216977
bcl11ab,tenm4,0.022155194
pax7b,cntfr,0.022142546
vsx1,fabp7a,0.022132851
hoxc6b,col5a2a,0.022130068
rx3,fabp7a,0.022066843
tp73,pcna,0.022030244
phox2bb,ptmab,0.022015037
hoxa2b,fabp7a,0.022003524
rx3,ptmab,0.021979542
barhl1a,ptprfb,0.021956531
meis2a,tenm4,0.021948176
foxf2b,hmgn2,0.021942647
runx3,actb2,0.021921443
foxf2b,actb1,0.021859452
barx1,qkia,0.021820197
sox11a,hmga1a,0.021802653
six3b,cirbpa,0.021787709
hmx4,dkc1,0.021755738
rx3,hmga1a,0.021585831
rx3,ptmaa,0.021553608
sox21a,hmgn2,0.021523502
nkx2.5,pax3a,0.021447785
sox21a,hmgb2a,0.021431075
twist1b,pmp22a,0.021425618
nkx2.4b,sox11a,0.021402175
thrab,hbbe1.3,0.021391878
her9,ptmab,0.021381235
twist1a,ncl,0.021252666
etv4,serbp1a,0.02122248
hmga1a,ccnd1,0.021199826
sox1a,cirbpa,0.021181636
arxb,pcdh19,0.021154609
foxi2,mibp2,0.021099068
pax6b,hspe1,0.021009373
en2a,hspe1,0.020997873
barx1,hspe1,0.0209708
rfx4,bcam,0.020929763
pax6a,tmsb,0.020906882
nr2f1b,serbp1a,0.020852229
bhlhe41,mibp2,0.02084754
pknox2,cntfr,0.020793445
barx1,hsp90ab1,0.020791508
foxg1d,nop56,0.020784035
sox10,fabp7a,0.020780336
sox11a,hspa8,0.020780126
mafbb,mycn,0.020714076
irx6a,nop58,0.020702887
foxf2b,mibp2,0.020693293
tbx16,cdon,0.02067388
rx1,nop56,0.020600287
tbx18,slc1a3a,0.020592026
sox21a,actb1,0.020574993
sox5,apoeb,0.020569986
her6,twist1a,0.020510927
sox21a,mibp2,0.020495048
hoxc3a,hoxb3a,0.020494783
egr2b,cirbpa,0.020486869
six3b,npm1a,0.020460723
sox1b,stmn1a,0.020444805
tp53,pabpc1a,0.020420859
tfap2a,marcksl1a,0.020383954
vsx1,ptmaa,0.02038177
sox11b,mki67,0.020373471
rxraa,bcam,0.020373056
thrab,hbae3,0.020366378
irx6a,dkc1,0.020351944
foxi3a,nop56,0.020320868
rx3,tmsb4x,0.020298047
nkx2.7,pax3a,0.020296598
lef1,slc1a3a,0.020291746
nkx2.5,hsp90ab1,0.020245435
en2a,prmt1,0.020227525
tbx16,agrn,0.02022668
dlx5a,cirbpa,0.020217894
rorb,pabpc1a,0.020214725
foxa,serbp1a,0.0201806
sox10,hspa8,0.02016491
tbx2b,pa2g4a,0.0201482
phox2bb,pcna,0.020142268
