timepoint_code,somite_stage,timepoint_name
TDR126,0,timepoint_00_somites
TDR127,5,timepoint_05_somites
TDR128,10,timepoint_10_somites
TDR118,15,timepoint_15_somites
TDR125,20,timepoint_20_somites
TDR124,30,timepoint_30_somites
