source,target,coef_abs
sox6,actc1b,0.0811588
foxd3,sox6,0.073196866
meis1a,mef2cb,0.06918888
sox13,actc1b,0.068334915
tfap2a,myo1cb,0.06741126
pax5,actc1b,0.059697643
pax6b,actc1b,0.05638812
myog,myl1,0.05036893
irx7,actc1b,0.050165433
myog,tnni2b.1,0.048929434
zic3,histh1l,0.047565434
hmga1a,rrm2,0.04744574
tfap2c,myo1cb,0.04453356
jun,mdka,0.04425552
myog,mef2d,0.043420218
meis1a,hhatla,0.042988624
myog,nexn,0.04078778
foxd3,kcnma1a,0.03994194
nr2f6b,mdka,0.03991564
irx7,mdka,0.03958063
FQ377628.1,actc1b,0.03949383
foxd1,histh1l,0.03940154
pbx3b,mdka,0.039214708
foxd3,myl1,0.038750306
rfx4,tenm4,0.038550682
sox14,actc1b,0.03839619
runx1,sox6,0.038260236
bhlhe40,mef2cb,0.03797699
klf7b,actc1a,0.037675124
nr6a1b,mef2d,0.037252057
irx3a,histh1l,0.036881436
esr1,mef2d,0.03662056
tfap2b,histh1l,0.035702787
pknox2,histh1l,0.035535175
irx1b,mdka,0.035158936
fosaa,tenm4,0.034532502
irx1b,histh1l,0.034153618
six6a,tenm4,0.03384079
nfic,pcdh7b,0.03383951
hey2,mef2cb,0.03361979
atf3,mef2cb,0.033280212
myod1,mef2d,0.03310321
zic2a,mef2cb,0.032192715
rxraa,apoc1,0.032021202
hoxb3a,tenm4,0.031882115
sox6,nexn,0.031835247
myod1,tnni2b.1,0.03152203
meis3,tenm4,0.031280875
irx7,tenm4,0.031196354
meis1a,sox6,0.030866427
wt1a,mef2d,0.03056274
gata6,rpl3,0.030540874
FQ377628.1,id1,0.030492026
hmga1a,hmgb2b,0.030347712
pax6a,actc1b,0.029955927
phox2bb,rpl3,0.02981795
nr2f6b,apoc1,0.029608395
sox18,actc1b,0.029557021
nfic,col1a1a,0.029454906
gsx1,tenm4,0.029371023
irx1b,rrm2,0.029182121
nr2f1b,apoc1,0.029169865
sp8a,id1,0.028920902
sox1b,actc1b,0.028348515
foxd3,myhz2,0.028262982
irx3a,rrm2,0.028022382
myog,kcnma1a,0.027978282
zbtb18,sox6,0.027951982
sox21a,mdka,0.02794118
jun,ckmb,0.027899452
hmga1a,apoc1,0.027739957
irx1b,cdon,0.027707763
irx1b,id1,0.027468108
msx1a,rpl3,0.027436346
hoxd11a,rpl3,0.027422318
pax2a,id1,0.027412955
hoxb5b,tenm4,0.027406346
irf9,mef2cb,0.027277354
mafbb,mybphb,0.026939027
six4b,col1a1a,0.026781818
tlx3b,tenm4,0.026676541
hoxd11a,hmgb2b,0.026646482
zic1,mef2cb,0.026574202
dmrt2a,mef2cb,0.026331604
hoxb8a,rpl3,0.026025694
lhx9,hmgb2b,0.025883775
foxn3,col1a2,0.025601208
foxd1,myl1,0.025574408
irx1b,apoc1,0.025562873
etv4,rpl3,0.02540457
foxd3,cdh15,0.025400026
irx1b,rpl3,0.025298819
irx3a,mdka,0.025277255
sp5l,slc1a3a,0.025241155
mef2d,ryr1b,0.025127305
pax5,id1,0.02508321
FQ377628.1,mdka,0.024950208
mef2ca,ryr1b,0.024826266
tfap2b,hmgb2b,0.024801176
atoh1a,id1,0.024688581
myog,desma,0.024464173
foxd3,eya1,0.024344856
spi1b,hhatla,0.024269514
raraa,apoc1,0.024221512
bsx,pcdh7b,0.024213037
thrab,apoc1,0.024143113
rorb,epha4b,0.02408749
atf3,rpl3,0.023911778
mef2cb,atp2a1,0.023883527
mafba,mef2d,0.023799019
ascl1a,nucks1a,0.023749366
en2b,rpl3,0.02370606
cdx4,hmgb2b,0.023692664
mef2aa,atp2a1,0.023628533
mef2cb,ryr1b,0.023626674
tbx16,tenm4,0.023531303
mef2aa,ryr1b,0.023466324
foxd3,cygb1,0.023260027
lef1,id1,0.023159986
tcf21,tnni2b.1,0.023140717
msx1b,rpl3,0.023109244
myog,qkia,0.0230248
myog,serbp1a,0.022935802
sox18,id1,0.02290123
runx2b,tenm4,0.022845885
tbx5b,cdon,0.02256771
sox1b,mdka,0.0225191
egr2a,id1,0.02251827
irx1b,rbm28,0.022397129
jun,tpt1,0.022375068
rorb,fabp11a,0.022360563
sox6,eya1,0.022359282
bsx,mybphb,0.022297317
sox11b,actc1b,0.022269215
meis3,mef2d,0.022220874
phox2bb,hmgb2b,0.022052327
meis2a,cdh6,0.022045758
egr2a,cdon,0.021926025
foxi2,mcm2,0.021882916
hoxd9a,rpl3,0.021874595
zic1,histh1l,0.021874497
atf3,ckmb,0.021808378
irx3a,tenm4,0.021792714
foxi2,rpl3,0.021790622
mef2ca,atp2a1,0.021715112
meis2a,mef2cb,0.021685129
isl2a,nop56,0.021649534
sp5l,id1,0.02154481
shox2,hmgb2b,0.021474244
rfx4,boc,0.02142571
nr6a1b,mdka,0.021399435
fli1a,rpl3,0.021368232
klf1,actc1a,0.021292854
foxi2,rplp0,0.021229943
otpa,rpl3,0.021189246
rarga,tenm4,0.021147687
meis1a,col1a2,0.021136196
tbx18,cdh15,0.02109005
irx1b,hmgb2b,0.021060536
sox6,ryr1b,0.020967739
meox1,stmn1a,0.020952972
meis3,histh1l,0.020938434
meis1a,histh1l,0.020915609
pax6b,id1,0.020908985
meis1a,myl1,0.020903071
etv2,mef2d,0.020871848
klf7b,tnnc2,0.020859463
bsx,kcnma1a,0.020854063
uncx,rpl3,0.020824881
sox1b,id1,0.02082453
sox7,id1,0.02079912
scrt1a,id1,0.020761365
six6b,tenm4,0.02075306
raraa,tenm4,0.020686062
etv2,marcksl1a,0.020654527
hoxb8a,hmgb2b,0.02062844
meis3,mef2cb,0.020623665
uncx,snu13b,0.020605696
foxg1d,rps20,0.020596508
sp5l,mef2d,0.020583233
pknox2,fgfr2,0.020522453
cdx4,rpl3,0.020489162
foxa1,pax7a,0.020466408
otpa,hmgb2b,0.020447267
irx7,serbp1a,0.020418148
rxraa,bcam,0.02034339
en1a,rpl3,0.02031324
myod1,nexn,0.020283809
klf7b,myhz2,0.020233192
ascl1a,hmgb2b,0.020210685
rxrgb,slc1a3a,0.020199439
hoxd11a,rplp0,0.020191608
pax6a,fgfr2,0.020161105
nr2e1,mef2d,0.020128712
tbx3a,serbp1a,0.020117547
phox2bb,hspa8,0.02005248
foxd3,atp2a1,0.020038696
hoxb6b,marcksl1a,0.02000371
foxi2,rps20,0.019994214
foxd3,sh3d19,0.01995081
foxd3,aimp1b,0.019871809
tfap2b,marcksl1a,0.019868394
irx6a,mef2cb,0.019862983
six6b,sox6,0.01978981
irx7,tnni2b.1,0.019766651
foxi2,serbp1a,0.019686302
foxd3,tmem38a,0.019621762
irx3a,mef2cb,0.019591345
klf7b,mef2d,0.019507112
foxd3,jam2a,0.019484116
pknox2,hmgb2b,0.019406904
sox6,slc6a8,0.01940436
klf7b,desma,0.01938921
lhx9,rplp1,0.01938371
sox6,crip2,0.019378278
msx1b,neo1a,0.01936854
myog,histh1l,0.01932835
tbx5b,tenm4,0.019324953
fli1a,epha4b,0.01932374
msx3,mdkb,0.019322854
tlx3b,mdkb,0.019188747
rxrgb,mdka,0.019170512
en1a,tpt1,0.019159496
atf3,mdka,0.019115096
hmga1a,stmn1a,0.01908616
pknox2,pax6a,0.019062294
dbx1a,rpl3,0.01905005
tlx3b,tpt1,0.019023098
phox2bb,ppiaa,0.019003859
six1b,col1a1a,0.01896094
foxd3,traf4a,0.018953571
etv4,tpt1,0.018944968
sox1b,tuba1a,0.018939627
egr2a,serbp1a,0.018934868
msx1a,hmgb2b,0.018920673
foxn3,cdon,0.018857572
thrab,epha4b,0.018840712
lbx1b,rpl3,0.018790798
si:ch211-153j24.3,tenm4,0.018783813
foxo3b,svila,0.01878122
en2b,hmgb2b,0.018766666
hoxb6b,hmgb2b,0.01867671
meis1a,pcdh7b,0.018633401
meox1,tenm4,0.018588105
phox2bb,rpl12,0.018571256
foxg1d,rpl3,0.018520048
myog,hsp90aa1.1,0.018511722
jun,rps20,0.018464033
sox6,qkia,0.018455908
pax6b,mef2cb,0.018410604
zic2b,mibp2,0.018407756
arxb,rpl3,0.018401025
zic3,mef2cb,0.018378776
foxi2,rplp1,0.01835837
foxg1d,serbp1a,0.018301489
arxb,fabp11a,0.018278567
foxg1d,mcm2,0.018274939
hoxd9a,hspa8,0.018261187
meis1a,klhl41b,0.018261079
myog,ckma,0.018245619
hmga1a,rplp0,0.018160067
etv4,serbp1a,0.018154869
dlx2a,tenm4,0.018152183
foxg1d,rplp0,0.018146534
jun,rplp0,0.018145956
lhx9,rps20,0.018143134
phox2bb,rpsa,0.018119639
nkx2.1,ppiaa,0.018046862
nkx2.2b,pax7a,0.017978093
meis3,hhatla,0.017961837
dlx5a,rps20,0.017922085
pbx3b,hmgb2b,0.017920252
myog,id1,0.017881377
creb5b,sox11a,0.017866295
meox1,rps20,0.017859055
gsx1,stmn1a,0.017837508
sp9,fgfr2,0.017835798
msx1b,mdkb,0.01780781
otpa,rps20,0.017802848
mafbb,pcdh7b,0.017794628
sox11a,id1,0.01779031
hoxd11a,pcna,0.017780583
msx3,rpl3,0.017739974
foxd3,crip2,0.0176818
nr2f6b,hmgb2b,0.017649477
gsx1,pcdh19,0.017614203
rx3,hmgb2b,0.017609986
phox2bb,tpt1,0.01760848
meis1a,rgs3a,0.017565966
rx3,fabp7a,0.017555637
klf7b,ppdpfa,0.017518453
myog,rps20,0.017517578
phox2bb,rps6,0.017501947
sp5l,tenm4,0.017484622
sox7,sox6,0.017359609
nkx2.1,id1,0.01732327
nkx2.4a,id1,0.017322432
gata6,rplp0,0.017304825
meis1a,tenm4,0.017303247
twist1a,pmp22a,0.01728488
hoxd9a,rplp0,0.017260013
shox2,rps20,0.017242968
esr1,pcdh7b,0.017235056
meis3,id1,0.017227711
irx3a,egfl6,0.017199157
gata6,stmn1a,0.017190121
uncx,hspe1,0.017179096
hey2,mef2d,0.017156415
hoxc10a,myl1,0.017145358
tfap2e,histh1l,0.0171072
sp8a,tpt1,0.017093133
lhx9,tpt1,0.017091596
atf3,serbp1a,0.017089741
mafbb,desma,0.017086484
phox2bb,mdkb,0.017084828
sox14,serbp1a,0.017078573
six6a,pax6a,0.017040243
mafbb,tnnt2c,0.017016806
irx1b,cdh6,0.01701295
klf7b,cdh15,0.016985869
zic2b,mef2cb,0.016961748
msx3,hmgb2b,0.016952513
sox6,foxn3,0.016927643
klf7b,hspb1,0.016881559
si:ch211-153j24.3,mdka,0.016859071
nr2f6b,stmn1a,0.01683513
rxraa,hs6st1a,0.016825682
pax3a,mdka,0.016802752
phox2bb,marcksl1a,0.016790254
gata6,serbp1a,0.016788192
phox2bb,rplp0,0.016758114
etv4,rplp1,0.016740873
lhx9,cirbpa,0.016714288
foxa,pax7a,0.016685745
en2a,rpl3,0.016685363
tlx3b,rplp0,0.016623793
ascl1a,stmn1a,0.016620087
FQ377628.1,stmn1a,0.016577037
dlx5a,ppiaa,0.016559748
lhx9,rpl12,0.016556812
hoxb3a,fgfr3,0.016547855
lhx9,rpsa,0.016540071
dlx2a,marcksl1a,0.01653957
bcl11aa,tenm4,0.01653259
lhx9,tuba1a,0.016530871
sox18,hspa8,0.016485231
six4b,tmem38a,0.01648381
foxa,slc1a3a,0.016478738
jun,rps2,0.016445082
mafbb,tmsb,0.01640056
sox14,sox6,0.016384866
thrab,mdka,0.016381089
myog,ppiaa,0.01636589
tlx3b,rpl12,0.016354542
phox2a,pcdh19,0.016339662
en1a,hspe1,0.016334571
runx2b,id1,0.016332608
mef2ca,mylpfa,0.016313102
nr6a1b,slc1a3a,0.01629207
tp53,serbp1a,0.016284505
etv4,rpl7a,0.016249737
tlx3b,ppiaa,0.016245993
gata6,cirbpa,0.016244154
lhx9,hspa8,0.01624123
six4b,tnnt2c,0.016236087
wt1a,pcdh7b,0.016195582
hmga1a,rpl12,0.016191209
foxg1d,hspa8,0.016190665
tbx2a,serbp1a,0.016175902
tp53,mef2d,0.016171465
sox7,stmn1a,0.01617073
bsx,cdh15,0.01616716
arid3c,svila,0.016166288
hmga1a,rplp1,0.0161018
irx1b,mef2cb,0.016096324
cdx4,rplp0,0.016084613
mef2ca,klhl41b,0.01607043
foxi2,tpt1,0.016065957
shox2,rplp0,0.016047133
hoxd9a,hmgb2b,0.01603153
her6,mibp2,0.016015407
cebpd,mef2cb,0.016014762
nkx2.1,rpl7a,0.016002316
tfap2b,myo1cb,0.016000308
nr2f6b,serbp1a,0.015999606
phox2bb,rps20,0.01599549
etv4,pmp22a,0.015971117
nkx2.1,rpsa,0.01596028
jun,rplp1,0.015955405
esr1,hmgb2b,0.01593319
erfl1,myl1,0.015906993
jun,serbp1a,0.015904065
hoxd11a,cfl1,0.015891334
zic2a,sox6,0.015887816
barhl2,tpt1,0.015873935
sox6,mef2aa,0.01587097
meis1a,tnnc2,0.015868725
foxg1d,sox6,0.015854165
foxn3,qkia,0.015852986
tfap2b,hmgb1b,0.015839115
fosab,mdka,0.015832756
foxd3,nop58,0.015824152
FQ377628.1,nucks1a,0.01580735
twist1b,fabp11a,0.015800025
rfx4,bcam,0.015798252
atoh1a,mcm2,0.015789088
myog,smtnl1,0.015767604
hoxa9a,marcksl1a,0.01576235
rx3,tuba1a,0.015760427
otpa,pcna,0.015747245
hoxd9a,rps2,0.015727242
foxf2a,stmn1a,0.015725866
klf2a,cfl1,0.015716212
myog,atp2a1,0.015713373
foxg1d,tpt1,0.015708713
nr2f6b,mef2d,0.015701463
rfx4,rbm28,0.015700543
lhx9,hspe1,0.015693527
lhx9,rpl24,0.01568548
twist1a,cirbpa,0.015657173
nkx2.5,hspe1,0.015624224
hoxb5b,cirbpa,0.015624172
mnx2b,hspe1,0.01561172
sox1b,cirbpa,0.0156047065
tbx18,sulf1,0.01559816
dlx5a,fabp7a,0.015581059
meox1,tpt1,0.015572141
phox2bb,hmgb1b,0.015570341
pbx3b,rps20,0.015559746
dlx5a,tuba1a,0.015492531
dbx1b,rpl3,0.015469557
nkx2.5,sox11a,0.015469321
bsx,myhz2,0.015464135
rfx4,col18a1a,0.015423626
nr2f6b,nucks1a,0.015415065
meis1a,qkia,0.01540749
rxraa,pax3a,0.015387068
lhx9,eef2b,0.0153853
emx3,tpt1,0.015383192
gata6,banf1,0.015382273
her6,rplp0,0.015361829
msx1a,tpt1,0.015360581
barhl2,fabp7a,0.015345005
meis2a,lrrn1,0.015343355
hoxd11a,eef1a1l1,0.015335033
fli1a,serbp1a,0.015313561
foxd1,rpl3,0.015298773
tlx3b,hspa8,0.015277328
klf7b,slc6a9,0.015269142
egr2b,pax7a,0.015259134
sox11b,id1,0.01525725
meis1a,fgfr2,0.015227684
her9,cdon,0.015226344
vax1,cirbpa,0.015225444
rxraa,epha4b,0.015216245
en1a,rsl1d1,0.015209771
hoxc10a,hmgb2b,0.0151825445
foxi2,nme2b.1,0.015178196
mef2cb,mylpfa,0.015155683
meox1,rplp1,0.015147875
sox6,robo3,0.015137301
hoxd11a,hmgn2,0.015136134
meox1,cirbpa,0.0151204495
jun,rpl12,0.015118492
zic1,sox6,0.01511584
sox6,musk,0.015057732
rxrgb,epha4b,0.015056443
foxa1,tnnt2c,0.0150538925
sox6,tmsb,0.015045592
tbx18,ryr1b,0.015020912
erfl1,ckmb,0.015019794
emx3,mibp2,0.015012809
hmga1a,rps6,0.014999591
nr2f1b,fgfr2,0.014994578
msx1a,mdkb,0.014986173
hoxa9a,rpl3,0.014972459
sp8a,nucks1a,0.014944739
phox2bb,hsp90ab1,0.0149415415
sox21a,stmn1a,0.014911862
dlx5a,rpl12,0.014892544
foxd1,mcm2,0.014888088
rx1,hmgb2b,0.014877479
phox2bb,rps2,0.014871337
tbx2a,nucks1a,0.0148481615
etv4,rpsa,0.014847489
hoxd11a,h3f3b.1,0.014840441
sox7,cirbpa,0.0148344925
lhx9,tuba8l4,0.014829439
six1b,tnnt2c,0.0148289185
fosab,eef2b,0.014819477
en1a,snu13b,0.014816445
pknox2,pcdh19,0.014808802
irx1b,mcm2,0.014802796
otpa,rpl12,0.014799936
sox6,tenm3,0.014789415
foxi2,rrm2,0.014782889
sox21a,nucks1a,0.014776898
nr6a1b,pcdh7b,0.014769501
raraa,ckmb,0.0147643965
nfia,id1,0.014751783
dlx5a,h3f3b.1,0.014737451
klf7b,atp2a1,0.014733261
rxraa,kirrel3l,0.01472635
otpa,h3f3b.1,0.014711695
six6b,tnnt2c,0.0146994805
eomesa,tuba1a,0.014676743
otpa,eef1a1l1,0.014665676
en1a,ckmb,0.014664538
atf3,rplp1,0.01466163
lin28a,nucks1a,0.014619107
fezf1,pmp22a,0.014615054
rxraa,fgfr3,0.014609928
pbx1a,mdka,0.01460854
erfl1,mibp2,0.014607689
pitx1,fabp7a,0.014605987
hmga1a,eef2b,0.0146056935
lbx1b,hmgb2b,0.014603787
sox1b,nucks1a,0.01459998
irx3a,hmgb2b,0.014596664
foxn3,nop56,0.014596498
irx1b,mdkb,0.014593704
uncx,col1a2,0.014585815
hoxa2b,stmn1a,0.014583973
pbx1a,cdh6,0.0145668695
otpa,hspe1,0.014560104
rfx4,neo1a,0.014552367
foxg1d,rplp1,0.014529261
emx3,hspe1,0.014528948
jun,stmn1a,0.014524628
foxd1,rplp1,0.014515587
klf7b,aldoab,0.014512488
phox2bb,tenm4,0.014511894
FQ377628.1,serbp1a,0.014509269
meis2a,pax3a,0.01450874
en1a,rps20,0.014506907
tlx3b,eef1a1l1,0.014485417
dlx5a,hspe1,0.014473489
etv4,cirbpa,0.014459443
hoxa9a,tenm4,0.014454188
tfap2a,tuba1a,0.0144516975
phox2bb,rpl7a,0.01442032
isl2a,hmgn2,0.014419611
foxd3,mef2aa,0.014402513
emx3,stmn1a,0.014393777
foxn3,crip2,0.014368522
myog,chrng,0.014354521
tlx3b,si:ch73-281n10.2,0.0143522015
FQ377628.1,rps20,0.014351721
rxrgb,pax3a,0.014346768
pbx1a,pcdh19,0.014346016
dlx5a,rpl7a,0.014331546
irx7,hspa8,0.014319366
nkx3-1,hmgb2b,0.014316642
lhx9,rpl7a,0.014312769
irx1b,fabp11a,0.014310211
foxd3,nav3,0.014308125
phox2bb,rplp1,0.014292697
nkx2.2a,id1,0.014290256
nkx1.2lb,ccng1,0.014286222
hmga1a,eef1a1l1,0.014282057
irx1b,tmsb,0.014272689
phox2bb,ptmab,0.0142558925
tbx5a,cdon,0.014249157
mef2aa,mylpfa,0.014239783
foxg1d,tuba1a,0.0142382635
nr2f1b,hmgb2b,0.014230329
msx1b,gli3,0.01422292
foxd3,rps6,0.014222652
shox2,hspa8,0.014218603
ebf1b,rps6,0.014216857
jun,her15.2,0.014211297
jun,eef2b,0.014206772
atf3,cfl1,0.01420022
nr5a1b,rxraa,0.014200131
FQ377628.1,tmsb,0.014196076
foxb1a,pax7a,0.014189842
emx3,rpl12,0.014187703
tfap2c,marcksl1a,0.0141790155
nkx6.1,kcnma1a,0.014178392
barhl2,rplp0,0.014176583
foxg1d,mibp2,0.014173353
etv4,epha4b,0.014172399
six4b,pmp22b,0.014169861
etv4,eef1a1l1,0.014161373
en1a,hspa8,0.014157575
myog,ryr1b,0.014118127
otpa,rps2,0.0141115645
fosaa,mdka,0.014110161
sox12,stmn1a,0.014109156
sox6,ptk2ab,0.014108967
lhx9,hsp90ab1,0.014106435
phox2bb,h3f3b.1,0.014099233
sox6,jam2a,0.014096177
hmga1a,tnni2b.1,0.014092772
bhlhe22,si:ch73-21g5.7,0.014089709
dlx5a,rpsa,0.014078133
gata6,eef2b,0.014075879
ascl1a,tenm4,0.014073139
foxj1b,mibp2,0.01407146
foxi2,pax7a,0.01406904
mitfa,id1,0.014068202
sox11a,nucks1a,0.014062465
otpa,ppiaa,0.014057029
dlx5a,cirbpa,0.014035393
tbx16,nucks1a,0.014032303
barhl2,nop56,0.014028981
spi1b,id1,0.014027769
wt1a,mybphb,0.014027015
pax3b,id1,0.014025182
irx3a,nucks1a,0.014022551
hoxd11a,tubb2b,0.0140194865
rxrgb,dacha,0.014013418
tlx3b,tuba8l4,0.014007038
hmga1a,rpl7a,0.013984996
myog,si:ch211-121a2.2,0.0139839975
zic3,rpsa,0.013982035
sox7,nucks1a,0.013979315
atoh1a,neo1a,0.013973195
hmga1a,si:ch73-21g5.7,0.013972328
hoxb9a,myl1,0.013967447
sox21a,rps20,0.013966552
isl2a,si:ch73-281n10.2,0.013965969
tbx16,rrm2,0.013964832
myog,rpl7a,0.013961842
pitx2,rpl24,0.013950363
etv4,hspa8,0.0139491325
emx3,eef2b,0.01394912
her6,tpt1,0.013942308
zic2b,lrrn1,0.013940639
foxn3,tmed1a,0.013930426
jun,nme2b.1,0.01391718
pknox2,pax3a,0.013908211
jun,rpl7a,0.013906483
fosab,eif5a2,0.013906458
sox1b,ppiaa,0.01390221
otpa,tpt1,0.01390016
pax6a,fgfr3,0.013897328
nfic,traf4a,0.013890279
atf3,nucks1a,0.0138813155
emx3,serbp1a,0.013865735
rx3,rpl3,0.013846274
lhx9,h3f3b.1,0.013845758
mef2ca,hsp90aa1.1,0.013841809
phox2bb,eef2b,0.013841505
irx1b,rplp1,0.013838336
six2b,serbp1a,0.01383606
mafbb,rpsa,0.0138157075
shox2,rpl3,0.01380583
foxd1,mibp2,0.013798041
sox21a,serbp1a,0.013796209
hoxd11a,abcf1,0.013790266
vax1,rps20,0.013782218
otpa,mdkb,0.013780359
creb5b,mdka,0.013780027
hoxb2a,mdkb,0.013778973
nkx2.1,rbm28,0.013775799
tfap2a,marcksl1a,0.013766021
foxd1,sox6,0.013761332
foxo3b,eya1,0.013750654
lhx1b,eef2b,0.013749839
nkx1.2lb,tuba1a,0.013749055
six4b,txlnbb,0.013744817
jun,cirbpa,0.013744603
tp53,rplp0,0.0137321735
msx1a,rps20,0.013722903
hoxb8a,mdkb,0.013722363
myog,eef2b,0.013718653
nfixb,fabp7a,0.0137131205
atoh1a,hmgb2b,0.013705777
hoxd11a,tuba8l4,0.013703915
rxraa,sox11a,0.013702015
rorb,myl1,0.013701618
meis3,lig1,0.013700986
barhl2,tuba1a,0.013698371
phox2bb,cirbpa,0.013695123
tbx20,banf1,0.0136817545
irx1b,serbp1a,0.013677392
hmga1a,rps2,0.013671375
foxi2,hspa8,0.0136663765
phox2bb,hmgn2,0.013665135
hmga1a,hsp90ab1,0.01365247
tfap2b,serbp1a,0.013637273
irx3a,rpl3,0.013620985
shox2,rpsa,0.013616312
foxp2,tnni2b.1,0.013610034
tlx3b,h3f3d,0.013600185
lhx9,rps2,0.013598167
zic2a,rpsa,0.013590655
rx3,banf1,0.013582319
onecut2,mcm2,0.013577839
tlx3b,banf1,0.013576075
foxf1,histh1l,0.013564546
lmx1bb,hmgb2b,0.0135550145
hoxd11a,ptmab,0.013554658
msx1b,tuba8l,0.013545622
otpa,cfl1,0.013527214
otpa,rpsa,0.013522592
mef2cb,acta1b,0.013521958
etv4,tuba1a,0.013520984
msx1b,pcdh19,0.013516938
dlx2a,hmgb1b,0.0135137
rxraa,fgfr2,0.013499363
arxa,fabp11a,0.013483893
pbx3b,rps6,0.013470629
arxb,rplp1,0.013470326
fli1a,cirbpa,0.01346232
foxi2,nop56,0.013458291
mef2d,bcam,0.013452145
uncx,mdkb,0.013451561
sox1b,rps20,0.0134454565
phox2bb,rpl18a,0.013437184
msx1b,si:ch73-21g5.7,0.0134355305
bsx,tuba1a,0.013433203
meox1,hspe1,0.013421534
bsx,traf4a,0.013415636
fosab,rpsa,0.013406755
hoxb5b,ppiaa,0.013405923
foxg1d,stmn1a,0.013404095
msx1a,hspa8,0.01339701
sox6,atp2a1,0.013391643
nkx2.5,klhl41b,0.013383297
isl2a,ppiaa,0.013378831
mef2d,atp2a1,0.013378261
hoxa4a,mdkb,0.013371643
meis1a,kcnma1a,0.013370724
dlx5a,rps6,0.0133679835
mef2ca,acta1b,0.01335826
nkx2.1,rpl12,0.013353896
sp5l,vim,0.013330686
mafbb,crip2,0.013329381
foxd3,smyd2a,0.013321642
hmga1a,tuba8l4,0.013314217
lhx9,pcna,0.013305348
nr6a1b,kcnma1a,0.013298731
foxa,kirrel3l,0.013295337
pitx2,rpsa,0.013290145
etv4,pcna,0.013282744
six2b,rplp0,0.013281348
sox21a,ppiaa,0.013273055
foxa2,pax3a,0.013272309
en2a,hmgb2b,0.013255357
pax3a,dacha,0.0132540455
FQ377628.1,tuba1a,0.0132479295
hmga1a,tubb2b,0.013226317
lhx9,rps6,0.013196865
nr2f1b,kirrel3l,0.013193802
dlx5a,hmga1a,0.013189429
dlx2a,mdkb,0.013176344
shox2,rpl12,0.013172073
phox2bb,eef1a1l1,0.013170158
tlx3b,rpsa,0.013160905
tbr1b,tpt1,0.013157553
klf2a,cirbpa,0.013155185
tbr1b,prmt1,0.013154654
nr5a1b,neo1a,0.013146123
emx3,hspa8,0.013145691
tlx3b,ptmab,0.0131446915
isl2a,hsp90ab1,0.013143054
dmbx1a,tmem132e,0.013137101
tfap2b,ppiaa,0.01313373
foxd3,musk,0.013131171
msx1a,rplp0,0.013128615
sp9,sox6,0.01312858
hoxa4a,tuba1a,0.013119427
meox1,hspa8,0.013113983
foxa1,rps6,0.013110254
meis1a,id1,0.01309223
rx3,rplp0,0.013081317
lhx4,hmgb2b,0.0130728185
foxa,pax3a,0.01307205
foxg1d,eef2b,0.013068726
shox2,tpt1,0.0130637335
cdx4,rpsa,0.013056124
nr6a1b,si:ch73-21g5.7,0.013054125
foxg1d,ppiaa,0.013031044
phox2bb,tuba8l4,0.01302561
tbr1b,col18a1a,0.013022516
zic4,mef2cb,0.013011929
nfia,epha4b,0.012986243
myog,robo3,0.012983214
irx1b,rps20,0.012972057
erfl1,tuba8l3,0.012971479
foxg1d,nop56,0.012966145
rx3,rps20,0.012960455
meox1,fabp7a,0.0129567785
zic2b,hmgb1b,0.01295537
foxf2a,sox6,0.012952447
tlx3b,rps2,0.012939128
bsx,rpl24,0.012935192
sox1b,stmn1a,0.012928547
irx7,nucks1a,0.012913894
mafbb,mdka,0.012910835
rxraa,sox6,0.012900999
irx3a,mcm2,0.0128995115
lhx6,tuba1a,0.012896151
gli3,stmn1a,0.012895384
scrt2,id1,0.012890223
nr2e1,cdon,0.01288973
