"","degree_all","degree_in","degree_out","clustering_coefficient","clustering_coefficient_weighted","degree_centrality_all","degree_centrality_in","degree_centrality_out","betweenness_centrality","closeness_centrality","eigenvector_centrality","page_rank","assortative_coefficient","average_path_length","community_random_walk","module","connectivity","participation","role"
"zic3",6,0,6,0,0,0.0129310344827586,0,0.0129310344827586,0,0.471671001914336,0.207902078733847,0.00144908942404668,-0.110050916217937,0.029024699493085,2,6,-0.517860752952416,0.722222222222222,"Connector"
"zic1",6,0,6,0,0,0.0129310344827586,0,0.0129310344827586,0,0.398565497648361,0.202566862412509,0.00144908942404668,-0.110050916217937,0.029024699493085,2,6,-0.219913470431848,0.666666666666667,"Connector"
"pax5",9,0,9,0,0,0.0193965517241379,0,0.0193965517241379,0,5.62014845251208,0.213227707127797,0.00144908942404668,-0.110050916217937,0.029024699493085,10,1,-0.392352384891778,0.493827160493827,"Peripheral"
"sox6",39,18,21,0.0175438596491228,0.0308936358881096,0.084051724137931,0.0387931034482759,0.0452586206896552,631,0.765850954679243,0.447103973855175,0.00451033100788196,-0.110050916217937,0.029024699493085,4,5,3.17216624999897,0.610124917817225,"Connector Hub"
"klf7b",20,0,20,0.00526315789473684,0.00647697575632022,0.0431034482758621,0,0.0431034482758621,0,1.29257778112811,0.0928978488726976,0.00144908942404668,-0.110050916217937,0.029024699493085,4,5,1.91900354331621,0.395,"Peripheral"
"hmga1a",75,44,31,0.0954954954954955,0.104162026582701,0.161637931034483,0.0948275862068965,0.0668103448275862,1209,1.41617401666481,1,0.0053289832755017,-0.110050916217937,0.029024699493085,3,1,5.05281636543239,0.450844444444444,"Connector Hub"
"FQ377628.1",7,0,7,0,0,0.0150862068965517,0,0.0150862068965517,0,7.05951801987862,0.160079571390635,0.00144908942404668,-0.110050916217937,0.029024699493085,10,6,-0.517860752952416,0.653061224489796,"Connector"
"foxd3",57,0,57,0.0219298245614035,0.0244772103643509,0.122844827586207,0,0.122844827586207,0,0.227851932581649,0.411573105653442,0.00144908942404668,-0.110050916217937,0.029024699493085,4,5,6.57360788242361,0.44998461064943,"Connector Hub"
"sox5",6,0,6,0,0,0.0129310344827586,0,0.0129310344827586,0,7.66985063514283,0.153378996290331,0.00144908942404668,-0.110050916217937,0.029024699493085,10,6,0.0780338120887193,0.444444444444445,"Peripheral"
"pax6b",14,0,14,0.021978021978022,0.0225776286552493,0.0301724137931034,0,0.0301724137931034,0,1.07221952173014,0.259751547203184,0.00144908942404668,-0.110050916217937,0.029024699493085,10,6,0.375981094609287,0.693877551020408,"Connector"
