source,target,coef_abs
zic1,actb2,0.12237568
zic2a,actb2,0.10550566
hmga1a,rrm2,0.08396972
six1b,actb2,0.07695945
foxa1,actb2,0.076123804
zic1,histh1l,0.071537904
foxd1,histh1l,0.068616144
foxa,actb2,0.06657932
nr2f1b,hbae1.1,0.058924828
cebpb,apoc1,0.056833312
nr5a2,apoc1,0.054920383
eomesa,actb2,0.050735574
sox1a,actc1b,0.04798468
rxraa,apoc1,0.04613872
myod1,histh1l,0.044589173
hmga1a,stmn1a,0.04448839
fosab,hbae1.3,0.04417934
twist1a,pmp22a,0.043197587
myog,histh1l,0.042214274
dlx2b,tenm4,0.04121275
irx7,actb2,0.041061092
tbr1b,actb2,0.039996713
jun,hbae1.1,0.03958915
tp53,serbp1a,0.038591374
sox11b,actc1b,0.037021875
tbr1a,nrxn3a,0.036705103
sox21a,hspa8,0.035868328
hoxa2b,stmn1a,0.035504468
sox21a,actc1b,0.035392594
jun,hbae1.3,0.035037708
sox21a,tmsb4x,0.034443412
gata5,tenm4,0.033705425
hmga1a,hsp90ab1,0.033687044
sox21a,serbp1a,0.03353601
zic2a,histh1l,0.033266224
en2a,mdkb,0.032363832
barhl2,cirbpa,0.031952128
tbx1,agrn,0.03189857
msx1b,marcksl1a,0.031773236
en1b,stmn1a,0.031763118
msx1b,mdkb,0.031615287
hmga1a,marcksl1a,0.03125141
sox21a,cirbpa,0.0311492
foxp1b,actb2,0.03104358
rfx4,tenm4,0.030942231
eomesa,hbae1.3,0.03073437
rfx4,agrn,0.030488288
raraa,apoc1,0.030255323
rorb,stmn1a,0.030148868
msx1b,ptprfb,0.030007852
en1b,pcna,0.029928148
tbx1,marcksl1a,0.029553127
barhl2,eif5a2,0.029285872
nr2f1b,apoc1,0.02905883
sox21a,hsp90ab1,0.028864032
meis3,si:ch211-121a2.2,0.028633263
irx7,hbae1.3,0.028509758
sox21a,si:ch73-21g5.7,0.028471373
hoxa2b,tmsb4x,0.028083758
phox2bb,tmsb4x,0.02798663
sox21a,hmga1a,0.027908623
hoxa2b,cirbpa,0.027870527
hoxa2b,hspa8,0.027804006
dlx4b,pabpc1a,0.027716083
phox2bb,pabpc1a,0.027599936
prox1a,si:ch211-121a2.2,0.0275862
rfx4,boc,0.027576245
hmga1a,hmgn2,0.027539302
barhl2,serbp1a,0.02753082
zic3,actb2,0.027516667
hmga1a,ptmab,0.027416322
nr2f1b,epha4b,0.027411561
olig2,apoc1,0.027391465
dlx4b,hspa8,0.027253814
tfap2d,histh1l,0.027252398
foxj1a,mibp2,0.027116794
tcf21,serbp1a,0.02709746
hoxa2b,pabpc1a,0.027063223
phox2bb,cirbpa,0.026934564
nr2f1b,agrn,0.026888173
sox21a,stmn1a,0.026883408
sox21a,hmgn2,0.026783967
sox21a,pcna,0.026624033
en2a,stmn1a,0.026584046
sox21a,ptmab,0.026499242
nfixb,hbae1.3,0.026445687
meis2a,si:ch211-121a2.2,0.026400223
her9,mibp2,0.02622305
fli1a,pmp22a,0.026186902
en2a,cirbpa,0.026120765
hoxc10a,marcksl1a,0.026112113
phox2bb,hspa8,0.026040744
hoxa2b,marcksl1a,0.025970157
lmx1bb,hspe1,0.025905209
hoxa2b,mdkb,0.025887387
en2b,marcksl1a,0.025798311
fosab,hsp90ab1,0.025743924
meis2a,histh1l,0.025741171
nkx2.2a,ntn1a,0.025729597
barhl2,mdkb,0.02567399
barhl2,hsp90ab1,0.025641048
hand2,stmn1a,0.02562589
barhl1a,pcna,0.025601622
pax6b,serbp1a,0.02544606
en1b,cirbpa,0.025411079
meis3,cdh6,0.02538428
tp53,pcna,0.025171384
tp53,ccng1,0.02509592
en2b,cirbpa,0.02493253
sox21a,hmgb2a,0.024913207
jun,serbp1a,0.02485596
nr2f1b,si:ch73-21g5.7,0.02481059
en1a,mdkb,0.02480949
barhl2,hspa8,0.024768133
nr5a2,serbp1a,0.024726972
irx7,fabp7a,0.024716482
dlx4b,pcna,0.02460529
foxg1a,hbae1.1,0.024537535
nr5a1b,pabpc1a,0.024525382
nkx6.3,pabpc1a,0.024413284
her6,mibp2,0.024367807
sox21a,mibp2,0.02432301
lmx1al,pabpc1a,0.02427607
foxf2a,pcna,0.024223281
hoxa2b,hmga1a,0.024208933
hmga1a,hmgb2a,0.024187174
hmga1a,pabpc1a,0.024161456
nkx2.4b,sox11a,0.02412103
pknox2,histh1l,0.024096558
hoxc13b,prdx2,0.024084244
zic3,boc,0.024061874
gsx2,mdkb,0.023921961
hoxa2b,hsp90ab1,0.023845254
phox2bb,pcna,0.023810398
emx2,cirbpa,0.023752471
foxp1b,hbae1.1,0.023718575
nr2f1b,tenm4,0.023718048
en1b,hspe1,0.023660876
barhl2,fthl27,0.023651067
jun,tmsb4x,0.023639377
phox2bb,marcksl1a,0.023624187
nkx2.4a,hmga1a,0.023565823
meis2a,si:ch73-21g5.7,0.023478847
foxa1,sox11a,0.023396868
bcl11ab,tenm4,0.023077378
sox11b,serbp1a,0.023049315
mafbb,hbae1.3,0.023036651
nr5a2,prdx2,0.022994995
irx7,nop56,0.02290019
pax5,serbp1a,0.022835175
lhx9,ptprfb,0.022803426
raraa,rxraa,0.022799004
dlx4b,fabp7a,0.022724153
phox2bb,hsp90ab1,0.022701943
her9,ptmab,0.022656279
nr2f1b,pax3a,0.022622826
nr2f1b,stmn1a,0.022574315
foxj1a,serbp1a,0.022521518
hmga1a,prmt1,0.022507997
hoxa2b,mibp2,0.022466803
barhl2,tmsb4x,0.022418179
phox2bb,hmga1a,0.022396645
raraa,serbp1a,0.022372512
etv4,marcksl1a,0.02236825
sox21a,actb1,0.02234407
gata1a,hbae1.1,0.022342578
hmga1a,apoc1,0.02232894
etv4,cdon,0.022296958
sox21a,fabp7a,0.022275813
hmga1a,actb1,0.022267664
barhl2,hmgn2,0.022198208
FQ377628.1,serbp1a,0.022123178
phox2bb,tenm4,0.022070294
tp53,pabpc1a,0.022065453
hoxa11b,mdkb,0.022064842
osr2,cirbpa,0.022047205
en2a,pcdh19,0.022034895
phox2bb,hmgb2a,0.02202166
fli1b,hspa8,0.021989468
thrab,agrn,0.02197494
her9,pabpc1a,0.021876937
foxo1a,stmn1a,0.021735776
nkx2.2a,hspe1,0.021706443
fli1a,cdh11,0.021692228
eomesa,serbp1a,0.021616546
twist1b,pmp22a,0.02148592
hoxa4a,stmn1a,0.021478735
alx1,actb1,0.02145905
atoh1a,apoc1,0.021419507
sox11b,hspa8,0.021375814
sox21a,hbae3,0.021290662
emx2,serbp1a,0.021280304
phox2bb,ccng1,0.021214787
sox11b,tmsb,0.021208543
rxraa,prdx2,0.02119118
en1b,hmga1a,0.021182327
nkx6.2,hsp90ab1,0.021089429
pknox2,si:ch211-121a2.2,0.021085761
fosab,tmsb4x,0.021083407
six6a,serbp1a,0.021045255
lmx1bb,hsp90ab1,0.021030629
gata6,hbae1.1,0.020990208
myog,apoc1,0.02096443
