"","degree_all","degree_in","degree_out","clustering_coefficient","clustering_coefficient_weighted","degree_centrality_all","degree_centrality_in","degree_centrality_out","betweenness_centrality","closeness_centrality","eigenvector_centrality","page_rank","assortative_coefficient","average_path_length","community_random_walk","module","connectivity","participation","role"
"meis3",34,0,34,0.0606060606060606,0.0526192014544588,0.0974212034383954,0,0.0974212034383954,0,1.76624447141857,0.659812827197004,0.00181011257277138,0.0865941341172928,0.0114872372672751,1,3,1.5122781897466,0.655709342560554,"Connector"
"bhlhe40",16,0,16,0,0,0.0458452722063037,0,0.0458452722063037,0,7.04762800253654,0.241844136364587,0.00181011257277138,0.0865941341172928,0.0114872372672751,1,0,0.493742321506363,0.53125,"Peripheral"
"zic1",1,0,1,0,0,0.00286532951289398,0,0.00286532951289398,0,37.6641535636844,0.0283118547285851,0.00181011257277138,0.0865941341172928,0.0114872372672751,3,3,-0.826664464997256,0,"Ultra peripheral"
"hmga1a",51,32,19,0.243137254901961,0.229475504254271,0.146131805157593,0.0916905444126074,0.0544412607449857,432,6.07691564775347,1,0.00411403874035354,0.0865941341172928,0.0114872372672751,1,4,2.93725194635564,0.386774317570165,"Connector Hub"
"irx7",10,0,10,0,0,0.0286532951289398,0,0.0286532951289398,0,10.6945628778162,0.165176395863607,0.00181011257277138,0.0865941341172928,0.0114872372672751,1,3,0.576701127849056,0.42,"Peripheral"
"hoxc13b",17,0,17,0,0,0.0487106017191977,0,0.0487106017191977,0,6.17275239796754,0.40221585921143,0.00181011257277138,0.0865941341172928,0.0114872372672751,1,4,-0.00502954100403241,0.380622837370242,"Peripheral"
"pax5",8,1,7,0.0357142857142857,0.0296234666760667,0.0229226361031519,0.00286532951289398,0.0200573065902579,6,14.5036363531569,0.128015231089925,0.00211425034432152,0.0865941341172928,0.0114872372672751,1,3,-0.1249816685741,0.59375,"Peripheral"
"hoxd11a",28,0,28,0.0211640211640212,0.0216784182373098,0.0802292263610315,0,0.0802292263610315,0,2.16803565388226,0.535977673219248,0.00181011257277138,0.0865941341172928,0.0114872372672751,1,4,0.673958494540507,0.502551020408163,"Peripheral"
"tfap2c",5,0,5,0.1,0.0759879593040353,0.0143266475644699,0,0.0143266475644699,0,11.8084003254783,0.0460690525303126,0.00181011257277138,0.0865941341172928,0.0114872372672751,2,3,-0.1249816685741,0.32,"Peripheral"
"mafba",27,0,27,0.0769230769230769,0.0780517776989445,0.0773638968481375,0,0.0773638968481375,0,1.41141619082691,0.650841290513503,0.00181011257277138,0.0865941341172928,0.0114872372672751,1,4,0.447629149358994,0.54320987654321,"Peripheral"
