"","degree_all","degree_in","degree_out","clustering_coefficient","clustering_coefficient_weighted","degree_centrality_all","degree_centrality_in","degree_centrality_out","betweenness_centrality","closeness_centrality","eigenvector_centrality","page_rank","assortative_coefficient","average_path_length","community_random_walk","module","connectivity","participation","role"
"nr2e3",2,0,2,0,0,0.00476190476190476,0,0.00476190476190476,0,0.137551314441166,0.00415263101179714,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,4,-0.68579063029366,0.5,"Peripheral"
"tcf21",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,53.8694884510284,0.00258065027084031,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,2,-0.789171229518909,0,"Ultra peripheral"
"hand2",2,0,2,0,0,0.00476190476190476,0,0.00476190476190476,0,29.3892836326848,0.0109394996814976,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,5,-1.04464339804033,0,"Ultra peripheral"
"isl2b",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,54.0128087054821,0.00362893642134001,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,4,-0.68579063029366,0,"Ultra peripheral"
"esr1",2,0,2,0,0,0.00476190476190476,0,0.00476190476190476,0,27.8894066774156,0.00440800362532045,0.00161186507332249,-0.102579097071177,0.0516736331281503,2,2,-0.542986618561115,0,"Ultra peripheral"
"hoxb9a",3,0,3,0,0,0.00714285714285714,0,0.00714285714285714,0,19.9452188607814,0.00761193164624739,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,4,-0.457193753529107,0.444444444444445,"Peripheral"
"pitx2",1,0,1,0,0,0.00238095238095238,0,0.00238095238095238,0,54.2985147727257,0.00683827469221146,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,5,-1.15201573873826,0,"Ultra peripheral"
"en1a",3,0,3,0,0,0.00714285714285714,0,0.00714285714285714,0,19.1405927451105,0.00420726617519778,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,4,-0.457193753529107,0.444444444444445,"Peripheral"
"nfia",5,0,5,0.1,0.10384858200538,0.0119047619047619,0,0.0119047619047619,0,0.1422420485132,0.0116646823099962,0.00161186507332249,-0.102579097071177,0.0516736331281503,2,2,-0.0506173966455273,0.32,"Peripheral"
"uncx",3,0,3,0,0,0.00714285714285714,0,0.00714285714285714,0,18.5971265059116,0.00875878959133637,0.00161186507332249,-0.102579097071177,0.0516736331281503,2,0,-0.730278962233043,0.666666666666667,"Connector"
