source,target,coef_abs
hmga1a,hmgb2b,0.1501191
rfx4,tenm4,0.11642651
myog,apoc1,0.110498354
hmga1a,rplp0,0.10849055
hmga1a,rplp1,0.10378021
hmga1a,eef2b,0.10078005
hmga1a,rpl12,0.1005181
hmga1a,hsp90ab1,0.10026185
hmga1a,stmn1a,0.099514656
irx3a,mdka,0.09931297
hmga1a,rrm2,0.09456098
hmga1a,rpl7a,0.09248982
hmga1a,rps6,0.09154362
hmga1a,rps2,0.08351302
rx1,rpl3,0.082284816
hmga1a,rpl18a,0.08019646
rx1,hmgb2b,0.079817615
irx3a,nucks1a,0.077157825
hmga1a,eif5a2,0.07604642
sox21a,actc1b,0.073987685
hmga1a,hmgn2,0.073749326
hmga1a,eef1a1l1,0.07284196
rxraa,apoc1,0.0726223
rx1,rps20,0.07250945
hmga1a,tuba8l4,0.07179979
hmga1a,tubb2b,0.071248226
dlx2b,tenm4,0.07044933
sox21a,mdka,0.0686911
hmga1a,hmgb2a,0.066851676
rx1,cirbpa,0.06524492
hmga1a,rpl24,0.06484619
hmga1a,ptmab,0.0647838
rx1,rpsa,0.06455058
sox21a,fabp7a,0.06316037
hmga1a,prmt1,0.062459707
rx1,fabp7a,0.062429883
hmga1a,ncl,0.062056072
irx3a,mcm2,0.060761202
sox21a,rps20,0.060249336
hmga1a,si:ch73-281n10.2,0.05965624
rx1,snu13b,0.059527367
pax6b,id1,0.05744504
hmga1a,hmgb1b,0.056833643
tbx2a,serbp1a,0.056716744
rorb,epha4b,0.05655241
tp53,serbp1a,0.05617719
sox21a,rpsa,0.05602991
hmga1a,dkc1,0.05571992
rx1,pcna,0.05480023
en2b,efna2a,0.05475017
sox21a,hspa8,0.054576557
rfx4,cntfr,0.054247584
hmga1a,cfl1,0.053806327
irx3a,pax7a,0.053730078
myog,histh1l,0.053671528
foxd1,histh1l,0.053481165
pknox2,tenm4,0.05343834
irx3a,histh1l,0.05313729
sox1b,mdka,0.05281359
rx1,rpl7a,0.05264283
sox21a,nop56,0.052369673
nr2f1b,epha4b,0.052356575
hmga1a,apoc1,0.052224725
sox21a,banf1,0.051694997
sox21a,serbp1a,0.051536936
irx3a,pax3a,0.051386595
sp9,tenm4,0.05135845
sox6,actc1b,0.051288657
rx1,nme2b.1,0.051192746
rx1,ppiaa,0.051121075
sox21a,rps6,0.050871164
hmx4,rpsa,0.05086763
hmga1a,marcksl1a,0.050594863
irx3a,serbp1a,0.050524987
rx1,hspe1,0.050513435
zic1,histh1l,0.050208718
her9,seta,0.05018618
dbx1a,rpl3,0.049921244
meis2a,histh1l,0.04969701
nr2f1b,fgfr2,0.049540974
sox21a,rpl12,0.049201768
foxg1d,serbp1a,0.049136985
pax7a,cntfr,0.049111094
irx3a,rpl3,0.048861943
rx1,dkc1,0.048437636
phox2bb,rpl3,0.047992427
sox11b,mdka,0.047795027
rx1,nop56,0.047700778
sox11b,id1,0.047377765
rx1,rpl12,0.0472172
msx3,mdkb,0.04703953
sox21a,pcna,0.046378504
nr2f1b,tenm4,0.046271186
irx1b,histh1l,0.04594022
hmga1a,setb,0.045849722
rx1,rplp1,0.045658547
rx1,prmt1,0.045472503
pax7b,cntfr,0.04513508
sox21a,cdon,0.045135006
her9,cdon,0.04489363
pax7a,pax7b,0.044465683
sox21a,tuba1a,0.04436994
foxn3,cdon,0.044363435
six1b,col1a1a,0.044342015
six3b,cirbpa,0.044339325
rx1,seta,0.044248722
irx3a,cirbpa,0.044245407
sox21a,hmgb1b,0.04422236
pax5,efna2a,0.044184133
irx1b,mdkb,0.04416421
hmx4,snu13b,0.04412956
hmga1a,si:ch73-21g5.7,0.044002924
en2b,cntfr,0.043624163
sox21a,rplp1,0.04353368
sox21a,rpl7a,0.04346787
irx3a,zgc:174855,0.04339099
hoxb2a,tenm4,0.0433332
sox21a,cirbpa,0.043254454
zic2a,mibp2,0.04316625
sp8a,cirbpa,0.04285583
eomesa,ptmaa,0.04272544
rx1,fabp11a,0.04247679
sox21a,hsp90ab1,0.042298295
irx3a,si:ch211-121a2.2,0.0420506
irx3a,marcksl1a,0.041976675
irx3a,rbm28,0.041914932
nr2f1b,pcdh19,0.04160812
irx3a,fgfr2,0.041505557
rx1,hsp90ab1,0.041486543
her9,rplp0,0.04141298
hoxa2b,ptmaa,0.041387163
irx3a,seta,0.041354652
hoxb3a,tenm4,0.041113585
six3b,rps20,0.04107168
zic2b,histh1l,0.041047927
pax6b,tpt1,0.040790413
her9,tpt1,0.040660232
sox21a,ppiaa,0.040654484
nr2f1b,apoc1,0.04059522
sox11b,lrrn1,0.040502828
sox21a,mibp2,0.04043357
rfx4,col18a1a,0.040357754
rxraa,epha4b,0.040337157
tbx2a,stmn1a,0.040318545
nr2f1b,si:ch73-21g5.7,0.040286668
sox11a,nucks1a,0.04027438
nr2f1b,ntn1a,0.040133126
hoxa4a,tenm4,0.040085383
rx1,rpl24,0.040044326
hoxa2b,mdkb,0.039912056
phox2bb,tuba1a,0.03986064
tp53,ccng1,0.039618134
msx1b,mdkb,0.03959653
irx3a,hmga1a,0.03953551
irx3a,ppiaa,0.03952781
sox21a,hmgn2,0.039523207
rx1,tuba8l4,0.039453052
rx1,mibp2,0.03939003
nr2f1b,lig1,0.039295036
sox21a,hmga1a,0.039204817
irx3a,rrm2,0.039157614
rx1,tubb2b,0.039124966
irx3a,banf1,0.03899866
nr6a1b,apoc1,0.038920805
six3b,snu13b,0.0389123
foxg1d,nop58,0.03890503
foxd1,ptmaa,0.038874757
irx3a,id1,0.038866024
rx1,h3f3b.1,0.038771987
sox21a,nucks1a,0.03875201
pax6b,eef2b,0.03868504
tp53,pcna,0.038672242
myog,rps20,0.038659383
sox11a,mibp2,0.038651362
pax6b,banf1,0.03864924
sox21a,h3f3d,0.038610354
rx1,hspa8,0.038535185
rx1,rps2,0.038514193
