cluster_id,manual_block_id
13_8,1
13_9,1
14_0,1
14_1,1
14_2,1
14_3,1
14_4,1
14_5,1
14_6,1
14_7,1
14_8,1
15_0,1
15_1,1
15_10,1
15_11,1
15_12,1
15_13,1
15_14,1
15_2,1
15_3,1
15_4,1
15_5,1
15_6,1
15_7,1
15_8,1
15_9,1
16_0,1
16_1,1
16_2,1
16_3,1
16_4,1
16_5,1
17_0,1
17_1,1
17_2,1
17_3,1
17_4,1
17_5,1
17_6,1
17_7,1
17_8,1
17_9,1
18_0,1
18_1,1
18_10,1
18_11,1
18_12,1
18_2,1
18_3,1
18_4,1
18_5,1
18_6,1
18_7,1
18_8,1
18_9,1
19_0,1
19_1,1
19_10,1
19_11,1
19_12,1
19_13,1
1_3,2
1_4,2
1_5,2
1_6,2
1_7,2
1_8,2
1_9,2
20_0,2
20_1,2
20_2,2
20_3,2
20_4,2
20_5,2
21_0,2
21_1,2
21_2,2
21_3,2
21_4,2
21_5,2
21_6,2
22_0,2
22_1,2
22_10,2
22_11,2
22_12,2
22_13,2
22_14,2
22_15,2
22_16,2
22_17,2
22_2,2
22_3,2
22_4,2
22_5,2
22_6,2
22_7,2
22_8,2
22_9,2
23_0,2
23_1,2
23_2,2
23_3,2
23_4,2
24_0,2
24_1,2
24_10,2
24_11,2
24_12,2
24_13,2
24_14,2
24_15,2
24_2,2
24_3,2
24_4,2
24_5,2
24_6,2
24_7,2
24_8,2
24_9,2
25_0,2
25_1,2
28_6,3
28_7,3
28_8,3
28_9,3
29_0,3
29_1,3
29_10,3
29_11,3
29_12,3
29_13,3
29_14,3
29_15,3
29_16,3
29_17,3
29_18,3
29_19,3
29_2,3
29_3,3
29_4,3
29_5,3
29_6,3
32_5,4
32_6,4
32_7,4
32_8,4
32_9,4
33_0,4
33_1,4
33_2,4
33_3,4
33_4,4
33_5,4
33_6,4
33_7,4
33_8,4
34_0,4
34_1,4
34_2,4
34_3,4
34_4,4
35_0,4
35_1,4
35_10,4
35_11,4
35_12,4
35_13,4
35_14,4
35_15,4
35_2,4
35_3,4
35_4,4
35_5,4
35_6,4
35_7,4
35_8,4
35_9,4
3_0,4
3_1,4
3_10,4
3_2,4
3_3,4
3_4,4
4_4,5
5_0,5
5_1,5
5_2,5
5_3,5
5_4,5
5_5,5
5_6,5
5_7,5
5_8,5
5_9,5
6_0,5
6_1,5
6_2,5
6_3,5
6_4,5
6_5,5
7_0,5
7_1,5
7_10,5
7_11,5
