timepoint,mean_presence,median_presence,std_presence,total_pairs,pairs_50pct,pairs_80pct,pairs_90pct
TDR126,0.1647175094712568,0.06666666666666667,0.22158096561008866,72852,7566,3066,1782
TDR127,0.18544274455261936,0.06451612903225806,0.23798962589790204,64710,7380,3420,2328
TDR128,0.14899798852715485,0.06451612903225806,0.18677665727244458,80538,5508,1632,816
TDR118,0.165016501650165,0.06451612903225806,0.21495066006876426,72720,6876,2496,1404
TDR125,0.16380016380016377,0.06451612903225806,0.20875836510523166,73260,6582,2226,1224
TDR124,0.16116035455278002,0.1,0.171986898924965,74460,4836,954,402
