source,target,coef_abs
zic1,actb2,0.18710136
rxraa,apoc1,0.16663422
sox6,actc1b,0.1285136
klf7b,actc1a,0.12138486
FQ377628.1,actc1b,0.11786444
raraa,apoc1,0.0917603
klf7a,actc1a,0.089744784
hmga1a,rrm2,0.08754885
myog,tnni2b.1,0.08635907
fli1a,cdh11,0.07569143
klf7b,tnnc2,0.070998386
mef2ca,klhl41b,0.07095041
foxd3,sox6,0.06984971
hmga1a,stmn1a,0.06793991
foxa,actb2,0.0677189
zic3,actb2,0.066256694
hmga1a,hsp90ab1,0.06482336
sox1a,actc1b,0.06282299
six1b,col1a1a,0.061681435
myog,myl1,0.05998711
fli1a,pmp22a,0.059859127
tbx21,hbae1.3,0.059846643
foxp1b,pmp22a,0.05949249
myod1,mef2d,0.059260037
egr3,tnnc2,0.05848373
klf7a,tnnc2,0.05824059
hmga1a,apoc1,0.057580218
nr2f1b,tenm4,0.057170387
etv4,rxraa,0.057143517
tp53,serbp1a,0.05677104
zic1,histh1l,0.05590811
hmga1a,ptmab,0.05472758
tal1,apoc1,0.05435464
foxd3,myl1,0.054319046
irx7,actc1b,0.05406543
foxa1,actb2,0.053975012
etv4,apoeb,0.053648826
hmga1a,marcksl1a,0.053248867
sox21a,hspa8,0.053097755
rxraa,cxcl12b,0.052897755
sox11b,actc1b,0.052637
en1a,ckmb,0.052545737
hmga1a,hmgn2,0.05227616
mef2ca,aldoab,0.05191432
meis2a,histh1l,0.051852267
six1b,actb2,0.051721763
foxo1a,actb2,0.051715497
sox7,actc1b,0.050949488
pax6b,serbp1a,0.050868988
sox21a,serbp1a,0.050557174
hmga1a,pleca,0.050318718
nr2f1b,hbae1.1,0.05031074
hmga1a,pabpc1a,0.049799915
tbr1a,actb2,0.0485698
klf7b,mef2d,0.048555292
tbx2b,tnnc2,0.048437845
nhlh2,cdh11,0.04840885
cebpb,apoc1,0.048278727
hoxa2b,hspa8,0.0482779
sox21a,tmsb4x,0.0479861
irx7,actb2,0.04794995
hmga1a,hmgb2a,0.047386862
sox11a,actc1b,0.04696824
hoxc6b,col5a2a,0.046953227
msx1b,mdkb,0.046901636
otpa,ckmb,0.046616334
thrab,apoc1,0.04654985
sox6,eya1,0.046218187
tp53,pcna,0.045326903
hmga1a,actb1,0.045180272
klf7b,ppdpfa,0.04504236
nr2f1b,apoc1,0.04499256
zic2a,mef2cb,0.044666927
raraa,agrn,0.04416433
rxraa,agrn,0.044061966
sox21a,cirbpa,0.043804362
sox5,apoeb,0.043719955
irf8,mef2cb,0.04362363
mafbb,tnnt2c,0.0435887
egr3,klhl41b,0.04350269
hmga1a,eif5a2,0.043483205
sox21a,actb1,0.04347617
mef2d,bcam,0.04338721
gata3,hbae1.1,0.04327982
tbx21,apoc1,0.043159336
hmga1a,prmt1,0.043096617
myog,nexn,0.04291101
meis3,mef2cb,0.042850472
foxd3,myhz2,0.042680275
myog,mef2d,0.042543203
her6,col1a2,0.04193423
foxg1d,serbp1a,0.04192147
fosb,mef2cb,0.041916445
sox21a,fabp7a,0.04175623
sox6,nexn,0.041707072
gfi1aa,actc1b,0.041631393
sox6,slc6a8,0.041486915
foxd3,kcnma1a,0.041201115
sox21a,hmgn2,0.041151088
foxp2,stmn1a,0.041106485
zic3,histh1l,0.0409941
sox21a,ptmab,0.0409557
nr2f1b,agrn,0.040719744
zic1,sox6,0.04039472
thrab,klhl31,0.040372066
meis2a,hhatla,0.04012511
hmga1a,bcas2,0.040072408
fli1a,ebf3a,0.039805163
