,Total_IC,Motif_Length,IC_per_Position,Max_Deviation_Ratio,Peak_to_Median_Ratio,Percentile_90_Ratio,Binarity_Score,Gini_Index,Discrete_MI,CV,STD
M09022_2.00,11.678697963083533,11,1.0616998148257757,0.6552431196109908,6.334073424583351,3.895859284316858,0.308641975308642,0.5155789695122013,0.3624223561925,5.147442704069937,1.7047180855016522
M10138_2.00,8.159305506008018,17,0.47995914741223633,0.5459768538721499,5.7073573144032235,3.8517383235758027,0.3734567901234568,0.5101060015699436,0.3574254326093644,1.9884787453316741,1.0068067816086426
M02705_2.00,13.039304896174619,10,1.303930489617462,0.5909714131756785,5.540661150268358,3.2670752451818115,0.308641975308642,0.49973906983645955,0.35377399264654524,5.942216991486681,0.9614885092568948
M08069_2.00,13.463065635085005,11,1.2239150577350004,0.6306615200710471,5.478083783249026,3.144402685665316,0.5216049382716049,0.489931741293073,0.34885721806667963,4.544883341453174,1.0791594271705605
M02022_2.00,8.0871373967629,10,0.80871373967629,0.5757846688148059,4.44877833946168,2.9448365945720676,0.4444444444444444,0.48357199202779405,0.3650674744901651,3.2475185789592316,0.7813995407625572
M00684_2.00,6.862514259167973,9,0.762501584351997,0.6061950534264167,5.319092213963725,3.073090141478704,0.4444444444444444,0.4834511091987911,0.3590727724594576,6.935952219026019,0.9417964572620302
M10117_2.00,32.4161647117238,21,1.5436268910344668,0.6004252606610041,3.884615013791229,3.1718236326237044,0.308641975308642,0.4834296570793273,0.3898967668749143,1.1980209106514563,1.1095796147911434
M05583_2.00,19.958684826064037,16,1.2474178016290023,0.5915667116765757,5.260125331747725,3.7428785571312377,0.3734567901234568,0.4718778201319519,0.38042237855248057,3.2606336140404855,1.3131570531169838
M02929_2.00,18.284179063964633,15,1.2189452709309756,0.5261520281435034,4.917971175084252,3.510815290750111,0.3734567901234568,0.4716207689580831,0.363699662314053,3.1373070681611255,1.2684666832095315
M03966_2.00,26.264249670417687,18,1.4591249816898715,0.5194139570706277,4.595231792273358,3.06282586244555,0.19753086419753085,0.47014754519146157,0.3908381031577738,4.320288057327309,0.8568003929588937
M05137_2.00,8.87309935456739,8,1.1091374193209238,0.6134984918591522,5.336422077968911,2.022620049559353,0.6944444444444444,0.4670121701895365,0.324727654812152,6.399862228885288,1.3607560111617145
M01729_2.00,12.706491818931898,10,1.2706491818931898,0.5110942323162464,3.6763542294893905,3.010530305231899,0.02777777777777779,0.4666517444087209,0.401394363694401,16.605740631327485,1.0930193123402976
M10937_2.00,16.974834760238664,22,0.7715833981926665,0.7307402733099614,5.660793732766848,2.4473266803787244,0.7901234567901234,0.45634296325511775,0.30024928777161586,2.624509230723581,1.0291395291449026
M06555_2.00,9.518947495196022,9,1.057660832799558,0.5239190990755047,3.208397703807583,2.231927611501412,0.308641975308642,0.4562896823065342,0.3980552133340086,1.5115912857314637,0.8024257873000321
M04454_2.00,25.185364305406896,19,1.3255454897582577,0.5068015199843497,3.9473594468234343,3.283774840571481,0.19753086419753085,0.4561275142532799,0.4100446173954235,440.8063117371413,1.326599214859644
M10562_2.00,9.97182943901315,11,0.9065299490011955,0.6367244733668835,4.83650985126728,2.685472121922323,0.4444444444444444,0.4557696351648731,0.35166860714022935,2.8748904886905553,1.2500747318830983
M04785_2.00,17.77862706411117,13,1.3675866972393207,0.5328440619772018,3.8633874605180307,2.951151319439952,0.308641975308642,0.4516282596419996,0.4060314727493603,10.821927258486744,1.2076450130511263
