original_cluster,coarse_cluster,renumbered_cluster
34,34,22
37,34,22
10,10,2
43,10,2
6,6,32
35,6,32
1,1,1
21,1,1
47,1,1
3,3,19
31,3,19
9,9,35
41,9,35
15,15,7
25,15,7
28,15,7
29,15,7
30,15,7
45,15,7
46,15,7
