'ABCA7'
'ABCC5'
'ACSF3'
'ACTC1'
'ACVR1C'
'ADAM12'
'ADAMTS7'
'ADGRL2'
'ADGRL3'
'AL590150.2'
'AL627088.2'
'AL627126.1'
'AL627164.1'
'AL627258.1'
'AL645822.1'
'AL731788.1'
'AL772146.1'
'AL772219.1'
'AL773558.1'
'AL805905.1'
'AL805905.2'
'AL807792.1'
'AL807827.1'
'AL808121.1'
'AL831726.2'
'AL840638.2'
'AL844512.1'
'AL844521.1'
'AL845306.1'
'AL845314.1'
'AL845324.1'
'AL845324.2'
'AL845365.1'
'AL845512.1'
'AL928610.1'
'AL928650.1'
'AL928656.1'
'AL928657.1'
'AL928707.1'
'AL928707.3'
'AL928714.1'
'AL928716.1'
'AL928725.1'
'AL928740.1'
'AL928808.1'
'AL928843.1'
'AL928845.1'
'AL928866.2'
'AL928908.2'
'AL928927.1'
'AL928977.1'
'AL929032.1'
'AL929048.1'
'AL929058.1'
'AL929087.1'
'AL929104.1'
'AL929172.1'
'AL929172.2'
'AL929184.1'
'AL929192.1'
'AL929210.1'
'AL929210.2'
'AL929216.1'
'AL929217.1'
'AL929222.1'
'AL929237.3'
'AL929237.4'
'AL929286.1'
'AL929294.2'
'AL929304.1'
'AL929307.1'
'AL929345.2'
'AL929349.1'
'AL929378.2'
'AL929396.1'
'AL929453.1'
'AL929457.1'
'AL929460.1'
'AL929493.1'
'AL929493.2'
'AL929520.3'
'AL929523.1'
'AL935044.1'
'AL935044.2'
'AL935044.3'
'AL935044.4'
'AL935047.1'
'AL935062.1'
'AL935115.1'
'AL935117.1'
'AL935142.1'
'AL935144.1'
'AL935164.1'
'AL935186.3'
'AL935186.7'
'AL935279.1'
'AL935292.2'
'AL935294.1'
'AL935295.1'
'AL935295.2'
'AL935299.1'
'AL935303.1'
'AL935322.1'
'AL935334.1'
'AL935334.2'
'AL953866.1'
'AL953875.1'
'AL953907.1'
'AL953907.2'
'AL954138.2'
'AL954142.4'
'AL954149.2'
'AL954150.1'
'AL954187.4'
'AL954327.1'
'AL954672.1'
'AL954696.1'
'AL954696.2'
'AL954703.1'
'AL954726.1'
'AL954832.1'
'AL954832.2'
'AL954846.1'
'AMDHD1'
'ANKFN1'
'ANKRD50'
'ANOS1'
'ANPEP'
'AP3B2'
'AREL1'
'ARHGAP44'
'ARHGEF17'
'ATE1'
'ATP11B'
'ATP8A1'
'ATP9A'
'AXL'
'BDKRB2'
'BICD2'
'BRSK2'
'BX000363.1'
'BX000363.2'
'BX000364.1'
'BX000438.1'
'BX000460.1'
'BX000463.1'
'BX000463.2'
'BX000468.1'
'BX000522.1'
'BX000523.1'
'BX000524.2'
'BX000529.1'
'BX000696.2'
'BX000701.1'
'BX000705.1'
'BX000705.2'
'BX000981.6'
'BX000985.2'
'BX000991.2'
'BX001026.1'
'BX001046.1'
'BX001047.1'
'BX004770.1'
'BX004771.2'
'BX004784.1'
'BX004785.1'
'BX004785.2'
'BX004800.1'
'BX004800.2'
'BX004803.1'
'BX004812.1'
'BX004836.1'
'BX004842.1'
'BX004857.1'
'BX004869.1'
'BX004886.1'
'BX004970.1'
'BX004981.1'
'BX004996.1'
'BX005003.1'
'BX005011.1'
'BX005024.2'
'BX005032.1'
'BX005042.1'
'BX005043.2'
'BX005058.2'
'BX005065.1'
'BX005069.1'
'BX005073.2'
'BX005073.4'
'BX005075.1'
'BX005085.4'
'BX005101.1'
'BX005106.1'
'BX005121.1'
'BX005124.1'
'BX005154.1'
'BX005183.3'
'BX005194.1'
'BX005229.1'
'BX005254.1'
'BX005275.1'
'BX005278.1'
'BX005280.1'
'BX005283.1'
'BX005302.1'
'BX005308.2'
'BX005313.2'
'BX005321.1'
'BX005355.1'
'BX005375.1'
'BX005396.1'
'BX005396.2'
'BX005407.1'
'BX005419.1'
'BX005421.1'
'BX005421.2'
'BX005429.1'
'BX005438.1'
'BX005442.1'
'BX005442.3'
'BX005443.1'
'BX005445.1'
'BX005454.1'
'BX005459.1'
'BX005462.3'
'BX005484.1'
'BX072554.1'
'BX072554.3'
'BX088524.2'
'BX088538.1'
'BX088551.1'
'BX088583.1'
'BX088594.1'
'BX088596.1'
'BX088649.2'
'BX088686.1'
'BX088696.2'
'BX088709.1'
'BX119926.1'
'BX119954.1'
'BX247868.1'
'BX247899.1'
'BX247944.1'
'BX248092.1'
'BX248104.1'
'BX248108.1'
'BX248113.1'
'BX248122.1'
'BX248229.1'
'BX248239.1'
'BX248243.1'
'BX248324.1'
'BX248331.1'
'BX248390.1'
'BX248410.3'
'BX248410.4'
'BX248511.1'
'BX248512.1'
'BX248512.2'
'BX255912.1'
'BX255915.1'
'BX255915.2'
'BX255917.1'
'BX255920.1'
'BX255944.2'
'BX255967.1'
'BX276088.1'
'BX276098.1'
'BX276101.2'
'BX276117.1'
'BX276187.1'
'BX284620.3'
'BX284638.1'
'BX284638.2'
'BX284696.1'
'BX293559.1'
'BX293559.2'
'BX293991.1'
'BX294100.2'
'BX294100.4'
'BX294107.1'
'BX294177.1'
'BX294178.2'
'BX294178.3'
'BX294375.1'
'BX294379.1'
'BX294387.1'
'BX294434.1'
'BX294444.1'
'BX296516.1'
'BX296533.1'
'BX296552.1'
'BX296552.2'
'BX321875.1'
'BX321875.2'
'BX321877.1'
'BX321882.1'
'BX322530.1'
'BX322555.5'
'BX322577.1'
'BX322587.2'
'BX322603.1'
'BX322618.1'
'BX322618.2'
'BX322622.1'
'BX322660.1'
'BX322660.2'
'BX322661.3'
'BX323031.1'
'BX323031.2'
'BX323060.3'
'BX323067.1'
'BX323074.1'
'BX323076.1'
'BX323079.2'
'BX323087.1'
'BX323087.2'
'BX323448.1'
'BX323453.1'
'BX323459.2'
'BX323543.5'
'BX323550.5'
'BX323555.2'
'BX323573.1'
'BX323574.2'
'BX323578.1'
'BX323588.2'
'BX323593.1'
'BX323800.1'
'BX323807.2'
'BX323820.1'
'BX323822.1'
'BX323829.1'
'BX323830.1'
'BX323837.1'
'BX323854.1'
'BX323876.1'
'BX323994.1'
'BX324136.1'
'BX324156.2'
'BX324164.5'
'BX324202.1'
'BX324216.1'
'BX324224.1'
'BX324230.2'
'BX324233.1'
'BX465199.2'
'BX465215.1'
'BX465857.1'
'BX469913.1'
'BX469913.2'
'BX469918.1'
'BX469926.1'
'BX469928.1'
'BX469930.1'
'BX470083.1'
'BX470107.1'
'BX470112.1'
'BX470116.1'
'BX470123.1'
'BX470137.2'
'BX470154.2'
'BX470183.1'
'BX470214.1'
'BX470242.2'
'BX470263.1'
'BX510306.1'
'BX510309.2'
'BX510317.1'
'BX510319.1'
'BX510329.1'
'BX510649.1'
'BX510657.2'
'BX510919.1'
'BX510920.2'
'BX510928.1'
'BX510929.1'
'BX510941.2'
'BX510949.1'
'BX510991.1'
'BX511023.1'
'BX511025.1'
'BX511073.1'
'BX511086.1'
'BX511086.2'
'BX511089.4'
'BX511108.1'
'BX511108.2'
'BX511109.1'
'BX511116.1'
'BX511121.1'
'BX511127.1'
'BX511132.1'
'BX511142.1'
'BX511184.1'
'BX511196.1'
'BX511212.1'
'BX511223.1'
'BX511224.1'
'BX511261.1'
'BX511261.2'
'BX530017.1'
'BX530032.2'
'BX530067.1'
'BX530075.2'
'BX530075.3'
'BX530406.1'
'BX537104.1'
'BX537109.2'
'BX537110.1'
'BX537130.1'
'BX537137.3'
'BX537142.1'
'BX537143.1'
'BX537166.2'
'BX537168.1'
'BX537274.1'
'BX537276.1'
'BX537277.3'
'BX537287.1'
'BX537293.1'
'BX537305.1'
'BX537310.2'
'BX537313.1'
'BX537335.1'
'BX537338.1'
'BX539308.1'
'BX539313.2'
'BX539321.2'
'BX539325.1'
'BX546453.1'
'BX546459.1'
'BX546500.1'
'BX547930.1'
'BX547930.4'
'BX547939.1'
'BX547992.1'
'BX547992.2'
'BX547993.4'
'BX548018.1'
'BX548024.2'
'BX548032.3'
'BX548033.1'
'BX548045.1'
'BX548045.2'
'BX548046.1'
'BX548073.5'
'BX548160.1'
'BX548170.1'
'BX548246.1'
'BX548249.1'
'BX569789.2'
'BX569790.1'
'BX569793.1'
'BX571665.1'
'BX571674.1'
'BX571678.1'
'BX571694.1'
'BX571700.1'
'BX571707.1'
'BX571768.1'
'BX571772.1'
'BX571794.1'
'BX571794.3'
'BX571803.1'
'BX571803.4'
'BX571820.1'
'BX571827.3'
'BX571828.1'
'BX571828.2'
'BX571837.1'
'BX571839.1'
'BX571884.2'
'BX571942.1'
'BX571952.1'
'BX571960.1'
'BX572620.1'
'BX572622.1'
'BX572622.2'
'BX601644.7'
'BX601646.1'
'BX640512.3'
'BX640518.1'
'BX640522.1'
'BX640522.2'
'BX640584.10'
'BX649231.1'
'BX649263.1'
'BX649266.1'
'BX649292.1'
'BX649294.1'
'BX649297.1'
'BX649300.2'
'BX649313.1'
'BX649328.2'
'BX649331.1'
'BX649331.2'
'BX649337.2'
'BX649345.1'
'BX649349.2'
'BX649397.1'
'BX649403.1'
'BX649411.1'
'BX649423.3'
'BX649434.1'
'BX649442.2'
'BX649448.1'
'BX649448.2'
'BX649471.1'
'BX649490.1'
'BX649556.1'
