,source,target,coef_mean,coef_abs,p,-logp
0,dmrta2,adamts10,-0.00067560904,0.00067560904,0.02102332926715092,1.677298507724476
1,fli1b,adamts10,-0.0004914997,0.0004914997,0.01811324971493481,1.7420036255196207
2,ebf3a,adamts10,0.00031705454,0.00031705454,0.007362543793113061,2.1329721089721376
3,tfap2a,adamts10,0.00046433636,0.00046433636,0.006243851145352558,2.204547459152634
4,mafbb,adamts10,0.002715967,0.002715967,1.8545392808578693e-05,4.731763963478996
5,ebf3b,adamts10,0.0003449879,0.0003449879,0.12411093529806647,0.906189951536073
6,foxg1a,adamts10,-0.0026746066,0.0026746066,2.0915831432457816e-07,6.679524866949879
7,spi1b,adamts10,-0.0007949476,0.0007949476,0.0011209685516947654,2.950406571184696
8,esr2a,adamts10,0.00080748333,0.00080748333,0.01384519470908089,1.858700932263311
9,ebf1b,adamts10,0.0010844509,0.0010844509,0.0016080851520559431,2.793690958019855
10,bcl11ab,adamts10,0.00089797855,0.00089797855,0.010749939678805555,1.968593972700505
11,mef2b,adamts10,-0.00091260416,0.00091260416,0.0007049508579883111,3.151841156552383
12,tbx16,adamts10,-0.004430417,0.004430417,5.903473467151732e-12,11.22889238433336
13,foxa2,adamts10,-0.0006770031,0.0006770031,0.07599421394085361,1.1192194728405092
14,foxn3,adamts10,0.001259481,0.001259481,0.00835450471723408,2.0780792914256434
15,nhlh2,adamts10,-0.0040349746,0.0040349746,1.3820965137516627e-08,7.859461628505789
16,ebf2,adamts10,-0.0005490778,0.0005490778,0.042367615790362016,1.3729659749469343
17,tbx4,adamts10,0.0008818556,0.0008818556,1.9436074720056638e-05,4.711391440003871
18,elk3,adamts10,0.0016672668,0.0016672668,3.315058811381891e-07,6.479508762513487
19,myod1,adamts10,0.007089493,0.007089493,9.589888163394979e-08,7.018186457511677
20,etv4,adamts10,0.00214572,0.00214572,1.1792371868026119e-07,6.928398833955403
21,foxp1b,adamts10,0.0037726942,0.0037726942,6.585044053980089e-10,9.181441315260063
22,tbx20,adamts10,-0.001136256,0.001136256,3.621894150324682e-05,4.441064246071003
23,mef2aa,adamts10,-0.0003196526,0.0003196526,0.2747205367359098,0.5611088736784406
24,foxi3b,adamts10,-0.00041490543,0.00041490543,0.16331491374619847,0.7869741541369693
25,dmrt2a,adamts10,0.0058943206,0.0058943206,7.350340719377879e-12,11.13369252906328
26,tbx5a,adamts10,0.0010176328,0.0010176328,0.004508908289570741,2.345928598079639
27,mef2ca,adamts10,-0.0010744431,0.0010744431,0.07588551662753751,1.1198411048549186
28,foxi3a,adamts10,0.0017717091,0.0017717091,1.3000853088527277e-05,4.886028149271296
29,dmrt2b,adamts10,-0.000578346,0.000578346,0.17775789749970072,0.7501710951588231
30,myog,adamts10,0.0061936867,0.0061936867,7.46768610752207e-12,11.126813945226987
31,tbx2b,adamts10,-0.0020025475,0.0020025475,7.390193621680766e-05,4.1313441830225
32,mef2d,adamts10,0.012676755,0.012676755,7.731300083557401e-17,16.111747469647057
33,fli1a,adamts10,0.0015926406,0.0015926406,1.7365806521073903e-09,8.760305041923155
34,tal1,adamts10,-0.00029356082,0.00029356082,0.07213603984286754,1.1418477034592756
35,foxi2,adamts10,0.00051967107,0.00051967107,0.09097132935734509,1.0410954589295365
