,source,target,coef_mean,coef_abs,p,-logp
0,dmrta2,adamts10,-0.0026519957,0.0026519957,4.125262789585267e-06,5.384548380585187
1,fli1b,adamts10,-9.4037525e-05,9.4037525e-05,0.7034379349496449,0.15277421478640008
2,ebf3a,adamts10,-0.00086348323,0.00086348323,0.14077490931879638,0.8514747437408803
3,tfap2a,adamts10,0.00148618,0.00148618,0.0038975512253945476,2.409208168182741
4,mafbb,adamts10,-0.00047578532,0.00047578532,0.3929622887563118,0.40564912537743414
5,ebf3b,adamts10,-0.00028959406,0.00028959406,0.23892060701767892,0.6217463905259472
6,foxg1a,adamts10,-0.0019880014,0.0019880014,0.007507122975981923,2.1245264697932775
7,spi1b,adamts10,-0.0022890614,0.0022890614,4.899188508366903e-06,5.309875849670332
8,esr2a,adamts10,-0.000889292,0.000889292,0.0019568769945234364,2.7084364723893355
9,ebf1b,adamts10,0.0031251917,0.0031251917,1.7628826529075566e-09,8.753776595749953
10,bcl11ab,adamts10,0.0042635044,0.0042635044,1.227394363797716e-06,5.911015875330375
11,mef2b,adamts10,-0.0005037125,0.0005037125,0.21598989027330381,0.6655665761697651
12,tbx16,adamts10,-0.0022224614,0.0022224614,7.408344727191874e-06,5.1302788171422815
13,foxa2,adamts10,0.0011080587,0.0011080587,0.041915983147730464,1.3776203429222562
14,foxn3,adamts10,0.008759046,0.008759046,6.457875976751379e-11,10.18991029984684
15,nhlh2,adamts10,-0.0036155453,0.0036155453,1.3749975120494211e-07,6.861698087654944
16,ebf2,adamts10,-0.0025165847,0.0025165847,0.000976468614985531,3.0103417109605046
17,tbx4,adamts10,-0.00078896375,0.00078896375,0.016557736511270935,1.7809990327596323
18,elk3,adamts10,0.0013137022,0.0013137022,0.005732913976537981,2.24162457484754
19,myod1,adamts10,0.010243382,0.010243382,2.904914764749061e-07,6.5368666060420555
20,etv4,adamts10,0.0048828553,0.0048828553,7.172835718614872e-13,12.144309115813952
21,foxp1b,adamts10,0.0039570346,0.0039570346,0.0013286417058257125,2.8765921192543282
22,tbx20,adamts10,0.0018496973,0.0018496973,7.694788315766392e-06,5.113803323143626
23,mef2aa,adamts10,-0.0023332261,0.0023332261,0.001620262415170304,2.7904146421048392
24,foxi3b,adamts10,0.0012819155,0.0012819155,6.071963033101265e-07,6.21667088114568
25,dmrt2a,adamts10,0.0033635336,0.0033635336,5.665825005168457e-06,5.246736843240105
26,tbx5a,adamts10,0.0003815117,0.0003815117,0.21495703270563266,0.6676483415900741
27,mef2ca,adamts10,-0.0041222097,0.0041222097,0.0016098361604257676,2.7932183216350643
28,foxi3a,adamts10,-0.00062582345,0.00062582345,0.0003268231599848346,3.4856871752203373
29,dmrt2b,adamts10,-0.0032152385,0.0032152385,2.222643092475062e-08,7.653130269830472
