,source,target,coef_mean,coef_abs,p,-logp
15938,foxi3a,wnk2,0.00016104744,0.00016104744,1.1036754213386861e-05,4.9571586290047405
15939,hoxc6b,wnk2,0.00019026714,0.00019026714,0.013897336493179015,1.8570684268794606
15940,prrx1a,wnk2,-0.00019582437,0.00019582437,0.022821292915715212,1.6416597547357437
15941,gbx1,wnk2,0.00040043198,0.00040043198,6.505663363103464e-07,6.1867084131305665
15942,rxrab,wnk2,7.9631674e-05,7.9631674e-05,0.36110463964311923,0.4423669315165133
15943,foxd5,wnk2,-3.598434e-05,3.598434e-05,0.4815397524935998,0.3173678547990847
15944,foxd3,wnk2,-0.00016344766,0.00016344766,0.04341062958955341,1.3624039154908065
15945,pbx1a,wnk2,0.00042442657,0.00042442657,2.2636284346224102e-06,5.645194859301983
15946,rxraa,wnk2,0.00039061488,0.00039061488,8.326835417587788e-08,7.0795200192182275
15947,cdx4,wnk2,-0.0002650258,0.0002650258,0.002962807411894656,2.5282965775681263
15948,vax2,wnk2,0.00018066121,0.00018066121,0.011535521164923396,1.9379627796485304
15949,evx2,wnk2,0.00024909235,0.00024909235,1.2504959599853081e-05,4.902917707019382
15950,foxd1,wnk2,-0.00048756792,0.00048756792,1.540908686279151e-10,9.812223096661267
15951,rarga,wnk2,-0.0004962766,0.0004962766,1.964719576268663e-08,7.70669942756335
15952,nfia,wnk2,0.00019234115,0.00019234115,0.013879890963299219,1.8576139455687342
15953,msx3,wnk2,0.0001499109,0.0001499109,4.870555725697276e-05,4.312421483377884
15954,lhx5,wnk2,-0.0003847542,0.0003847542,1.8522663675408528e-05,4.732296558887963
15955,nkx1.2la,wnk2,-4.6300313e-05,4.6300313e-05,0.42436483423145366,0.37226061188661963
15956,dlx1a,wnk2,0.00022968621,0.00022968621,1.0640030238639055e-07,6.973057137787642
15957,phox2bb,wnk2,0.00046976452,0.00046976452,4.4876960142130083e-10,9.347976568824334
15958,isl1,wnk2,0.00015688913,0.00015688913,0.00010077138917611912,3.996662754464728
15959,lmx1a,wnk2,-0.00054995716,0.00054995716,2.974582007897428e-09,8.526574053269066
15960,hoxa10b,wnk2,-0.00018705429,0.00018705429,0.00658306719525237,2.18157171191713
15961,msx2b,wnk2,-0.00015389106,0.00015389106,2.3308210457711203e-05,4.6324910691725
15962,otpb,wnk2,1.9376384e-05,1.9376384e-05,0.5198039645228013,0.2841604124767722
15963,mnx2a,wnk2,0.00033799684,0.00033799684,0.00031349987582554,3.5037626268533395
15964,pbx1b,wnk2,-0.00034542222,0.00034542222,6.0577241469559144e-05,4.217690507197046
15965,elk3,wnk2,-2.9557097e-05,2.9557097e-05,0.5031333859679537,0.2983168636311495
15966,fosaa,wnk2,-0.0002473864,0.0002473864,3.184313960872287e-08,7.496984119090057
15967,barhl2,wnk2,0.0003514772,0.0003514772,7.430388090661206e-08,7.1289885023590776
15968,rx3,wnk2,-0.00016682704,0.00016682704,0.003921578517131012,2.4065390852018025
15969,ved,wnk2,-0.00045873836,0.00045873836,4.1853622838475563e-07,6.378266943628638
15970,en2b,wnk2,-0.0003821742,0.0003821742,1.775793022438223e-05,4.750607654802504
15971,fosb,wnk2,-0.00037454237,0.00037454237,8.619764633153074e-11,10.064504592634497
15972,rx1,wnk2,-0.00015581277,0.00015581277,0.0137925983252299,1.8603539113432102
15973,hmx3a,wnk2,0.00018827782,0.00018827782,8.43615867007041e-06,5.07385526050107
15974,tfec,wnk2,0.00020214198,0.00020214198,0.00016442552838276644,3.7840307538576305
15975,nr2e1,wnk2,-0.000461162,0.000461162,5.642378279563687e-07,6.248537800984629
15976,en2a,wnk2,0.0003197377,0.0003197377,7.307603346695737e-05,4.136225033981843
15977,fli1a,wnk2,0.0004494556,0.0004494556,9.136332211653115e-08,7.039228117169084
15978,rfx4,wnk2,-0.00082755415,0.00082755415,8.057797947448637e-06,5.093783626921367
15979,foxi2,wnk2,0.00014728919,0.00014728919,0.001653173972218797,2.7816814409240433
15980,tcf7l2,wnk2,0.0007842951,0.0007842951,1.0265377457694838e-09,8.988625077001604
15981,arxa,wnk2,0.0003234494,0.0003234494,6.589837792513188e-06,5.1811252753427794
15982,lhx1a,wnk2,0.00012280332,0.00012280332,0.0089709670267605,2.0471607395925275
