,source,target,coef_mean,coef_abs,p,-logp
0,dmrta2,adamts10,0.000535595,0.000535595,0.00023105051990779027,3.6362930498986614
1,fli1b,adamts10,0.00026376915,0.00026376915,0.01553171393435964,1.8087806169589264
2,ebf3a,adamts10,0.0007514193,0.0007514193,1.2883169713460225e-09,8.88997727209217
3,tfap2a,adamts10,0.0012745728,0.0012745728,3.9024234511169513e-07,6.4086656071851
4,mafbb,adamts10,0.0011261562,0.0011261562,1.013034955105609e-07,6.9943755689066816
5,ebf3b,adamts10,-0.00017802343,0.00017802343,0.03761508718025623,1.4246379272819774
6,foxg1a,adamts10,0.0008890762,0.0008890762,5.783935937336353e-06,5.237776525916741
7,spi1b,adamts10,9.1553906e-05,9.1553906e-05,0.6349634505807092,0.19725127261030548
8,esr2a,adamts10,-6.078088e-05,6.078088e-05,0.6117640870781516,0.2134160213715668
9,ebf1b,adamts10,-0.00042730998,0.00042730998,0.0461300709700268,1.3360158772393962
10,bcl11ab,adamts10,0.00062188075,0.00062188075,6.080292979556823e-05,4.2160754936977805
11,mef2b,adamts10,0.00061208586,0.00061208586,4.67910254562399e-06,5.329837436852993
12,tbx16,adamts10,0.00022784564,0.00022784564,0.0014617807333835013,2.83511776651852
13,foxa2,adamts10,-0.00045209398,0.00045209398,0.00044589363358174896,3.3507687284130174
14,foxn3,adamts10,-0.00016314258,0.00016314258,0.5174670419727712,0.2861173056684764
15,nhlh2,adamts10,-0.00019396706,0.00019396706,0.02160031885332227,1.665539837959424
16,ebf2,adamts10,0.0002818989,0.0002818989,0.0015127395105040012,2.8202358498290327
17,tbx4,adamts10,-0.0006756536,0.0006756536,8.696380806154731e-05,4.060661451167546
18,elk3,adamts10,0.00087783457,0.00087783457,4.102572317389001e-07,6.386943754755996
19,myod1,adamts10,0.0031768426,0.0031768426,1.0985357161189979e-10,9.959185818523865
20,etv4,adamts10,9.587418e-05,9.587418e-05,0.36486504650888196,0.4378677393632435
21,foxp1b,adamts10,-7.676551e-05,7.676551e-05,0.6458325886626055,0.1898800442998813
22,tbx20,adamts10,-0.00026597833,0.00026597833,0.019340810650929522,1.7135253268483022
23,mef2aa,adamts10,0.00048242806,0.00048242806,0.012304594096071413,1.9099327082304942
24,foxi3b,adamts10,-4.0292838e-05,4.0292838e-05,0.3919804551982423,0.40673558708966434
25,dmrt2a,adamts10,0.0010506932,0.0010506932,3.355810331423998e-07,6.47420259323777
