"","degree_all","degree_in","degree_out","clustering_coefficient","clustering_coefficient_weighted","degree_centrality_all","degree_centrality_in","degree_centrality_out","betweenness_centrality","closeness_centrality","eigenvector_centrality","page_rank","assortative_coefficient","average_path_length","community_random_walk","module","connectivity","participation","role"
"hmga1a",91,35,56,0.0596097300187116,0.0833774950837637,0.201773835920177,0.0776053215077605,0.124168514412417,8952,0.105720653204588,1,0.00637799551983495,-0.283294253036327,0.0812102192890931,1,3,5.73831878108667,0.708151671290792,"Connector Hub"
"zic1",5,0,5,0,0,0.0110864745011086,0,0.0110864745011086,0,2.68501008995914,0.0203335962586465,0.00150617969512403,-0.283294253036327,0.0812102192890931,6,2,-0.465426270618497,0.72,"Connector"
"nr2f1b",38,1,37,0.0510510510510511,0.0499494624909201,0.0842572062084257,0.00221729490022173,0.082039911308204,1953,0.110799024950232,0.091043871815454,0.00155180343786846,-0.283294253036327,0.0812102192890931,1,1,1.88641473128911,0.756756756756757,"Connector"
"rfx4",18,3,15,0.124183006535948,0.115619414395599,0.0399113082039911,0.00665188470066519,0.0332594235033259,2825,0.0898495498695193,0.0664071959387856,0.00228679895650991,-0.283294253036327,0.0812102192890931,1,1,0.763460578871425,0.716049382716049,"Connector"
"sox21a",43,4,39,0.0650406504065041,0.0692348469843842,0.0953436807095344,0.00886917960088692,0.0864745011086474,549,0.0533975892012641,0.462496924425737,0.00170512050897566,-0.283294253036327,0.0812102192890931,1,3,1.86668201312458,0.748299319727891,"Connector"
"myog",21,0,21,0.0333333333333333,0.0329786634573153,0.0465631929046563,0,0.0465631929046563,0,0.0785420420994769,0.101193436028777,0.00150617969512403,-0.283294253036327,0.0812102192890931,1,3,0.898772821134056,0.643990929705215,"Connector"
"sox11b",39,4,35,0.0298719772403983,0.0385538302943365,0.0864745011086474,0.00886917960088692,0.0776053215077605,745,0.0569172556963023,0.325306874918337,0.00183597865547428,-0.283294253036327,0.0812102192890931,1,3,2.02800021178967,0.714681440443213,"Connector"
"raraa",33,2,31,0.0860215053763441,0.0870337388211365,0.0731707317073171,0.00443458980044346,0.0687361419068736,2611,0.0857488817253597,0.214791565897363,0.00158860318171314,-0.283294253036327,0.0812102192890931,1,3,0.898772821134056,0.763787721123829,"Connector"
"pax7a",17,8,9,0.0735294117647059,0.110100694277576,0.0376940133037694,0.0177383592017738,0.0199556541019956,160,2.60550159269362,0.0382243193472713,0.00272941889939806,-0.283294253036327,0.0812102192890931,1,0,0.88770520946476,0.636678200692042,"Connector"
"msx1b",32,2,30,0.0423387096774194,0.037059739991958,0.0709534368070953,0.00443458980044346,0.0665188470066519,270,0.089150872834362,0.121514293712477,0.00174518625239216,-0.283294253036327,0.0812102192890931,1,5,1.11464293583644,0.763671875,"Connector"
