source,target,coef_abs
hmga1a,hmgb2b,0.21616513
hmga1a,hsp90ab1,0.17215432
hmga1a,stmn1a,0.17086627
hmga1a,eef2b,0.1667063
hmga1a,rplp0,0.16442715
hmga1a,rps6,0.15603048
hmga1a,rplp1,0.15477553
hmga1a,rpl12,0.15408742
hmga1a,rpl7a,0.14573842
hmga1a,tuba8l4,0.14342435
hmga1a,rpl18a,0.14146794
hmga1a,eef1a1l1,0.14007951
hmga1a,eif5a2,0.1377416
hmga1a,rps2,0.13763638
hmga1a,ptmab,0.13527396
hmga1a,hmgn2,0.12896237
hmga1a,hmgb2a,0.12866813
hmga1a,apoc1,0.12126824
hmga1a,si:ch73-281n10.2,0.11651889
hmga1a,cfl1,0.11456526
hmga1a,tubb2b,0.11395382
hmga1a,rpl24,0.1128431
irx3a,mdka,0.11205456
myog,apoc1,0.10898729
hmga1a,rrm2,0.10399338
rfx4,tenm4,0.100131616
pax7a,cntfr,0.095650814
irx3a,pax7a,0.094042934
hmga1a,ncl,0.09353502
irx3a,pax3a,0.09121375
hmga1a,si:ch73-21g5.7,0.09118924
hmga1a,setb,0.09085565
rx1,rpl3,0.083184674
hmga1a,marcksl1a,0.08007645
irx3a,boc,0.0755802
sox11b,id1,0.07329666
msx1b,mdkb,0.07328375
hmga1a,hmgb1b,0.07132225
hmga1a,prmt1,0.070859805
en2b,efna2a,0.0697674
pax7a,pax7b,0.06947185
foxd1,histh1l,0.06877317
foxg1d,pax7a,0.06821333
pax6b,id1,0.067605235
rx1,hmgb2b,0.067172565
rfx4,ntn1a,0.0669664
pax6a,fgfr3,0.06607691
dbx1a,rpl3,0.06566628
her9,tpt1,0.065170236
hmga1a,mki67,0.06506438
sox21a,mibp2,0.06343144
meis2a,tenm4,0.06340651
irx3a,nucks1a,0.06260822
tbx2a,serbp1a,0.061836407
foxg1d,boc,0.061282568
her9,rplp0,0.061120447
tp53,ccng1,0.061085474
sox21a,serbp1a,0.06108513
rfx4,cntfr,0.061046097
hoxa4a,tuba1a,0.06100845
myog,histh1l,0.060732786
sox6,ptmaa,0.06056407
sox21a,actc1b,0.060076546
hmga1a,dkc1,0.059846804
hoxa4a,stmn1a,0.05937683
her9,seta,0.059049144
sox21a,pcna,0.058916304
hmga1a,rsl1d1,0.058879692
sox21a,rps20,0.058559336
sox21a,banf1,0.05821267
sox21a,mdka,0.05737587
foxn3,cdon,0.056820165
rx1,tpt1,0.056812577
rx1,ppiaa,0.056105576
rx1,hspe1,0.055986162
rx1,pcna,0.055864315
sox21a,tuba1a,0.05556346
sox5,mdka,0.054640852
rx1,rpl12,0.05438853
sox6,tuba1a,0.05406443
hmga1a,npm1a,0.054026403
nr2f1b,fgfr2,0.05364313
rx1,rps20,0.053581856
sox21a,rps6,0.053526413
sox21a,setb,0.05351594
myog,hmgb2b,0.052809022
hmx4,snu13b,0.052760594
sox6,serbp1a,0.052691728
rxraa,apoc1,0.052450504
irx1b,id1,0.05224556
her9,tuba8l4,0.052185494
sox21a,rpsa,0.052156184
her6,cntfr,0.05123009
rx1,hspa8,0.051059432
hoxb1b,tenm4,0.050117895
myog,rps20,0.05009858
nr2f1b,epha4b,0.05000647
nr6a1b,apoc1,0.049765542
hmga1a,gstp1,0.049625557
pax5,efna2a,0.04898849
pax3a,pax7b,0.048389576
sox13,seta,0.048292626
rx1,rpsa,0.048095357
zic1,histh1l,0.048080694
irx1b,histh1l,0.048047725
sox21a,hmga1a,0.047994975
sox11b,hmga1a,0.047959168
sox11b,si:ch73-21g5.7,0.047898266
sox21a,cirbpa,0.04785868
sox6,nop56,0.04782081
rx1,fabp7a,0.04781378
nr2f1b,ntn1a,0.047629233
hmga1a,ddx21,0.04754026
sox21a,fabp7a,0.047024965
rx1,eif5a2,0.046954535
sp9,tenm4,0.046930816
irx3a,id1,0.04691287
irx7,mdka,0.046800062
mef2aa,tuba1a,0.04679107
rx1,h3f3b.1,0.046633758
sox21a,hspa8,0.04652115
rx1,nme2b.1,0.04651969
sox11b,hmgb1b,0.046405267
