,Gene
7,si:ch73-217b7.1
18,snd1
19,cyp2y3
36,he1.1
43,si:dkey-269i1.4
54,morc3b
58,nab1b
72,szl
74,baiap2l2a
90,ctslb
102,phkg2
107,trrap
110,ELAPOR1
117,eepd1
118,farp1
123,map3k15
165,aatka
172,sox17
173,si:ch211-152c2.3
175,fgf24
176,pard3ba
183,si:dkey-193c22.1
186,ctnnd1
189,ctslb.2
193,abi1a
199,FADS6
205,frem2b
211,tram1
219,myo9b
220,alpi.1
223,myzap
227,calr3b
229,ppp1r3aa
239,CABZ01077956.1
245,fa2h
252,fgfbp1b
260,he1.2
261,cpda
264,hpgd
265,cenpf
270,p4ha3
295,odf3l2b
298,st14a
299,arhgap29b
314,BX571768.1
316,vipr1a
320,cyt1l
324,rhbdl2
328,xk
330,ca10b
337,cyt1
343,aox5
345,wnt10a
355,limk2
368,nrip1a
371,tbc1d30
372,col7a1
374,slc12a2
384,fhod3a
385,si:dkey-269i1.4.1
389,capn2b
402,si:dkey-239j18.2
411,galnt2
413,si:ch211-247j9.1
419,ovol1b
421,rpn2
425,zranb3
431,smurf1
437,rrbp1a
444,nt5c2b
449,tmprss9
461,zgc:86896
478,npr1b
491,dipk1aa
494,stim1a
496,atp2a2a
507,gse1
510,eml2
513,cx44.2
515,zgc:92360
525,ptp4a2b
532,cyp2aa1
536,cdx1a
554,klf5l
557,si:ch211-1e14.1
563,zgc:158403
575,selenop2
578,phactr4a
583,si:ch73-95l15.5
592,ern1
616,wnt6b
618,slc2a11b
648,si:ch211-202p1.5
649,camkk1a
653,oclna
657,lpcat1
664,tjp2a
665,sdk2a
677,selenon
691,si:ch211-166a6.5
695,cabp2b
696,f3a
704,FAM83G
710,sfrp2l
713,spaca4l
720,sptlc3
722,stk33
723,erbb3a
729,pwp2h
730,si:dkey-238i5.2
733,coro2a
736,egr2a
739,myh9a
752,MYO9B
756,stm
761,frem2a
763,svopl
767,BX601646.1
770,cdkl1
772,hoxd11a
782,tnfaip8l1
784,emid1
801,si:dkey-240h12.3
808,ogna
816,tubb5
818,ndp
821,adam28
827,spag9a
830,kdm6ba
844,nuak2
851,dtnbb
853,zbtb7a
855,tgfb1a
859,cers2b
866,crlf1a
870,vent
873,aipl1
876,cert1a
905,itprid1
907,crybg1a
913,ssr2
916,epb41l4b
922,si:dkey-235d18.5
930,gdpd2
933,foxl2a
944,esrp1
950,pald1b
