,gene,n_celltypes,celltypes,total_peaks,peaks_in_optic_cup_early,peaks_in_hatching_gland,peaks_in_unassigned,peaks_in_tail_bud_late,peaks_in_muscle,peaks_in_lateral_plate,peaks_in_PSM,peaks_in_enteric_neurons,peaks_in_hemangioblasts,peaks_in_floor_plate,peaks_in_diff_neurons,peaks_in_midbrain_hindbrain_boundary,peaks_in_NMPs,peaks_in_hematopoietic_vasculature,peaks_in_fast_muscle,peaks_in_neural,peaks_in_endoderm,peaks_in_heart_myocardium,peaks_in_hindbrain,peaks_in_notochord,peaks_in_epidermis,peaks_in_endo_pancreas,peaks_in_neural_crest
9888,ar,23,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,lateral_plate,PSM,enteric_neurons,hemangioblasts,floor_plate,diff_neurons,midbrain_hindbrain_boundary,NMPs,hematopoietic_vasculature,fast_muscle,neural,endoderm,heart_myocardium,hindbrain,notochord,epidermis,endo_pancreas,neural_crest",650,131,13,301,103,16,4,9,4,15,8,5,1,3,11,2,1,1,2,8,4,3,4,1
8578,gc,18,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,lateral_plate,PSM,enteric_neurons,hemangioblasts,floor_plate,midbrain_hindbrain_boundary,NMPs,hematopoietic_vasculature,fast_muscle,neural,endoderm,hindbrain,endo_pancreas",478,72,18,254,76,8,8,4,3,8,3,0,5,1,3,1,3,3,0,7,0,0,1,0
9345,c4,18,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,lateral_plate,PSM,enteric_neurons,hemangioblasts,floor_plate,midbrain_hindbrain_boundary,hematopoietic_vasculature,fast_muscle,neural,endoderm,heart_myocardium,hindbrain,notochord",264,39,7,137,43,6,2,7,1,7,2,0,2,0,3,2,1,1,1,1,2,0,0,0
5557,tg,17,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,lateral_plate,enteric_neurons,hemangioblasts,floor_plate,diff_neurons,midbrain_hindbrain_boundary,neural,heart_myocardium,hindbrain,notochord,epidermis,neural_crest",163,19,3,95,23,5,5,0,1,1,2,1,1,0,0,0,1,0,1,2,1,1,0,1
11381,cp,15,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,lateral_plate,PSM,enteric_neurons,hemangioblasts,floor_plate,hematopoietic_vasculature,fast_muscle,neural,heart_myocardium,notochord",180,24,2,105,27,1,1,3,1,3,3,0,0,0,2,2,1,0,1,0,4,0,0,0
991,cdh1,15,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,PSM,enteric_neurons,hemangioblasts,floor_plate,midbrain_hindbrain_boundary,fast_muscle,endoderm,heart_myocardium,hindbrain,notochord",149,22,2,97,12,1,0,2,2,1,2,0,1,0,0,1,0,1,2,1,2,0,0,0
9845,tnn,14,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,PSM,enteric_neurons,floor_plate,diff_neurons,midbrain_hindbrain_boundary,fast_muscle,neural,heart_myocardium,notochord",120,23,1,68,13,3,0,2,2,0,1,1,1,0,0,1,1,0,2,0,1,0,0,0
8834,cad,13,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,lateral_plate,PSM,enteric_neurons,hemangioblasts,floor_plate,midbrain_hindbrain_boundary,hematopoietic_vasculature,notochord",114,13,1,63,18,1,1,2,3,1,5,0,3,0,1,0,0,0,0,0,2,0,0,0
4059,th,12,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,lateral_plate,enteric_neurons,hemangioblasts,floor_plate,diff_neurons,NMPs,notochord",168,30,1,93,29,3,2,0,1,2,2,2,0,1,0,0,0,0,0,0,2,0,0,0
11341,ada,12,"optic_cup_early,unassigned,tail_bud_late,muscle,lateral_plate,PSM,hemangioblasts,NMPs,hematopoietic_vasculature,neural,hindbrain,notochord",156,24,0,89,27,1,2,5,0,2,0,0,0,1,2,0,1,0,0,1,1,0,0,0
8441,mb,12,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,hemangioblasts,floor_plate,midbrain_hindbrain_boundary,NMPs,hindbrain,notochord,endo_pancreas",122,17,1,59,25,6,0,0,0,5,2,0,1,1,0,0,0,0,0,2,1,0,2,0
3111,nan,12,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,lateral_plate,PSM,diff_neurons,midbrain_hindbrain_boundary,hematopoietic_vasculature,fast_muscle,hindbrain",69,6,2,34,13,1,3,1,0,0,0,1,2,0,1,1,0,0,0,4,0,0,0,0
5722,c5,11,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,lateral_plate,PSM,hemangioblasts,floor_plate,fast_muscle,notochord",146,16,1,101,18,2,2,1,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0
2700,plek,11,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,lateral_plate,floor_plate,diff_neurons,hematopoietic_vasculature,endoderm,hindbrain",63,11,1,36,6,1,1,0,0,0,2,1,0,0,2,0,0,1,0,1,0,0,0,0
5654,dcc,11,"optic_cup_early,unassigned,tail_bud_late,muscle,lateral_plate,hemangioblasts,floor_plate,diff_neurons,hematopoietic_vasculature,neural,hindbrain",28,3,0,6,8,2,1,0,0,2,2,1,0,0,1,0,1,0,0,1,0,0,0,0
2888,auts2a,10,"optic_cup_early,unassigned,tail_bud_late,lateral_plate,PSM,hemangioblasts,floor_plate,heart_myocardium,hindbrain,neural_crest",20,5,0,4,1,0,1,1,0,2,3,0,0,0,0,0,0,0,1,1,0,0,0,1
694,f5,9,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,hemangioblasts,floor_plate,hematopoietic_vasculature,hindbrain",82,21,1,34,14,6,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0
8687,cdh15,9,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,enteric_neurons,fast_muscle,endoderm,notochord",62,9,1,43,4,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
8917,TENM2,9,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,enteric_neurons,hemangioblasts,midbrain_hindbrain_boundary,notochord",55,12,1,35,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
7409,atr,9,"optic_cup_early,unassigned,tail_bud_late,lateral_plate,PSM,diff_neurons,hematopoietic_vasculature,hindbrain,neural_crest",51,5,0,35,5,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
6135,rb1,9,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,lateral_plate,enteric_neurons,floor_plate,NMPs,hindbrain",46,7,2,22,10,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
9848,rel,9,"optic_cup_early,unassigned,tail_bud_late,lateral_plate,enteric_neurons,hemangioblasts,floor_plate,neural,notochord",37,7,0,17,4,0,1,0,1,1,3,0,0,0,0,0,1,0,0,0,2,0,0,0
3030,star,9,"hatching_gland,unassigned,tail_bud_late,muscle,lateral_plate,hemangioblasts,neural,hindbrain,endo_pancreas",23,0,1,11,3,3,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
5323,tcf7,9,"optic_cup_early,unassigned,tail_bud_late,muscle,lateral_plate,hemangioblasts,floor_plate,NMPs,hindbrain",22,4,0,5,3,1,1,0,0,2,3,0,0,1,0,0,0,0,0,2,0,0,0,0
6572,lsr,9,"optic_cup_early,unassigned,tail_bud_late,PSM,hemangioblasts,floor_plate,midbrain_hindbrain_boundary,hindbrain,neural_crest",17,3,0,6,2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1
10966,tspan1,9,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,hemangioblasts,floor_plate,diff_neurons,hematopoietic_vasculature,hindbrain",17,5,1,4,2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
11000,cdh2,8,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,enteric_neurons,floor_plate,midbrain_hindbrain_boundary",94,12,1,62,11,2,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
5968,mag,8,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,PSM,enteric_neurons,floor_plate",55,15,1,25,8,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6242,lpp,8,"optic_cup_early,unassigned,tail_bud_late,muscle,PSM,enteric_neurons,floor_plate,hematopoietic_vasculature",55,7,0,37,5,1,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
3788,cntnap2a,8,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,lateral_plate,PSM,hemangioblasts",49,5,3,34,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6278,galt,8,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,lateral_plate,hemangioblasts,midbrain_hindbrain_boundary,hematopoietic_vasculature",46,5,4,29,4,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5152,egf,8,"optic_cup_early,unassigned,tail_bud_late,muscle,midbrain_hindbrain_boundary,hematopoietic_vasculature,fast_muscle,hindbrain",40,4,0,24,5,1,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,0,0,0
5898,atrn,8,"optic_cup_early,unassigned,tail_bud_late,PSM,diff_neurons,hematopoietic_vasculature,hindbrain,neural_crest",39,3,0,27,4,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
8878,tprn,8,"optic_cup_early,unassigned,tail_bud_late,PSM,floor_plate,diff_neurons,midbrain_hindbrain_boundary,hindbrain",36,6,0,10,3,0,0,2,0,0,6,2,2,0,0,0,0,0,0,5,0,0,0,0
9425,f8,8,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,midbrain_hindbrain_boundary,neural,hindbrain",34,6,1,18,5,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
6538,klhl2,8,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,hemangioblasts,midbrain_hindbrain_boundary,hindbrain",26,4,1,11,6,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
7215,lrba,8,"optic_cup_early,unassigned,tail_bud_late,lateral_plate,PSM,floor_plate,heart_myocardium,hindbrain",24,4,0,14,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
7408,diaph2,8,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,floor_plate,diff_neurons,hindbrain",23,7,2,8,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
9886,nrg3b,8,"optic_cup_early,unassigned,tail_bud_late,muscle,enteric_neurons,hemangioblasts,hindbrain,neural_crest",22,2,0,11,3,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1
11119,BX511223.1,8,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,lateral_plate,heart_myocardium,endo_pancreas",21,5,1,5,1,1,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
7688,hdc,8,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,lateral_plate,floor_plate,diff_neurons,hematopoietic_vasculature",19,2,1,8,3,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
4206,dacha,8,"optic_cup_early,unassigned,tail_bud_late,lateral_plate,floor_plate,midbrain_hindbrain_boundary,neural,hindbrain",13,2,0,5,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
1894,zeb2a,8,"optic_cup_early,unassigned,tail_bud_late,muscle,floor_plate,diff_neurons,hindbrain,neural_crest",12,1,0,2,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,1
4353,BX255967.1,8,"optic_cup_early,unassigned,tail_bud_late,muscle,lateral_plate,PSM,floor_plate,midbrain_hindbrain_boundary",11,1,0,3,1,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1814,afdna,8,"optic_cup_early,unassigned,tail_bud_late,lateral_plate,floor_plate,fast_muscle,notochord,endo_pancreas",9,1,0,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
4496,hp,7,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,fast_muscle,hindbrain,epidermis",60,9,2,37,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
11157,galnt1,7,"optic_cup_early,unassigned,tail_bud_late,PSM,enteric_neurons,NMPs,heart_myocardium",46,8,0,27,6,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5292,m17,7,"optic_cup_early,unassigned,tail_bud_late,floor_plate,midbrain_hindbrain_boundary,neural,hindbrain",41,6,0,19,7,0,0,0,0,0,1,0,3,0,0,0,1,0,0,4,0,0,0,0
11072,nlgn1,7,"optic_cup_early,unassigned,tail_bud_late,enteric_neurons,diff_neurons,neural,endo_pancreas",38,4,0,23,5,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0
11145,macrod2,7,"optic_cup_early,unassigned,tail_bud_late,PSM,hemangioblasts,NMPs,hindbrain",36,3,0,21,5,0,0,3,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0
9838,csmd2,7,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,enteric_neurons,midbrain_hindbrain_boundary",35,9,1,16,6,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9296,nrxn3a,7,"optic_cup_early,unassigned,tail_bud_late,muscle,PSM,floor_plate,hindbrain",29,5,0,17,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4338,grid1a,7,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,PSM,NMPs,fast_muscle",25,3,1,16,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2250,cacna1g,7,"optic_cup_early,unassigned,tail_bud_late,muscle,enteric_neurons,fast_muscle,hindbrain",24,4,0,11,2,3,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
7747,ptprn2,7,"optic_cup_early,unassigned,tail_bud_late,PSM,floor_plate,midbrain_hindbrain_boundary,hindbrain",23,3,0,8,2,0,0,2,0,0,4,0,2,0,0,0,0,0,0,2,0,0,0,0
11141,c7a,7,"optic_cup_early,unassigned,tail_bud_late,PSM,hemangioblasts,hematopoietic_vasculature,endoderm",21,1,0,11,5,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
292,aff2,7,"optic_cup_early,unassigned,tail_bud_late,muscle,hemangioblasts,hematopoietic_vasculature,neural",19,5,0,8,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
767,rbfox1,7,"optic_cup_early,unassigned,tail_bud_late,muscle,PSM,fast_muscle,hindbrain",19,2,0,11,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1598,ek1,7,"optic_cup_early,unassigned,tail_bud_late,muscle,floor_plate,diff_neurons,hindbrain",19,3,0,10,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
5858,lrmda,7,"optic_cup_early,unassigned,tail_bud_late,PSM,floor_plate,diff_neurons,hindbrain",18,3,0,3,4,0,0,3,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0
9157,cdh11,7,"optic_cup_early,hatching_gland,unassigned,PSM,hemangioblasts,heart_myocardium,hindbrain",15,3,1,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
278,rap1gap,7,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,hemangioblasts,notochord",14,2,1,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8480,fam172a,7,"optic_cup_early,unassigned,tail_bud_late,floor_plate,midbrain_hindbrain_boundary,neural,hindbrain",14,1,0,2,2,0,0,0,0,0,1,0,3,0,0,0,1,0,0,4,0,0,0,0
766,si:dkey-35m8.1,7,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,floor_plate,diff_neurons,hindbrain",13,2,1,3,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
2759,ldlra,7,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,muscle,PSM,hindbrain",13,1,1,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4242,runx1,7,"optic_cup_early,unassigned,tail_bud_late,hemangioblasts,diff_neurons,hematopoietic_vasculature,heart_myocardium",13,2,0,4,1,0,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0,0,0
6824,exoc6,7,"optic_cup_early,unassigned,tail_bud_late,hemangioblasts,floor_plate,heart_myocardium,hindbrain",13,3,0,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0
1131,adgrl2a,7,"optic_cup_early,unassigned,tail_bud_late,muscle,PSM,floor_plate,heart_myocardium",12,2,0,2,3,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
5833,ebf3a,7,"optic_cup_early,unassigned,tail_bud_late,lateral_plate,floor_plate,diff_neurons,hindbrain",12,2,0,2,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0
7384,neo1a,7,"optic_cup_early,unassigned,tail_bud_late,floor_plate,midbrain_hindbrain_boundary,heart_myocardium,hindbrain",12,2,0,3,2,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0
8086,tk1,7,"optic_cup_early,hatching_gland,unassigned,tail_bud_late,hemangioblasts,diff_neurons,hematopoietic_vasculature",12,5,1,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3470,runx1t1,7,"optic_cup_early,unassigned,tail_bud_late,hemangioblasts,diff_neurons,hematopoietic_vasculature,heart_myocardium",11,1,0,3,1,0,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0,0,0
4162,tcf12,7,"optic_cup_early,unassigned,tail_bud_late,muscle,PSM,floor_plate,hindbrain",11,1,0,1,3,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
616,cep112,7,"optic_cup_early,unassigned,tail_bud_late,diff_neurons,midbrain_hindbrain_boundary,hindbrain,epidermis",10,1,0,2,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
11039,exoc6b,7,"optic_cup_early,unassigned,tail_bud_late,hemangioblasts,floor_plate,heart_myocardium,hindbrain",9,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0
1326,nfia,7,"optic_cup_early,unassigned,tail_bud_late,lateral_plate,floor_plate,neural,hindbrain",8,1,0,1,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
7227,AL954672.1,7,"optic_cup_early,unassigned,tail_bud_late,muscle,floor_plate,diff_neurons,endo_pancreas",8,1,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
10056,ctnna2,6,"optic_cup_early,unassigned,tail_bud_late,muscle,midbrain_hindbrain_boundary,notochord",37,11,0,17,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
9219,adamts1,6,"optic_cup_early,unassigned,tail_bud_late,lateral_plate,PSM,notochord",35,4,0,20,6,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1689,amd1,6,"optic_cup_early,unassigned,tail_bud_late,muscle,PSM,notochord",31,6,0,14,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
10116,ksr2,6,"optic_cup_early,unassigned,tail_bud_late,muscle,midbrain_hindbrain_boundary,fast_muscle",31,5,0,19,3,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
