source,target,coef_mean,coef_abs,p,-logp,timepoint_code,somite_stage,celltype,grn_type
nhlh2,rps26l,0.33338028,0.33338028,1.2404251124446718e-08,7.906429450040525,TDR128,10,pharyngeal_arches,filtered
nr2e3,rps26l,0.18921067,0.18921067,6.576262427379933e-10,9.182020864493408,TDR128,10,pharyngeal_arches,filtered
raraa,cdh11,0.17558444,0.17558444,2.4580554216956576e-18,17.609408329315613,TDR128,10,pharyngeal_arches,filtered
gata5,meis3,0.101532474,0.101532474,5.169910718857546e-24,23.28651695683687,TDR128,10,pharyngeal_arches,filtered
sox11a,cdh11,0.09920553,0.09920553,3.4214642930323587e-12,11.465787988013112,TDR128,10,pharyngeal_arches,filtered
hmga1a,apoc1,0.09447042,0.09447042,3.9948917697491767e-13,12.398494982166616,TDR128,10,pharyngeal_arches,filtered
foxa3,zgc:174855,0.08892711,0.08892711,0.00022056612645586653,3.6564611837492884,TDR128,10,pharyngeal_arches,filtered
foxa3,ctslb,0.087184235,0.087184235,5.5580231869059644e-05,4.255079645769459,TDR128,10,pharyngeal_arches,filtered
klf7b,bcam,0.086429216,0.086429216,2.0898321874351243e-13,12.679888586136295,TDR128,10,pharyngeal_arches,filtered
hmga1a,rrm2,0.085177496,0.085177496,1.2186024328079235e-09,8.914137959188736,TDR128,10,pharyngeal_arches,filtered
fli1a,cdh11,0.083827525,0.083827525,3.6962423121741306e-12,11.43223956575533,TDR128,10,pharyngeal_arches,filtered
klf12b,cdh11,0.07918965,0.07918965,3.734748371532477e-10,9.427738653429907,TDR128,10,pharyngeal_arches,filtered
elk3,cdh11,0.07826339,0.07826339,1.6369442485892682e-12,11.785966111634089,TDR128,10,pharyngeal_arches,filtered
pknox2,ebf3a,0.077694036,0.077694036,6.251006916162927e-15,14.20405002059012,TDR128,10,pharyngeal_arches,filtered
nfatc3a,ctslb,0.07735461,0.07735461,2.83605907961146e-07,6.547284726351453,TDR128,10,pharyngeal_arches,filtered
meis1a,dag1,0.07702182,0.07702182,9.219269364462521e-07,6.035303495817897,TDR128,10,pharyngeal_arches,filtered
hnf1ba,ctslb,0.07700768,0.07700768,6.992609738076913e-05,4.155360709330079,TDR128,10,pharyngeal_arches,filtered
nr6a1b,bcam,0.076099925,0.076099925,2.813884188948264e-12,11.550693780794562,TDR128,10,pharyngeal_arches,filtered
sox6,dag1,0.07420529,0.07420529,1.0001179501999829e-08,7.999948777899777,TDR128,10,pharyngeal_arches,filtered
tp63,bcam,0.072070464,0.072070464,2.3093321801592507e-10,9.636513592576971,TDR128,10,pharyngeal_arches,filtered
arid3c,ebf3a,0.06871948,0.06871948,8.229472124441548e-17,16.084628021506404,TDR128,10,pharyngeal_arches,filtered
cebpd,apoeb,0.06689831,0.06689831,1.2338161270412416e-08,7.908749557451379,TDR128,10,pharyngeal_arches,filtered
foxa3,he1.1,0.066647485,0.066647485,0.0006926001057554027,3.159517446472691,TDR128,10,pharyngeal_arches,filtered
foxp4,dag1,0.06612205,0.06612205,1.8959354588271598e-10,9.722176450939044,TDR128,10,pharyngeal_arches,filtered
fosl2,apoeb,0.06470445,0.06470445,7.827345424852899e-10,9.106385500114277,TDR128,10,pharyngeal_arches,filtered
irx1b,rrm2,0.064696625,0.064696625,1.1645121045070176e-08,7.9338559928370875,TDR128,10,pharyngeal_arches,filtered
hmga1a,rpl11,0.06400952,0.06400952,1.247877784075544e-18,17.90382794694582,TDR128,10,pharyngeal_arches,filtered
hmga1a,rps19,0.06295268,0.06295268,4.713496822313989e-17,16.326656781369653,TDR128,10,pharyngeal_arches,filtered
cebpd,apoc1,0.062687695,0.062687695,7.585225857268878e-11,10.120031483156062,TDR128,10,pharyngeal_arches,filtered
hmga1a,eef1a1l1,0.06259227,0.06259227,1.651762673032479e-17,16.782052352413114,TDR128,10,pharyngeal_arches,filtered
foxb1b,apoeb,0.06214619,0.06214619,2.8885153281223955e-06,5.539325323500338,TDR128,10,pharyngeal_arches,filtered
pknox2,foxp1b,0.06125654,0.06125654,1.6389891796244067e-19,18.785423913571005,TDR128,10,pharyngeal_arches,filtered
hmga1a,rps18,0.060902715,0.060902715,6.592304804936272e-16,15.180962720600753,TDR128,10,pharyngeal_arches,filtered
hmga1a,ncl,0.060172357,0.060172357,2.2390211362251413e-16,15.649941806687776,TDR128,10,pharyngeal_arches,filtered
meis3,fgfr2,0.056908526,0.056908526,4.608270104919753e-16,15.336462073500142,TDR128,10,pharyngeal_arches,filtered
msx1b,dag1,0.056539685,0.056539685,1.027160475113891e-07,6.988361700500097,TDR128,10,pharyngeal_arches,filtered
rxraa,serpinh1b,0.056321893,0.056321893,5.8510881883535465e-09,8.232763356097676,TDR128,10,pharyngeal_arches,filtered
irx3a,meis3,0.05549466,0.05549466,6.597696478423044e-13,12.180607667690046,TDR128,10,pharyngeal_arches,filtered
hmga1a,ptmab,0.055019546,0.055019546,1.756319701436329e-20,19.75539642696522,TDR128,10,pharyngeal_arches,filtered
creb3l1,serpinh1b,0.054938424,0.054938424,4.810856606260301e-11,10.317777587607512,TDR128,10,pharyngeal_arches,filtered
irx7,ebf3a,0.05490148,0.05490148,2.9902336173650756e-09,8.524294880314667,TDR128,10,pharyngeal_arches,filtered
hmga1a,apoeb,0.05457495,0.05457495,8.425188869278869e-11,10.074420354674283,TDR128,10,pharyngeal_arches,filtered
raraa,meis3,0.05430406,0.05430406,7.512310356082129e-17,16.12422647836313,TDR128,10,pharyngeal_arches,filtered
hmga1a,hnrnpaba,0.054297697,0.054297697,1.1507083232498461e-19,18.93903474557619,TDR128,10,pharyngeal_arches,filtered
pknox2,foxp4,0.054166567,0.054166567,1.0976930018085386e-19,18.95951910456992,TDR128,10,pharyngeal_arches,filtered
sox13,chl1a,0.053184934,0.053184934,2.5704481625551662e-12,11.589991149993114,TDR128,10,pharyngeal_arches,filtered
etv5a,apoeb,0.05316101,0.05316101,1.6300340596823108e-14,13.787803320885894,TDR128,10,pharyngeal_arches,filtered
hmga1a,h3f3b.1,0.052798674,0.052798674,3.596096262353738e-21,20.444168691341062,TDR128,10,pharyngeal_arches,filtered
hoxc6b,hoxc3a,0.052533306,0.052533306,4.6910567626701425e-09,8.32872931197604,TDR128,10,pharyngeal_arches,filtered
irx1b,rpl13a,0.05253192,0.05253192,1.858352649965685e-14,13.730871868705345,TDR128,10,pharyngeal_arches,filtered
pknox2,nrp2b,0.050932053,0.050932053,7.587750655613446e-15,14.11988694908944,TDR128,10,pharyngeal_arches,filtered
sox13,cdh11,-0.050729115,0.050729115,1.0177071137053673e-09,8.992377189782303,TDR128,10,pharyngeal_arches,filtered
hmga1a,rpl9,0.050592996,0.050592996,1.0075949144039926e-20,19.996714033166636,TDR128,10,pharyngeal_arches,filtered
hmga1a,si:ch73-281n10.2,0.050579384,0.050579384,2.561284195451211e-19,18.591542230329498,TDR128,10,pharyngeal_arches,filtered
irx7,cxcl12b,0.050574094,0.050574094,6.316438835141571e-16,15.199527704968384,TDR128,10,pharyngeal_arches,filtered
foxn3,chsy1,0.050165996,0.050165996,1.0226158314242156e-13,12.990287488113534,TDR128,10,pharyngeal_arches,filtered
hmga1a,hsp90ab1,0.05015082,0.05015082,2.3137549561900757e-18,17.635682637955433,TDR128,10,pharyngeal_arches,filtered
rarga,cxcl12b,0.049900994,0.049900994,3.198342677962387e-12,11.495075006763887,TDR128,10,pharyngeal_arches,filtered
klf3,cdh11,0.04947883,0.04947883,7.68956332466387e-07,6.114098322236744,TDR128,10,pharyngeal_arches,filtered
myf5,apoc1,0.04934085,0.04934085,2.209949763063139e-09,8.655617598655363,TDR128,10,pharyngeal_arches,filtered
nfatc1,apoc1,-0.049077917,0.049077917,1.7958448315300068e-10,9.745731190898969,TDR128,10,pharyngeal_arches,filtered
six1a,pknox2,0.04905885,0.04905885,1.6162765125273357e-14,13.7914843381209,TDR128,10,pharyngeal_arches,filtered
sox13,nova2,0.04892326,0.04892326,3.613336257918076e-13,12.442091621005163,TDR128,10,pharyngeal_arches,filtered
etv4,ebf3a,0.04885134,0.04885134,1.2754039212281768e-13,12.894352252108728,TDR128,10,pharyngeal_arches,filtered
pknox2,pcdh7b,0.048756797,0.048756797,8.191009725293728e-16,15.086662558423512,TDR128,10,pharyngeal_arches,filtered
ebf3a,tgfbr3,0.048638664,0.048638664,3.4542415020759484e-17,16.4616473021616,TDR128,10,pharyngeal_arches,filtered
hmga1a,hmgb2a,0.04860413,0.04860413,2.0497238855187677e-14,13.688304638003745,TDR128,10,pharyngeal_arches,filtered
nr6a1b,col18a1a,0.048326056,0.048326056,1.0839423183576769e-08,7.964993828024101,TDR128,10,pharyngeal_arches,filtered
arid3c,serpinh1b,0.047591325,0.047591325,3.0396795539143834e-12,11.517172197740617,TDR128,10,pharyngeal_arches,filtered
prrx1a,marcksl1a,0.047072157,0.047072157,5.1233039891247396e-18,17.290449874675552,TDR128,10,pharyngeal_arches,filtered
meis3,pbx1b,0.04676688,0.04676688,5.780156705238069e-13,12.238060387306524,TDR128,10,pharyngeal_arches,filtered
nkx2.3,bcam,0.046744876,0.046744876,7.026876845103328e-11,10.1532376579557,TDR128,10,pharyngeal_arches,filtered
hmga1a,rpl4,0.046518743,0.046518743,1.9523681968518032e-21,20.709438275408193,TDR128,10,pharyngeal_arches,filtered
sox6,ebf3a,0.046263654,0.046263654,7.794463038770235e-13,12.108213798028887,TDR128,10,pharyngeal_arches,filtered
ebf3a,eya1,0.04604406,0.04604406,4.356214746250085e-20,19.360890719179668,TDR128,10,pharyngeal_arches,filtered
klf6a,bcam,0.04579823,0.04579823,6.265210506597412e-11,10.203064332440336,TDR128,10,pharyngeal_arches,filtered
raraa,serpinh1b,0.04563481,0.04563481,6.684198110499749e-12,11.1749506866928,TDR128,10,pharyngeal_arches,filtered
hmga1a,cfl1,0.045513697,0.045513697,6.604971518537266e-14,13.180129050777504,TDR128,10,pharyngeal_arches,filtered
cebpa,apoc1,0.045362443,0.045362443,1.4945350816895794e-12,11.825493886174797,TDR128,10,pharyngeal_arches,filtered
hmga1a,hmgn2,0.04500762,0.04500762,7.659614600961005e-19,18.115793081658094,TDR128,10,pharyngeal_arches,filtered
pitx2,si:dkey-269i1.4,0.0449848,0.0449848,8.497969599220594e-05,4.0706848268961116,TDR128,10,pharyngeal_arches,filtered
hmga1a,khdrbs1a,0.044925388,0.044925388,9.776033742958145e-22,21.0098373080881,TDR128,10,pharyngeal_arches,filtered
foxa3,actb2,0.044860367,0.044860367,2.25082697608583e-12,11.647657888482051,TDR128,10,pharyngeal_arches,filtered
pknox2,tenm3,0.04435585,0.04435585,4.493808803821902e-15,14.347385409267028,TDR128,10,pharyngeal_arches,filtered
etv4,cdh11,0.04432691,0.04432691,1.3376337398524102e-07,6.873662785324527,TDR128,10,pharyngeal_arches,filtered
rarga,fn1a,0.044250537,0.044250537,8.97276464778288e-15,14.047073723479341,TDR128,10,pharyngeal_arches,filtered
six3b,stm,0.044114713,0.044114713,2.3572383682149205e-11,10.627596498610144,TDR128,10,pharyngeal_arches,filtered
sox1b,cdh11,-0.043951117,0.043951117,1.909655469343197e-08,7.719044978961612,TDR128,10,pharyngeal_arches,filtered
arid3c,cxcl12a,0.04389211,0.04389211,8.838529777181586e-11,10.05361997059325,TDR128,10,pharyngeal_arches,filtered
hoxb6b,hoxc3a,0.043836147,0.043836147,1.88727367301365e-08,7.724165118350323,TDR128,10,pharyngeal_arches,filtered
meis2a,cntfr,0.043452654,0.043452654,1.758596565792415e-11,10.754833779272348,TDR128,10,pharyngeal_arches,filtered
msx3,rpl13a,0.043289714,0.043289714,5.470050520749809e-16,15.26200866255477,TDR128,10,pharyngeal_arches,filtered
hoxd9a,actb2,0.04327305,0.04327305,2.4870138078493404e-14,13.60432180352937,TDR128,10,pharyngeal_arches,filtered
foxp1b,gli3,0.042777278,0.042777278,2.3022359678490122e-15,14.637850165379238,TDR128,10,pharyngeal_arches,filtered
klf7b,nrp2b,0.042763907,0.042763907,8.932722966657218e-15,14.049016134713504,TDR128,10,pharyngeal_arches,filtered
cdx1b,rrbp1b,0.04260668,0.04260668,7.27000220220156e-05,4.138465457586101,TDR128,10,pharyngeal_arches,filtered
foxp4,gli3,0.042478077,0.042478077,7.81233080473021e-15,14.107219375262938,TDR128,10,pharyngeal_arches,filtered
ebf2,notch1b,0.04236145,0.04236145,1.4172987049743602e-10,9.848538609702555,TDR128,10,pharyngeal_arches,filtered
sox2,cdh11,-0.042311233,0.042311233,9.231173686019443e-10,9.034743077635392,TDR128,10,pharyngeal_arches,filtered
foxg1a,actb2,0.04231008,0.04231008,4.4694141831839324e-13,12.349749397155183,TDR128,10,pharyngeal_arches,filtered
tbx20,fn1a,0.04227254,0.04227254,1.1199460842958574e-07,6.95080288434447,TDR128,10,pharyngeal_arches,filtered
barhl2,ebf3a,0.042205524,0.042205524,6.310202869851737e-14,13.199956678182035,TDR128,10,pharyngeal_arches,filtered
dmrt2a,meis1a,0.042014204,0.042014204,3.140728385358822e-10,9.502969620379726,TDR128,10,pharyngeal_arches,filtered
uncx4.1,nectin1b,0.041855782,0.041855782,1.0564547797586221e-07,6.976149087652467,TDR128,10,pharyngeal_arches,filtered
hmga1a,npm1a,0.04180931,0.04180931,6.85609402993994e-20,19.163923234783223,TDR128,10,pharyngeal_arches,filtered
sox7,cdh11,-0.041786663,0.041786663,3.830519378453032e-08,7.416742336239348,TDR128,10,pharyngeal_arches,filtered
nhlh2,cdh11,0.04168215,0.04168215,6.320708951828409e-10,9.199234207065848,TDR128,10,pharyngeal_arches,filtered
fosl2,cdh11,-0.041659087,0.041659087,4.21004066814617e-07,6.375713708946716,TDR128,10,pharyngeal_arches,filtered
