cluster_id,peak_celltype,peak_timepoint,peak_accessibility,total_nodes,total_edges,total_tfs,tf_only,target_only,tf_and_target,active_timepoints,top_dynamic_tf,top_dynamic_score
0_0,enteric_neurons,20,14.329145953527515,0,0,0,0,0,0,0,,0
0_1,enteric_neurons,20,18.24530403368924,31,29,29,29,2,0,5,en2b,3
10_0,muscle,20,19.847140849265607,8,7,3,3,5,0,3,nkx2.7,6
10_1,fast_muscle,20,29.532703881971045,19,28,6,6,13,0,6,mef2d,18
10_10,fast_muscle,30,50.43490488585722,19,26,14,12,5,2,4,mef2ca,10
10_2,fast_muscle,10,40.01890230363538,12,9,7,7,5,0,5,nr2f5,6
10_3,muscle,20,24.064529261462734,23,47,7,6,16,1,6,mef2d,16
10_4,fast_muscle,30,94.22915062677129,42,84,16,15,26,1,5,mef2ca,27
10_5,fast_muscle,30,46.5483388828472,4,3,3,3,1,0,3,nr2f5,2
10_6,muscle,10,39.39976026267016,67,152,41,41,26,0,6,meox1,48
10_7,fast_muscle,30,57.64776144709954,45,95,22,20,23,2,5,mef2ca,24
10_8,fast_muscle,30,37.43864314761672,4,3,3,3,1,0,2,mef2cb,2
10_9,muscle,10,45.65144811337884,0,0,0,0,0,0,0,,0
11_0,pronephros,30,13.189755113715538,11,11,8,8,3,0,6,rarga,6
11_1,enteric_neurons,30,41.53037272626749,0,0,0,0,0,0,0,,0
11_10,pronephros,30,9.163066864619434,0,0,0,0,0,0,0,,0
11_11,pronephros,30,10.00859835909128,0,0,0,0,0,0,0,,0
11_12,pronephros,30,12.94801680921275,0,0,0,0,0,0,0,,0
11_13,hemangioblasts,30,102.74737054055532,2,1,1,1,1,0,1,xbp1,1
11_14,enteric_neurons,30,24.945191410258065,0,0,0,0,0,0,0,,0
11_15,hematopoietic_vasculature,20,26.115422659421125,11,8,7,7,4,0,4,rarga,4
11_2,hemangioblasts,30,214.70535642846764,16,13,9,9,7,0,3,xbp1,8
11_4,endoderm,30,55.44699629258474,2,1,1,1,1,0,3,tead1b,1
11_5,fast_muscle,30,37.77851909797916,6,4,4,4,2,0,3,nr2f5,2
11_6,endoderm,30,53.46337082472225,9,7,7,7,2,0,4,rxraa,4
11_7,pronephros,30,15.66394228626713,0,0,0,0,0,0,0,,0
11_8,pronephros,30,6.911964794609658,2,1,1,1,1,0,1,sox7,1
11_9,pronephros,30,23.510157466130813,14,11,11,11,3,0,4,en2a,3
12_0,enteric_neurons,30,15.94799616403403,0,0,0,0,0,0,0,,0
12_10,enteric_neurons,30,17.483696252344682,4,3,2,2,2,0,3,pax6a,3
12_12,enteric_neurons,30,15.564687676595565,2,1,1,1,1,0,1,gata1a,1
12_13,enteric_neurons,30,15.521452433049465,0,0,0,0,0,0,0,,0
12_2,enteric_neurons,30,14.82385906527196,8,6,6,6,2,0,1,sox6,1
12_3,enteric_neurons,30,15.521452433049465,2,1,1,1,1,0,1,foxg1a,1
12_4,enteric_neurons,30,15.531151825290085,2,1,1,1,1,0,1,nkx2.7,1
12_6,heart_myocardium,20,18.29033329564865,0,0,0,0,0,0,0,,0
12_8,enteric_neurons,20,15.928234539835325,2,1,1,1,1,0,1,hmx3a,1
12_9,enteric_neurons,30,15.629402384181574,0,0,0,0,0,0,0,,0
13_0,neural_optic,00,13.423115408187156,9,6,6,6,3,0,4,pax6b,2
