cluster_id,best_group,celltype,timepoint,accessibility,gini_coefficient,n_timepoints,n_timepoints_with_edges,n_total_nodes,n_total_edges,n_total_tfs,n_developmental_tfs,developmental_tfs_list,node_turnover_rate,edge_turnover_rate,tf_turnover_rate,dev_tf_turnover_rate,temporal_variance,dynamics_score,timepoints
2_2,enteric_neurons_30somites,enteric_neurons,30somites,27.82081764227393,0.2195775960360966,6,6,51,73,43,4,"['sox19a', 'sox19b', 'sox2', 'sox3']",1.0,1.0,1.0,1.0,0.9679238900800795,0.9967923890080079,"['00', '05', '10', '15', '20', '30']"
10_4,fast_muscle_30somites,fast_muscle,30somites,94.22915062677129,0.5081519185784864,6,5,42,84,16,1,['olig2'],1.0,1.0,1.0,1.0,0.9265537132789243,0.9926553713278924,"['00', '05', '10', '15', '20', '30']"
25_1,hematopoietic_vasculature_20somites,hematopoietic_vasculature,20somites,55.88940339683086,0.24707730355840352,6,6,61,107,23,6,"['gata1a', 'gata2a', 'gata3', 'gata4', 'gata5', 'gata6']",0.9672131147540983,1.0,0.9565217391304348,1.0,0.8894031434235988,0.9802446621684469,"['00', '05', '10', '15', '20', '30']"
25_3,hematopoietic_vasculature_30somites,hematopoietic_vasculature,30somites,98.68499509352004,0.23670571202566437,6,6,73,119,39,6,"['gata1a', 'gata2a', 'gata3', 'gata5', 'pax6a', 'pax6b']",0.9863013698630136,1.0,1.0,1.0,0.7398268378478845,0.9739826837847884,"['00', '05', '10', '15', '20', '30']"
13_12,neural_optic_0somites,neural_optic,0somites,56.47455531985289,0.26338629018725834,6,6,41,60,28,6,"['sox10', 'sox19a', 'sox19b', 'sox2', 'sox3', 'sox9b']",0.975609756097561,1.0,1.0,1.0,0.736304013581505,0.9736304013581504,"['00', '05', '10', '15', '20', '30']"
3_1,optic_cup_20somites,optic_cup,20somites,13.477837311077325,0.2328987878064257,5,5,30,40,28,2,"['pax6a', 'pax6b']",1.0,1.0,1.0,1.0,0.7300149386824822,0.9730014938682481,"['05', '10', '15', '20', '30']"
10_7,fast_muscle_30somites,fast_muscle,30somites,57.64776144709954,0.24684733692018734,6,5,45,95,22,1,['olig2'],1.0,1.0,1.0,1.0,0.7196803560017564,0.9719680356001755,"['00', '05', '10', '15', '20', '30']"
7_4,differentiating_neurons_30somites,differentiating_neurons,30somites,4.251003623868016,0.053168656613557186,6,6,38,47,24,3,"['sox2', 'sox3', 'sox9b']",1.0,1.0,1.0,1.0,0.6766508697871946,0.9676650869787193,"['00', '05', '10', '15', '20', '30']"
3_5,optic_cup_30somites,optic_cup,30somites,71.25004473848227,0.2134820306900922,5,5,56,105,41,3,"['meox1', 'pax6a', 'pax6b']",0.9642857142857143,1.0,1.0,1.0,0.659166389260783,0.9659166389260783,"['05', '10', '15', '20', '30']"
18_9,hatching_gland_15somites,hatching_gland,15somites,94.75809584516333,0.4918111652992816,6,6,45,61,30,1,['sox10'],1.0,1.0,1.0,1.0,0.651269752332619,0.9651269752332619,"['00', '05', '10', '15', '20', '30']"
26_11,hemangioblasts_15somites,hemangioblasts,15somites,199.4635412593281,0.29038304034481643,5,4,28,42,11,4,"['gata1a', 'gata2a', 'gata5', 'gata6']",1.0,1.0,1.0,1.0,0.6104185417000779,0.9610418541700076,"['05', '10', '15', '20', '30']"
14_6,endoderm_30somites,endoderm,30somites,39.62579249361766,0.22730165693463977,6,6,51,61,46,2,"['meox1', 'pax2a']",0.9803921568627451,1.0,1.0,1.0,0.6007884366082041,0.9600788436608203,"['00', '05', '10', '15', '20', '30']"
28_11,enteric_neurons_30somites,enteric_neurons,30somites,85.43230379240624,0.15008509215938126,6,6,48,48,37,4,"['sox10', 'sox2', 'sox3', 'sox9b']",0.9791666666666666,1.0,1.0,1.0,0.5590169943749473,0.9559016994374947,"['00', '05', '10', '15', '20', '30']"
5_5,epidermis_10somites,epidermis,10somites,13.68650750609525,0.23490980183480326,6,5,40,54,29,5,"['sox10', 'sox19a', 'sox2', 'sox3', 'sox9b']",1.0,1.0,1.0,1.0,0.5315562842572114,0.953155628425721,"['00', '05', '10', '15', '20', '30']"
3_2,hindbrain_15somites,hindbrain,15somites,36.432057054904334,0.31665752837270444,6,6,31,57,18,4,"['pax6a', 'pax6b', 'sox3', 'sox9b']",1.0,1.0,1.0,1.0,0.5280416435430921,0.9528041643543091,"['00', '05', '10', '15', '20', '30']"
33_7,neural_crest_15somites,neural_crest,15somites,88.04706428226784,0.19885984157180348,6,6,66,133,33,8,"['pax6a', 'pax6b', 'sox10', 'sox19a', 'sox19b', 'sox2', 'sox3', 'sox9b']",0.9545454545454546,1.0,0.9393939393939394,1.0,0.6404845673374612,0.951927244612534,"['00', '05', '10', '15', '20', '30']"
