cluster_id,peak_timepoint,nmps_tf_overlap,nmps_target_overlap,terminal_tf_overlap,terminal_target_overlap,tf_avg_overlap,target_avg_overlap,tf_divergence,target_divergence,tf_progressive_score,target_progressive_score,n_neural_specific_tfs,n_mesoderm_specific_tfs,n_shared_tfs,n_neural_specific_targets,n_mesoderm_specific_targets,n_shared_targets,neural_specific_tfs,mesoderm_specific_tfs,neural_specific_targets,mesoderm_specific_targets,original_celltype,lineage_bias_score,lineage_dynamics_score,combined_progressive_score
2_2,10,1.0,1.0,0.1724137931034483,0.2,0.348743663456585,0.47666666666666674,0.651256336543415,0.5233333333333332,0.8275862068965517,0.8,17,7,17,2,1,4,"['emx2', 'hoxa4a', 'hoxb1b', 'hoxb3a', 'mafa', 'mnx1', 'nkx1.2la', 'nr1d4a', 'otpb', 'phox2a', 'rarga', 'rxraa', 'sox18', 'sox6', 'sox9b', 'vax1', 'vax2']","['mafbb', 'meox1', 'pax3b', 'raraa', 'rorab', 'rorb', 'sox1b']","['dacha', 'sox13']",['epha2a'],enteric_neurons,0.3274099352456074,0.7020934773359626,1.6275862068965519
3_5,10,1.0,1.0,0.15384615384615385,0.25,0.488397729484686,0.5588383838383838,0.511602270515314,0.4411616161616162,0.8461538461538461,0.75,6,8,17,1,3,9,"['egr2a', 'egr2b', 'nkx1.2la', 'nr1d4a', 'pnx', 'zic2a']","['barhl1a', 'hoxa4a', 'hoxc1a', 'lbx2', 'mnx2b', 'msx3', 'rorb', 'zic4']",['ackr3b'],"['pcbp4', 'ptprub', 'rdh10a']",optic_cup,0.0740767232780308,0.6134268531473108,1.5961538461538463
33_7,10,1.0,1.0,0.19047619047619047,0.3,0.39030053983547053,0.3742648570899344,0.6096994601645295,0.6257351429100656,0.8095238095238095,0.7,5,3,19,5,1,14,"['nr5a2', 'pax6b', 'rorab', 'sox19b', 'sox3']","['nr1d4a', 'sox5', 'tead1b']","['col15a1b', 'foxd3', 'her9', 'msx1b', 'wnt11']",['zcchc24'],neural_crest,0.2844082752622099,0.6245428963417734,1.5095238095238095
14_1,10,1.0,1.0,0.1875,0.38461538461538464,0.439648847884142,0.5452858252858253,0.560351152115858,0.45471417471417475,0.8125,0.6153846153846154,5,5,12,1,6,10,"['esrrga', 'gata3', 'nr4a2b', 'nr5a2', 'rorab']","['gata6', 'hnf4a', 'nr1d4a', 'rorb', 'tcf7l2']",['nav3'],"['bmp6', 'gata5', 'kcnma1a', 'meis3', 'raraa', 'zfpm1']",heart_myocardium,0.0283658382844262,0.6286780433995491,1.4278846153846154
22_16,10,1.0,1.0,0.5,0.125,0.43673872967990623,0.45419191919191915,0.5632612703200938,0.5458080808080809,0.5,0.875,2,10,12,2,4,8,"['sox11a', 'sox11b']","['nr2f1b', 'rorb', 'six1a', 'sox13', 'sox18', 'sox19a', 'sox19b', 'sox6', 'sox7', 'sox9b']","['bcar3', 'dla']","['kcnma1a', 'ldb3a', 'ptprub', 'ripply1']",muscle,-0.2143977347274314,0.693789207154601,1.375
17_8,15,1.0,1.0,0.3888888888888889,0.2857142857142857,0.4945132438940489,0.5837301587301588,0.5054867561059511,0.41626984126984123,0.6111111111111112,0.7142857142857143,2,3,17,0,1,7,"['egr2a', 'rorab']","['esr2a', 'gata2a', 'lef1']",[],['hmcn1'],lateral_plate_mesoderm,0.1005625011165222,0.4585302087241161,1.3253968253968256
13_12,10,1.0,1.0,0.35294117647058826,0.3333333333333333,0.45831290849673206,0.5615680615680615,0.5416870915032679,0.4384319384319385,0.6470588235294117,0.6666666666666667,3,1,16,4,0,7,"['foxd1', 'foxg1a', 'sox9b']",['sox7'],"['mdkb', 'notch1b', 'pax6b', 'ptgdsb.1']",[],neural_optic,0.2284166958880345,0.6257791768941454,1.3137254901960784
3_9,10,1.0,1.0,0.4166666666666667,0.2727272727272727,0.44640963311892556,0.5777056277056277,0.5535903668810744,0.4222943722943723,0.5833333333333333,0.7272727272727273,7,4,20,3,0,8,"['en2a', 'en2b', 'hoxc1a', 'nr1d4a', 'otpb', 'rarga', 'rxraa']","['raraa', 'rorab', 'rorb', 'sox7']","['cep131', 'cyp26b1', 'ek1']",[],neural_floor_plate,0.2664169950642144,0.680745948272475,1.3106060606060606
21_3,00,1.0,1.0,0.39285714285714285,0.35294117647058826,0.6725495295186766,0.587471073120555,0.32745047048132336,0.412528926879445,0.6071428571428572,0.6470588235294117,0,11,20,1,8,21,[],"['barhl1a', 'barx1', 'bsx', 'emx3', 'gbx1', 'hmx1', 'hmx3a', 'hmx4', 'lbx1b', 'meox2a', 'msx2b']",['cyp26a1'],"['fbn2b', 'fgf17', 'fstl1b', 'large2', 'plod2', 'qkia', 'tbx6', 'tjp2b']",PSM,-0.051260845744123,0.5766912960104431,1.254201680672269
25_3,20,1.0,1.0,0.4375,0.3333333333333333,0.4399463579898362,0.49769785769785774,0.5600536420101638,0.5023021423021423,0.5625,0.6666666666666667,1,9,21,2,7,10,['foxg1a'],"['egr1', 'elk3', 'etv1', 'fli1a', 'foxi2', 'gata1a', 'gata5', 'pax6a', 'rorb']","['lfng', 'zgc:112332']","['aplnra', 'ebf3a', 'elmo1', 'lpar1', 'mef2aa', 'nid1b', 'wnt11']",hematopoietic_vasculature,-0.222603821114523,0.6029113373900832,1.2291666666666667
26_7,15,1.0,1.0,0.29411764705882354,0.5263157894736842,0.4591513816769571,0.6604953424404225,0.5408486183230429,0.3395046575595775,0.7058823529411764,0.4736842105263158,2,13,17,1,3,19,"['lbx1b', 'rx2']","['barhl1a', 'barhl1b', 'barhl2', 'barx1', 'cebpb', 'emx3', 'en1b', 'en2a', 'hmx3a', 'lbx1a', 'mnx1', 'nkx1.2la', 'tlx2']",['cadm1a'],"['cdh1', 'col11a1b', 'rbm24a']",endocrine_pancreas,-0.0604593495609416,0.5799107723463295,1.1795665634674921
10_7,20,1.0,1.0,0.5833333333333334,0.2857142857142857,0.5517785917785917,0.5028881956823132,0.4482214082214083,0.49711180431768676,0.41666666666666663,0.7142857142857143,0,3,11,0,9,15,[],"['nr5a1b', 'olig2', 'rorb']",[],"['bmpr1ba', 'desma', 'mef2ca', 'musk', 'myod1', 'plod2', 'rap1gap', 'srl', 'st6gal2a']",fast_muscle,-0.1352371941511262,0.4835830179528942,1.130952380952381
