	leiden_v1_r0.5	leiden_v2_r0.7	celltype1	celltype2	manual_annotation
myzap	2	3	endoderm	hatching_gland	unassigned
MAP3K13	0	1	differentiating_neurons	enteric_neurons	unassigned
BX323574.2	6	5	muscle	somites	unassigned
tshz2	0	1	enteric_neurons	differentiating_neurons	unassigned
map7d1b	1	0	muscle	fast_muscle	unassigned
rbpms	2	9	hematopoietic_vasculature	hemangioblasts	unassigned
fybb	4	3	pharyngeal_arches	heart_myocardium	unassigned
scospondin	7	13	floor_plate	muscle	unassigned
ccdc85cb	2	9	epidermis	optic_cup	unassigned
si:ch211-207i1.2	0	2	neural_telencephalon	differentiating_neurons	unassigned
gcshb	4	2	neural	endocrine_pancreas	unassigned
hoxc10a	3	4	tail_bud	NMPs	unassigned
ppp1r14ab	0	1	enteric_neurons	differentiating_neurons	unassigned
cpn1	4	1	PSM	somites	unassigned
tie1	4	7	hematopoietic_vasculature	endocrine_pancreas	unassigned
gse1	1	0	hematopoietic_vasculature	hemangioblasts	unassigned
comp	6	5	somites	fast_muscle	unassigned
eef1a1a	0	1	differentiating_neurons	hatching_gland	unassigned
cyp2k19	2	6	floor_plate	hemangioblasts	unassigned
fgf8b	7	8	midbrain_hindbrain_boundary	neurons	unassigned
plk2b	4	7	hematopoietic_vasculature	hemangioblasts	unassigned
amph	0	1	enteric_neurons	differentiating_neurons	unassigned
dapp1	8	10	notochord	hatching_gland	unassigned
pag1	1	0	hatching_gland	lateral_plate_mesoderm	unassigned
triob	1	0	hatching_gland	hematopoietic_vasculature	unassigned
xirp1	6	5	muscle	hemangioblasts	unassigned
hoxd10a	3	4	NMPs	tail_bud	unassigned
kaznb	1	0	hatching_gland	hindbrain	unassigned
nes	0	1	enteric_neurons	differentiating_neurons	unassigned
magi2a	1	0	pharyngeal_arches	hindbrain	unassigned
tnfrsfa	1	0	hematopoietic_vasculature	hindbrain	unassigned
cst14b.2	4	2	hemangioblasts	hatching_gland	unassigned
gpc3	0	2	midbrain_hindbrain_boundary	endoderm	unassigned
pipox	0	1	differentiating_neurons	hatching_gland	unassigned
zgc:158291	0	1	enteric_neurons	neural_crest	unassigned
stmn2a	0	1	enteric_neurons	differentiating_neurons	unassigned
mapkbp1	3	4	PSM	fast_muscle	unassigned
zgc:92380	2	6	hatching_gland	epidermis	unassigned
prkg1a	0	1	enteric_neurons	notochord	unassigned
ripk2	1	0	hematopoietic_vasculature	epidermis	unassigned
hist1h4l.6	7	8	neural_floor_plate	neural_optic	left_bottom
atf3	1	0	notochord	NMPs	unassigned
CT583728.27	3	4	hatching_gland	somites	unassigned
ap2m1a	1	11	hematopoietic_vasculature	hatching_gland	unassigned
hist1h2a11.2	7	8	hematopoietic_vasculature	somites	left_bottom
he1.1	2	6	hatching_gland	hematopoietic_vasculature	unassigned
ptprsa	0	1	differentiating_neurons	enteric_neurons	unassigned
ctslb.1	2	6	hatching_gland	PSM	unassigned
hydin	7	13	pronephros	enteric_neurons	unassigned
si:ch211-121a2.2	0	2	hatching_gland	optic_cup	unassigned
gria4b	0	1	differentiating_neurons	hindbrain	unassigned
egr1	7	8	neural	tail_bud	unassigned
si:ch211-264f5.6	2	9	endocrine_pancreas	epidermis	unassigned
brinp3a.1	5	3	NMPs	pronephros	unassigned
ap1s3b	2	6	hatching_gland	hematopoietic_vasculature	unassigned
bhlhe22	0	2	neural_posterior	differentiating_neurons	unassigned
fxyd1	2	6	hatching_gland	notochord	unassigned
pecam1	4	2	hematopoietic_vasculature	hatching_gland	unassigned
sema6ba	0	2	neural	differentiating_neurons	unassigned
hoxc11b	3	4	NMPs	tail_bud	unassigned
myl9a	0	2	hatching_gland	enteric_neurons	unassigned
tmeff2b	0	1	enteric_neurons	notochord	unassigned
actc1a.1	6	5	muscle	PSM	unassigned
daam1a	1	3	hematopoietic_vasculature	hatching_gland	unassigned
mylpfa	6	5	muscle	fast_muscle	unassigned
tac1	0	2	hatching_gland	neural	unassigned
kcnh3	0	1	differentiating_neurons	enteric_neurons	unassigned
scn8ab	0	1	enteric_neurons	differentiating_neurons	unassigned
map3k21	1	0	notochord	neural_telencephalon	unassigned
vtcn1	2	6	hatching_gland	endocrine_pancreas	unassigned
ptpn6	4	7	endocrine_pancreas	hemangioblasts	unassigned
cotl1	0	2	epidermis	differentiating_neurons	unassigned
clec19a	5	3	heart_myocardium	optic_cup	unassigned
zgc:122979	7	8	hindbrain	enteric_neurons	unassigned
prob1	7	8	enteric_neurons	fast_muscle	unassigned
CR376783.1	5	3	endocrine_pancreas	endoderm	unassigned
KCNJ6	0	1	enteric_neurons	endocrine_pancreas	unassigned
si:ch211-251b21.1	4	2	spinal_cord	enteric_neurons	unassigned
MRAS	4	7	hematopoietic_vasculature	hemangioblasts	unassigned
arhgap12b	1	2	neural_optic	hindbrain	unassigned
trpm3	7	8	endocrine_pancreas	midbrain_hindbrain_boundary	unassigned
cd63	1	0	hatching_gland	hematopoietic_vasculature	unassigned
unc5c	1	0	hatching_gland	enteric_neurons	unassigned
wnt3a	0	2	neurons	NMPs	unassigned
BX511178.2	0	1	differentiating_neurons	enteric_neurons	unassigned
ARHGAP44	0	1	epidermis	enteric_neurons	unassigned
flrt3	1	0	hemangioblasts	optic_cup	unassigned
aqp8a.1	4	7	hematopoietic_vasculature	hemangioblasts	unassigned
si:ch211-57n23.4	4	2	differentiating_neurons	neural_optic	unassigned
krt4	1	0	epidermis	hatching_gland	unassigned
ical1	2	6	hatching_gland	fast_muscle	unassigned
mitfa	0	2	neural_crest	neural_telencephalon	unassigned
pbx1a	0	2	differentiating_neurons	lateral_plate_mesoderm	unassigned
grm8a	1	0	hatching_gland	enteric_neurons	unassigned
tfdp2	0	2	differentiating_neurons	neural_posterior	unassigned
dlx4a	2	9	epidermis	enteric_neurons	unassigned
abi3a	7	8	neural_crest	hematopoietic_vasculature	unassigned
ERBB4	0	1	neural_telencephalon	hatching_gland	unassigned
f2r	4	7	hematopoietic_vasculature	hemangioblasts	unassigned
baiap2l1b	5	3	hemangioblasts	endocrine_pancreas	unassigned
myo10l3	1	0	enteric_neurons	differentiating_neurons	unassigned
slc8a3	6	5	muscle	fast_muscle	unassigned
prkcbb	1	0	NMPs	tail_bud	unassigned
si:dkey-19b23.13	6	5	somites	fast_muscle	unassigned
nop56	1	11	hemangioblasts	fast_muscle	unassigned
vat1	0	2	neural_posterior	enteric_neurons	unassigned
FO681288.1	2	6	hatching_gland	hematopoietic_vasculature	unassigned
stx2b	5	3	epidermis	heart_myocardium	unassigned
egfra	5	3	heart_myocardium	endocrine_pancreas	unassigned
sp9	0	2	neural_posterior	spinal_cord	unassigned
rps6ka3b	4	7	hematopoietic_vasculature	hemangioblasts	unassigned
sytl4	2	6	hatching_gland	endoderm	unassigned
bcam	1	0	endocrine_pancreas	endoderm	unassigned
si:dkey-150i13.2	4	7	muscle	hemangioblasts	unassigned
LO018363.1	0	1	enteric_neurons	differentiating_neurons	unassigned
piezo2a.2	5	3	lateral_plate_mesoderm	pharyngeal_arches	unassigned
vent	3	4	NMPs	tail_bud	unassigned
kif20a	1	11	tail_bud	pharyngeal_arches	unassigned
aacs	1	0	midbrain_hindbrain_boundary	hatching_gland	unassigned
adgrg1	7	8	hematopoietic_vasculature	hatching_gland	unassigned
trpm5	0	1	enteric_neurons	PSM	unassigned
krt18a.1	1	0	endocrine_pancreas	endoderm	unassigned
itga1	5	3	enteric_neurons	optic_cup	unassigned
coro2a	2	9	epidermis	hatching_gland	unassigned
tmem119b	5	3	pharyngeal_arches	hematopoietic_vasculature	unassigned
megf11	0	1	somites	hemangioblasts	unassigned
tjp2b	1	0	PSM	muscle	unassigned
rasa4	8	10	notochord	lateral_plate_mesoderm	unassigned
tanc1b	1	0	notochord	heart_myocardium	unassigned
tns1b	1	0	notochord	endoderm	unassigned
trim2a	4	7	neurons	hemangioblasts	unassigned
DOCK9	5	3	notochord	hematopoietic_vasculature	unassigned
sox13	0	2	neural_floor_plate	neural_telencephalon	unassigned
tns2a	5	3	hematopoietic_vasculature	hemangioblasts	unassigned
dhrs7ca	6	5	muscle	fast_muscle	unassigned
iffo2a	0	2	neural_telencephalon	floor_plate	unassigned
galnt8a.1	7	8	pronephros	floor_plate	unassigned
mid2	5	3	optic_cup	enteric_neurons	unassigned
pkd1b	0	2	spinal_cord	neural_posterior	unassigned
efna3b	1	2	lateral_plate_mesoderm	midbrain_hindbrain_boundary	unassigned
abcc4	1	0	epidermis	hatching_gland	unassigned
aqp12	4	9	endocrine_pancreas	NMPs	unassigned
spns2	4	7	hematopoietic_vasculature	muscle	unassigned
cacng7a	3	4	PSM	tail_bud	unassigned
frem1a	5	3	pharyngeal_arches	lateral_plate_mesoderm	unassigned
