	leiden_v1_r0.5	leiden_v2_r0.7	celltype1	celltype2	manual_annotation
cux1a	1	0	pronephros	muscle	unassigned
si:ch211-195o20.7	4	7	hindbrain	neural_floor_plate	unassigned
znf804a	0	1	differentiating_neurons	neural	unassigned
GRIK3	0	1	neural_telencephalon	differentiating_neurons	unassigned
mtus1a	2	6	hatching_gland	epidermis	unassigned
onecut3a	0	1	differentiating_neurons	enteric_neurons	unassigned
dscaml1	0	1	differentiating_neurons	enteric_neurons	unassigned
scube1	0	1	differentiating_neurons	neural_telencephalon	unassigned
dscamb	0	1	differentiating_neurons	enteric_neurons	unassigned
ephb1	0	1	neural_floor_plate	enteric_neurons	unassigned
cpz	2	6	lateral_plate_mesoderm	hatching_gland	unassigned
vcana	3	4	muscle	pharyngeal_arches	unassigned
rreb1a	1	0	tail_bud	hemangioblasts	unassigned
auts2b	0	2	neural_optic	neural_telencephalon	unassigned
zgc:92140	1	0	differentiating_neurons	hematopoietic_vasculature	unassigned
tmod1	6	5	muscle	heart_myocardium	unassigned
ca16b	0	1	differentiating_neurons	endoderm	unassigned
sh3pxd2ab	5	3	pharyngeal_arches	lateral_plate_mesoderm	unassigned
dlgap1a	2	6	enteric_neurons	hatching_gland	unassigned
ptk2bb	2	9	epidermis	hatching_gland	unassigned
map1aa	0	1	enteric_neurons	differentiating_neurons	unassigned
si:dkey-261h17.1	3	4	notochord	hematopoietic_vasculature	unassigned
s1pr5b	4	7	hemangioblasts	optic_cup	unassigned
col5a3a	8	2	notochord	neural_telencephalon	unassigned
loxl2b	5	3	neural_crest	notochord	unassigned
ankrd13b	0	1	enteric_neurons	hematopoietic_vasculature	unassigned
il17rel	0	1	neural_floor_plate	hematopoietic_vasculature	unassigned
atp2a1	6	5	muscle	fast_muscle	unassigned
nhsb	3	4	heart_myocardium	pronephros	unassigned
ccdc3a	6	5	somites	hematopoietic_vasculature	unassigned
dclk2a	1	0	optic_cup	differentiating_neurons	unassigned
igfbp5a	4	7	heart_myocardium	hemangioblasts	unassigned
ghrhrb	2	6	hatching_gland	somites	unassigned
ihha	2	9	endocrine_pancreas	endoderm	unassigned
pld1b	2	6	hatching_gland	hemangioblasts	unassigned
bcl11ab	0	2	neural_optic	hatching_gland	unassigned
dlg1	1	0	enteric_neurons	lateral_plate_mesoderm	unassigned
si:ch211-113a14.18	1	11	floor_plate	neural_posterior	unassigned
gmnc	0	1	neural	neural_crest	unassigned
celf3a	0	2	differentiating_neurons	neural_telencephalon	unassigned
rims1a	0	1	enteric_neurons	differentiating_neurons	unassigned
nrp1b	4	7	hematopoietic_vasculature	hemangioblasts	unassigned
grhl2b	2	9	endocrine_pancreas	hatching_gland	unassigned
sema3c	6	5	tail_bud	muscle	unassigned
pvalb8	4	2	hatching_gland	enteric_neurons	unassigned
rbfox3b	0	1	neural_telencephalon	enteric_neurons	unassigned
hs6st1b	1	0	somites	muscle	unassigned
zmp:0000000924	4	1	tail_bud	PSM	unassigned
tiam1b	3	4	epidermis	PSM	unassigned
cplx2	0	1	differentiating_neurons	enteric_neurons	unassigned
msna	1	11	hematopoietic_vasculature	heart_myocardium	unassigned
adamts1	0	3	pharyngeal_arches	tail_bud	unassigned
si:dkey-57n24.6	0	2	neural_posterior	floor_plate	unassigned
ttyh2l	6	5	muscle	enteric_neurons	unassigned
pla2r1	5	3	pharyngeal_arches	somites	unassigned
asap1b	1	0	hematopoietic_vasculature	neural	unassigned
CR382300.2	3	4	NMPs	tail_bud	unassigned
krt17	3	4	epidermis	neural	unassigned
hoxd11a	3	4	NMPs	tail_bud	unassigned
ssbp3a	1	0	enteric_neurons	differentiating_neurons	unassigned
dnah5	7	13	spinal_cord	floor_plate	unassigned
si:dkey-250k10.4	7	8	neural_crest	enteric_neurons	unassigned
klf7a	0	1	enteric_neurons	differentiating_neurons	unassigned
foxi1	3	4	epidermis	endocrine_pancreas	unassigned
wnt6b	2	9	notochord	epidermis	unassigned
mrc2	3	4	somites	notochord	unassigned
tiam2a	1	0	somites	muscle	unassigned
serpinh1a	1	0	epidermis	notochord	unassigned
mcf2l2	0	1	enteric_neurons	hatching_gland	unassigned
tgfbr2b	5	3	hematopoietic_vasculature	fast_muscle	unassigned
cpn1.1	6	5	somites	muscle	unassigned
g6pcb	7	8	PSM	muscle	unassigned
ppap2d	5	3	epidermis	pronephros	unassigned
krt97	3	4	epidermis	enteric_neurons	unassigned
CU571061.1	5	3	endocrine_pancreas	heart_myocardium	unassigned
grem2b	0	2	endocrine_pancreas	muscle	unassigned
dpp6b	0	1	notochord	endoderm	unassigned
ncam1a	0	2	neural_posterior	midbrain_hindbrain_boundary	unassigned
dscama	0	1	lateral_plate_mesoderm	differentiating_neurons	unassigned
samd10b	3	4	PSM	somites	unassigned
ngfra	0	1	enteric_neurons	differentiating_neurons	unassigned
strbp	0	1	enteric_neurons	differentiating_neurons	unassigned
cyp2y3	2	9	epidermis	hatching_gland	unassigned
ankhb	1	0	differentiating_neurons	hemangioblasts	unassigned
nova2	0	2	differentiating_neurons	neural_floor_plate	unassigned
gpa33a	2	9	epidermis	endocrine_pancreas	unassigned
zgc:163057	4	7	hemangioblasts	hematopoietic_vasculature	unassigned
mylk4a	6	5	muscle	fast_muscle	unassigned
pax3b	0	2	neurons	neural_floor_plate	unassigned
plpp2a	5	3	hematopoietic_vasculature	epidermis	unassigned
dock4b	1	0	lateral_plate_mesoderm	differentiating_neurons	unassigned
fadd	8	10	notochord	NMPs	unassigned
fam78ba	0	1	differentiating_neurons	hematopoietic_vasculature	unassigned
mef2cb	5	3	hematopoietic_vasculature	muscle	unassigned
hs3st4	0	1	enteric_neurons	PSM	unassigned
glra3	0	1	hatching_gland	muscle	unassigned
rgs3a	6	5	muscle	fast_muscle	unassigned
CR847543.1	4	7	hematopoietic_vasculature	hemangioblasts	unassigned
asic1c	0	1	differentiating_neurons	neural_posterior	unassigned
thsd7aa	0	1	differentiating_neurons	enteric_neurons	unassigned
sox9a	6	3	neural	fast_muscle	unassigned
cxxc4	0	2	optic_cup	differentiating_neurons	unassigned
cldne	2	9	endocrine_pancreas	endoderm	unassigned
FO704779.1	6	5	muscle	fast_muscle	unassigned
slc22a7b.1	4	7	hematopoietic_vasculature	hemangioblasts	unassigned
egr2a	0	2	hindbrain	hematopoietic_vasculature	unassigned
artnb	2	6	hatching_gland	neural_crest	unassigned
sypa	0	1	differentiating_neurons	enteric_neurons	unassigned
cyt1l	1	0	epidermis	enteric_neurons	unassigned
arhgef9b	4	7	hematopoietic_vasculature	muscle	unassigned
gata4	5	3	heart_myocardium	hematopoietic_vasculature	unassigned
nucb2b	1	0	hatching_gland	neural_crest	unassigned
nptx1l	0	1	enteric_neurons	muscle	unassigned
opn7c	2	9	spinal_cord	endoderm	unassigned
rph3al	7	8	muscle	hatching_gland	unassigned
alpk3a	6	5	muscle	heart_myocardium	unassigned
magi3b	0	1	somites	hatching_gland	unassigned
meis1a	1	0	somites	epidermis	unassigned
ccl35.2	7	8	lateral_plate_mesoderm	notochord	unassigned
vamp2	0	1	differentiating_neurons	enteric_neurons	unassigned
foxa1	5	3	endocrine_pancreas	floor_plate	unassigned
unm-sa1261	0	1	differentiating_neurons	enteric_neurons	unassigned
onecutl	0	1	enteric_neurons	differentiating_neurons	unassigned
mt-nd1	1	0	optic_cup	fast_muscle	unassigned
gadd45ga	2	6	enteric_neurons	hatching_gland	unassigned
vipr1a	2	9	endocrine_pancreas	heart_myocardium	unassigned
kcnh5a	0	1	neural	enteric_neurons	unassigned
cyb561	0	1	enteric_neurons	notochord	unassigned
qdprb2.1	6	5	fast_muscle	muscle	unassigned
si:dkey-221j11.3	2	9	hematopoietic_vasculature	hemangioblasts	unassigned
hgfa	6	5	lateral_plate_mesoderm	somites	unassigned
igf1rb	1	0	endoderm	PSM	unassigned
stmn1b	0	1	enteric_neurons	differentiating_neurons	unassigned
fstb	6	5	muscle	tail_bud	unassigned
lrrc15	4	7	hemangioblasts	heart_myocardium	unassigned
b3gnt5a	4	2	hatching_gland	muscle	unassigned
ptmaa	1	11	spinal_cord	hindbrain	unassigned
hnrnpabb	1	11	hemangioblasts	enteric_neurons	unassigned
wdfy4	8	10	notochord	NMPs	unassigned
rap1gap	6	5	muscle	fast_muscle	unassigned
nrip1b	1	0	optic_cup	somites	unassigned
helz2	0	1	enteric_neurons	NMPs	unassigned
hoxb6a	3	4	spinal_cord	pronephros	unassigned
gpr1	6	5	somites	PSM	unassigned
anp32b	1	11	tail_bud	NMPs	unassigned
si:ch73-61d6.3	2	9	endoderm	NMPs	unassigned
ano1	4	7	notochord	hemangioblasts	unassigned
chsy3	3	4	somites	notochord	unassigned
h3f3b.1	1	11	hindbrain	neural_telencephalon	unassigned
st3gal4	4	7	neural_crest	hemangioblasts	unassigned
mecom	0	2	pronephros	floor_plate	unassigned
plekha7b	0	2	midbrain_hindbrain_boundary	floor_plate	unassigned
pibf1	2	9	epidermis	hatching_gland	unassigned
rpsa	1	11	hemangioblasts	hematopoietic_vasculature	unassigned
si:ch73-194h10.3	7	8	neural_posterior	neural_crest	unassigned
si:dkey-217l24.1	1	7	hemangioblasts	heart_myocardium	unassigned
si:ch211-207d6.2	2	6	hatching_gland	endocrine_pancreas	unassigned
cx43	0	2	optic_cup	notochord	unassigned
hbbe2	4	7	hemangioblasts	hematopoietic_vasculature	unassigned
sp7	3	4	NMPs	epidermis	unassigned
slc22a7b.2	4	7	hematopoietic_vasculature	neural_floor_plate	unassigned
lhfpl3	0	1	notochord	somites	unassigned
bhlha15	2	6	hatching_gland	hemangioblasts	unassigned
si:zfos-1069f5.1	0	3	muscle	neural	unassigned
si:dkey-206p8.1	2	6	hatching_gland	notochord	unassigned
slc18a3a	0	1	differentiating_neurons	enteric_neurons	unassigned
ADGRL3	5	3	lateral_plate_mesoderm	pharyngeal_arches	unassigned
stim2b	1	0	notochord	hematopoietic_vasculature	unassigned
si:dkey-117n7.2	1	8	neurons	somites	unassigned
TMEM8B	0	1	enteric_neurons	differentiating_neurons	unassigned
ppfia4	6	5	muscle	fast_muscle	unassigned
vcla	0	1	muscle	PSM	unassigned
sycn.3	7	8	neural_telencephalon	neural_floor_plate	unassigned
insl5a	3	4	epidermis	enteric_neurons	unassigned
hoxa10b	3	4	NMPs	tail_bud	unassigned
lrig1	1	0	notochord	neural_optic	unassigned
gdpd2	8	10	epidermis	notochord	unassigned
gfra3	0	1	differentiating_neurons	pharyngeal_arches	unassigned
pax6a	0	2	hindbrain	neural_floor_plate	unassigned
fkbp10a	1	0	notochord	hatching_gland	unassigned
tead1b	1	0	neural_telencephalon	epidermis	unassigned
mylk3	1	0	heart_myocardium	neural_posterior	unassigned
gpr85	0	1	differentiating_neurons	pharyngeal_arches	unassigned
otog	5	3	neural_crest	epidermis	unassigned
trpm1b	0	2	optic_cup	neural_crest	unassigned
stambpl1	1	0	hatching_gland	endocrine_pancreas	unassigned
ldlrad2	0	2	spinal_cord	differentiating_neurons	unassigned
lmo1	0	2	neural_optic	neural_telencephalon	unassigned
foxd2	5	3	pharyngeal_arches	lateral_plate_mesoderm	unassigned
jmjd1cb	1	0	pronephros	hematopoietic_vasculature	unassigned
csgalnact1a	4	7	hematopoietic_vasculature	pharyngeal_arches	unassigned
fndc5b	3	4	pronephros	endoderm	unassigned
zgc:171452	5	3	pharyngeal_arches	lateral_plate_mesoderm	unassigned
FP325123.1	7	8	floor_plate	midbrain_hindbrain_boundary	left_bottom
calcrla	5	3	hematopoietic_vasculature	muscle	unassigned
thbs1b	5	3	neural_optic	epidermis	unassigned
paqr8	2	6	midbrain_hindbrain_boundary	neural_telencephalon	unassigned
si:ch73-1a9.3	1	11	spinal_cord	floor_plate	unassigned
CABZ01058261.1	1	11	hematopoietic_vasculature	NMPs	unassigned
fam49a	1	0	enteric_neurons	fast_muscle	unassigned
si:ch73-280o22.2	1	0	hemangioblasts	neural_floor_plate	unassigned
ccdc28a	2	6	hatching_gland	hematopoietic_vasculature	unassigned
aplnrb	3	4	tail_bud	muscle	unassigned
gpr158a	0	1	muscle	enteric_neurons	unassigned
slc25a21	1	0	hatching_gland	somites	unassigned
nxph2a	0	1	differentiating_neurons	enteric_neurons	unassigned
si:ch211-163g19.2	7	8	PSM	tail_bud	unassigned
pdzd2	1	0	notochord	hindbrain	unassigned
gata1a	4	7	hemangioblasts	hematopoietic_vasculature	unassigned
tspan13a	2	9	enteric_neurons	differentiating_neurons	unassigned
tfap2a	3	4	neural_crest	epidermis	unassigned
myo9aa	1	0	muscle	hematopoietic_vasculature	unassigned
mllt3	3	4	tail_bud	NMPs	unassigned
zfp36l1a	1	0	endocrine_pancreas	pharyngeal_arches	unassigned
pstpip1b	2	6	hatching_gland	pharyngeal_arches	unassigned
mmp15b	3	4	enteric_neurons	endocrine_pancreas	unassigned
prss35	0	2	neurons	spinal_cord	unassigned
efnb3a	1	2	optic_cup	pronephros	unassigned
aipl1	3	4	tail_bud	hematopoietic_vasculature	unassigned
si:dkey-88j15.3	7	8	neural_posterior	midbrain_hindbrain_boundary	unassigned
basp1	0	1	endocrine_pancreas	endoderm	unassigned
arntl1b	1	0	optic_cup	endocrine_pancreas	unassigned
def8	1	0	neural	notochord	unassigned
si:ch211-227e10.1	3	4	heart_myocardium	endoderm	unassigned
six6b	0	2	neural_telencephalon	optic_cup	unassigned
stk35	1	0	hatching_gland	neural	unassigned
wu:fc23c09	8	10	NMPs	notochord	unassigned
exoc3l2a	4	7	hematopoietic_vasculature	lateral_plate_mesoderm	unassigned
lrrc59	1	0	hatching_gland	notochord	unassigned
niban2b	5	3	hematopoietic_vasculature	heart_myocardium	unassigned
egr3	7	8	hemangioblasts	muscle	unassigned
col16a1	5	3	epidermis	neural_crest	unassigned
znfl1h	3	4	PSM	somites	unassigned
fhl1b	4	7	endoderm	hemangioblasts	unassigned
BX284638.2	0	2	neural_posterior	neural_floor_plate	unassigned
zgc:162297	7	8	tail_bud	PSM	unassigned
si:dkey-71l4.5	3	4	endoderm	endocrine_pancreas	unassigned
rorb	0	2	optic_cup	neural_optic	unassigned
si:dkeyp-106c3.1	5	3	neural_crest	pharyngeal_arches	unassigned
anos1b	8	10	lateral_plate_mesoderm	notochord	unassigned
hspa4l	0	1	differentiating_neurons	enteric_neurons	unassigned
sostdc1b	7	8	hemangioblasts	lateral_plate_mesoderm	unassigned
cthrc1a	5	3	pharyngeal_arches	lateral_plate_mesoderm	unassigned
erc2	0	1	differentiating_neurons	enteric_neurons	unassigned
CABZ01076996.1	3	4	NMPs	notochord	unassigned
si:ch211-98n17.5	7	6	hatching_gland	endocrine_pancreas	unassigned
itga8	5	3	heart_myocardium	NMPs	unassigned
fam117bb	0	2	neural_telencephalon	NMPs	unassigned
adma	4	3	hatching_gland	endoderm	unassigned
myh9a	1	0	epidermis	hematopoietic_vasculature	unassigned
rab38b	2	6	notochord	PSM	unassigned
lmx1al	0	3	hematopoietic_vasculature	hemangioblasts	unassigned
her12	1	4	NMPs	tail_bud	unassigned
gata5	5	3	heart_myocardium	endoderm	unassigned
FRMD1	0	2	heart_myocardium	midbrain_hindbrain_boundary	unassigned
RYR2	1	0	enteric_neurons	differentiating_neurons	unassigned
dcst2	7	8	hematopoietic_vasculature	endoderm	unassigned
mespbb	3	4	PSM	muscle	unassigned
rbm24a	6	5	muscle	fast_muscle	unassigned
ccdc181	7	13	hemangioblasts	pronephros	unassigned
nr2f5	1	0	somites	neural_crest	unassigned
cyt1	1	0	epidermis	enteric_neurons	unassigned
adamts6	5	3	lateral_plate_mesoderm	pharyngeal_arches	unassigned
slc10a4	4	7	hemangioblasts	endoderm	unassigned
rem1	3	4	PSM	tail_bud	unassigned
gmip	4	7	hematopoietic_vasculature	hemangioblasts	unassigned
epha3	0	2	optic_cup	neural	unassigned
glsb	5	3	endoderm	notochord	unassigned
dkk2	2	9	endocrine_pancreas	pharyngeal_arches	unassigned
LO017711.1	2	6	neural_floor_plate	hatching_gland	unassigned
col6a3	5	3	somites	NMPs	unassigned
shisal1b	0	3	neural	heart_myocardium	unassigned
CABZ01065423.1	5	3	lateral_plate_mesoderm	pharyngeal_arches	unassigned
zyx	5	3	epidermis	endoderm	unassigned
fam49al	1	0	PSM	muscle	unassigned
olfml2bb	3	4	NMPs	neurons	unassigned
aqp9b	7	8	optic_cup	somites	unassigned
pappab	1	2	neural_telencephalon	optic_cup	unassigned
abtb2b	3	4	hematopoietic_vasculature	neural	unassigned
sept9b	0	2	pharyngeal_arches	muscle	unassigned
stard9	5	3	neural_crest	lateral_plate_mesoderm	unassigned
rcn3	5	3	notochord	pharyngeal_arches	unassigned
sst1.1	4	2	neural_telencephalon	neural_floor_plate	unassigned
arhgef28a	0	2	endocrine_pancreas	neurons	unassigned
htr4	5	3	hematopoietic_vasculature	notochord	unassigned
rrm2.1	1	11	neural_posterior	neural_optic	unassigned
hnf1ba	3	4	neurons	endoderm	unassigned
ncf1	4	2	hematopoietic_vasculature	endoderm	unassigned
pappaa	8	10	notochord	floor_plate	unassigned
rab34b	3	4	enteric_neurons	PSM	unassigned
sb:cb81	0	2	PSM	tail_bud	unassigned
trhde.2	0	1	enteric_neurons	muscle	unassigned
pabpc1a	1	11	hemangioblasts	midbrain_hindbrain_boundary	unassigned
hist1h2a11.4	7	8	hindbrain	PSM	left_bottom
ccdc80	8	10	notochord	hematopoietic_vasculature	unassigned
si:dkey-36i7.3	2	9	endoderm	notochord	unassigned
kcnq5a	6	5	somites	fast_muscle	unassigned
cdc42ep4a	1	4	endocrine_pancreas	pharyngeal_arches	unassigned
kazna	0	1	enteric_neurons	muscle	unassigned
si:ch73-367p23.2	6	5	muscle	fast_muscle	unassigned
afap1l2	0	3	hindbrain	neural_telencephalon	unassigned
fcer1gl	4	2	neural_telencephalon	hematopoietic_vasculature	unassigned
cx43.4	1	11	NMPs	tail_bud	unassigned
si:ch211-253p2.2	2	9	tail_bud	epidermis	unassigned
ap1m3	2	6	notochord	differentiating_neurons	unassigned
mical2a	2	9	epidermis	hemangioblasts	unassigned
hand2	5	4	heart_myocardium	pronephros	unassigned
slc13a2	2	9	endoderm	endocrine_pancreas	unassigned
apcdd1l	1	3	spinal_cord	optic_cup	unassigned
gulp1a	1	2	lateral_plate_mesoderm	notochord	unassigned
galt	1	0	lateral_plate_mesoderm	endocrine_pancreas	unassigned
mef2d	6	5	muscle	fast_muscle	unassigned
gata6	5	3	heart_myocardium	endoderm	unassigned
znf385c	0	1	differentiating_neurons	hemangioblasts	unassigned
rassf7b	5	3	endocrine_pancreas	endoderm	unassigned
her6	1	11	neural_optic	fast_muscle	unassigned
jph1a	6	5	muscle	notochord	unassigned
hpse2	0	3	enteric_neurons	notochord	unassigned
gprc5c	2	9	endoderm	endocrine_pancreas	unassigned
boka	2	9	hemangioblasts	endocrine_pancreas	unassigned
foxi2	0	2	endocrine_pancreas	optic_cup	unassigned
usp28	6	5	muscle	tail_bud	unassigned
hoxb3a	3	4	spinal_cord	PSM	unassigned
vamp5	4	7	hemangioblasts	neural_crest	unassigned
ACBD3	2	6	hatching_gland	notochord	unassigned
nrg3b	0	1	endocrine_pancreas	enteric_neurons	unassigned
si:ch211-152c2.3	3	4	neural_floor_plate	endocrine_pancreas	unassigned
pknox2	1	3	lateral_plate_mesoderm	pharyngeal_arches	unassigned
si:dkey-265e7.1	3	4	heart_myocardium	pronephros	unassigned
rpl7a	1	11	PSM	hemangioblasts	unassigned
sardh	1	0	neural_floor_plate	notochord	unassigned
etv2	4	7	hematopoietic_vasculature	pronephros	unassigned
pth3r	8	10	notochord	heart_myocardium	unassigned
draxin	1	0	PSM	differentiating_neurons	unassigned
chrna4b	3	4	NMPs	endoderm	unassigned
fezf1	0	2	neural_telencephalon	neural_optic	unassigned
rdh10a	3	4	somites	optic_cup	unassigned
arhgap24	5	3	notochord	endocrine_pancreas	unassigned
znf648	6	5	fast_muscle	somites	unassigned
sdk1a	0	1	hatching_gland	endocrine_pancreas	unassigned
CABZ01071903.1	8	10	notochord	NMPs	unassigned
hk2	1	0	hatching_gland	hemangioblasts	unassigned
myb	4	7	hemangioblasts	optic_cup	unassigned
BX663503.3	8	10	notochord	NMPs	unassigned
dmgdh	1	0	muscle	fast_muscle	unassigned
myt1la	0	1	enteric_neurons	differentiating_neurons	unassigned
zgc:123103	2	6	hatching_gland	endocrine_pancreas	unassigned
ndst3	0	2	hindbrain	neural_floor_plate	unassigned
si:ch73-335l21.2	2	9	tail_bud	PSM	unassigned
cdca8	1	11	PSM	hemangioblasts	unassigned
dzip1l	2	6	floor_plate	enteric_neurons	unassigned
hsp70.3	1	8	enteric_neurons	fast_muscle	unassigned
thbs3a	1	0	neural_telencephalon	floor_plate	unassigned
im:7142702	0	2	neural_telencephalon	neural_optic	unassigned
zgc:171775	2	9	epidermis	endoderm	unassigned
htr2cl1	0	1	endocrine_pancreas	lateral_plate_mesoderm	unassigned
efnb1	1	2	hindbrain	somites	unassigned
gbgt1l4	2	6	hatching_gland	endocrine_pancreas	unassigned
ptx3a	8	10	pharyngeal_arches	notochord	unassigned
ccnd2a	1	0	neural_floor_plate	hindbrain	unassigned
nanos3	9	12	endoderm	hematopoietic_vasculature	unassigned
krt96	3	4	epidermis	fast_muscle	unassigned
si:ch211-255p10.3	0	2	endoderm	optic_cup	unassigned
evpla	1	0	hatching_gland	muscle	unassigned
PDZD4	0	3	neural	midbrain_hindbrain_boundary	unassigned
s100u	1	0	hatching_gland	endoderm	unassigned
pimr128	7	8	lateral_plate_mesoderm	neural_telencephalon	unassigned
CABZ01073033.2	5	3	epidermis	endoderm	unassigned
itpkcb	1	0	hatching_gland	hematopoietic_vasculature	unassigned
smyd3	1	0	pronephros	PSM	unassigned
gramd4a	2	6	hatching_gland	differentiating_neurons	unassigned
cfap58	7	13	hatching_gland	hematopoietic_vasculature	unassigned
pou3f3a	0	2	midbrain_hindbrain_boundary	floor_plate	unassigned
cacna1bb	0	1	differentiating_neurons	neural_telencephalon	unassigned
rtn1a	0	2	enteric_neurons	differentiating_neurons	unassigned
stxbp5l	0	1	enteric_neurons	hemangioblasts	unassigned
tbx2a	5	3	optic_cup	pronephros	unassigned
kif11	1	11	neural_telencephalon	NMPs	unassigned
plp2	3	4	notochord	PSM	unassigned
rell2	4	7	hemangioblasts	hematopoietic_vasculature	unassigned
si:dkey-5n18.1	4	2	notochord	hematopoietic_vasculature	unassigned
ptpn5	0	1	neural_telencephalon	differentiating_neurons	unassigned
lft1	3	4	neural_telencephalon	notochord	unassigned
zgc:174153	2	6	hatching_gland	endocrine_pancreas	unassigned
fgfr3	1	2	floor_plate	neural_posterior	unassigned
tspan18b	5	3	hematopoietic_vasculature	pronephros	unassigned
kank4	4	7	hemangioblasts	enteric_neurons	unassigned
si:dkey-222b8.1.1	1	3	heart_myocardium	lateral_plate_mesoderm	unassigned
lrfn5a	3	4	tail_bud	endocrine_pancreas	unassigned
CABZ01073265.1	5	3	hatching_gland	pharyngeal_arches	unassigned
mef2aa	1	0	neural_optic	hematopoietic_vasculature	unassigned
fgf3	8	10	notochord	NMPs	unassigned
etnk1	1	0	hatching_gland	pronephros	unassigned
mpz	0	2	neural_posterior	hindbrain	unassigned
sptbn1	1	0	muscle	notochord	unassigned
SLC39A11	1	0	hatching_gland	notochord	unassigned
fstl5	1	3	neural	muscle	unassigned
rspo3	0	3	pharyngeal_arches	lateral_plate_mesoderm	unassigned
zgc:153151	2	6	hatching_gland	muscle	unassigned
txlnba	6	5	muscle	fast_muscle	unassigned
dlb	0	1	enteric_neurons	differentiating_neurons	unassigned
bzw1a	1	11	hatching_gland	hematopoietic_vasculature	unassigned
frya	8	10	notochord	pharyngeal_arches	unassigned
svilc	6	5	muscle	fast_muscle	unassigned
dub	6	5	muscle	somites	unassigned
mybpc1	5	3	lateral_plate_mesoderm	neural	unassigned
lpar1	3	4	tail_bud	somites	unassigned
hoxd4a	3	4	neurons	neural_posterior	unassigned
FQ976914.1	4	7	hatching_gland	hematopoietic_vasculature	unassigned
CU633838.1	5	3	pharyngeal_arches	lateral_plate_mesoderm	unassigned
slc6a15	0	1	differentiating_neurons	enteric_neurons	unassigned
srgn	4	2	hematopoietic_vasculature	hemangioblasts	unassigned
zgc:110410	7	8	midbrain_hindbrain_boundary	neurons	unassigned
pmaip1	1	0	hemangioblasts	hatching_gland	unassigned
pdzrn3b	5	3	heart_myocardium	endoderm	unassigned
mctp1a	0	1	muscle	enteric_neurons	unassigned
pcdh7a	0	1	epidermis	hatching_gland	unassigned
nuak1b	1	0	notochord	epidermis	unassigned
abcc8	0	1	differentiating_neurons	lateral_plate_mesoderm	unassigned
sema3fa	1	2	endocrine_pancreas	floor_plate	unassigned
ppp1r13ba	5	3	hematopoietic_vasculature	heart_myocardium	unassigned
ksr1a	6	5	muscle	differentiating_neurons	unassigned
apobec2a	6	5	muscle	PSM	unassigned
slc8a2b	0	1	enteric_neurons	differentiating_neurons	unassigned
limch1a	6	5	fast_muscle	muscle	unassigned
ralgps2	1	0	somites	fast_muscle	unassigned
gfra4a	3	4	tail_bud	NMPs	unassigned
s1pr5a	5	4	endoderm	fast_muscle	unassigned
tnnt2c	6	5	muscle	enteric_neurons	unassigned
atp2b3b	0	1	enteric_neurons	differentiating_neurons	unassigned
midn	1	0	hindbrain	neural	unassigned
gata3	3	4	epidermis	endocrine_pancreas	unassigned
nr2f1b	0	2	neural_floor_plate	neural	unassigned
meis2a.1	1	2	neurons	neural_posterior	unassigned
rc3h2	6	5	muscle	fast_muscle	unassigned
mboat2a	3	4	PSM	muscle	unassigned
FO904970.1	2	6	lateral_plate_mesoderm	hatching_gland	unassigned
loxl3b	5	3	notochord	lateral_plate_mesoderm	unassigned
ntd5	3	4	notochord	muscle	unassigned
micall1b.2	2	6	lateral_plate_mesoderm	hatching_gland	unassigned
myl10	1	0	muscle	enteric_neurons	unassigned
grin3ba	0	1	neural_telencephalon	neural	unassigned
ela2l	4	7	hemangioblasts	neural_posterior	unassigned
si:ch211-69b22.5	0	2	neural_optic	somites	unassigned
tgm2l	3	4	notochord	muscle	unassigned
cldnf	2	9	hatching_gland	endoderm	unassigned
cd248a	5	3	pharyngeal_arches	lateral_plate_mesoderm	unassigned
fhod3b	1	0	hindbrain	muscle	unassigned
gdf6b	0	2	spinal_cord	endoderm	unassigned
mylk4b	6	5	muscle	fast_muscle	unassigned
qrfpra	6	5	muscle	fast_muscle	unassigned
pi15a	6	5	somites	muscle	unassigned
rx2	0	2	optic_cup	hatching_gland	unassigned
fam102ab	2	6	hatching_gland	endocrine_pancreas	unassigned
uacab	1	0	hindbrain	neural	unassigned
ahr1b	0	2	midbrain_hindbrain_boundary	optic_cup	unassigned
gjd2b	7	8	endocrine_pancreas	neural_optic	unassigned
si:ch73-281f12.4	4	7	hematopoietic_vasculature	hemangioblasts	unassigned
ece2b	1	0	neural_telencephalon	endoderm	unassigned
gabrg2	0	1	hematopoietic_vasculature	differentiating_neurons	unassigned
igsf21a	0	1	lateral_plate_mesoderm	endocrine_pancreas	unassigned
slc6a1l	2	6	hatching_gland	tail_bud	unassigned
sim1b	2	9	hemangioblasts	endocrine_pancreas	unassigned
pip5k1ca	8	10	notochord	NMPs	unassigned
tgm2b	5	3	pronephros	pharyngeal_arches	unassigned
otx1	1	0	neural_optic	floor_plate	unassigned
rgmd	1	2	somites	neural_optic	unassigned
parp6b	0	1	differentiating_neurons	enteric_neurons	unassigned
si:dkey-239j18.3	2	6	hatching_gland	hematopoietic_vasculature	unassigned
BSN	0	1	differentiating_neurons	neural	unassigned
mast1a	0	1	enteric_neurons	neural_posterior	unassigned
gnb5a	0	1	enteric_neurons	differentiating_neurons	unassigned
si:dkey-177p2.18	2	6	neural_telencephalon	hatching_gland	unassigned
calr	1	0	hatching_gland	notochord	unassigned
