source,target,coef_abs
hmga1a,hmgb2b,0.381834
hmga1a,hsp90ab1,0.33221257
hmga1a,eef2b,0.31642503
hmga1a,hmgn2,0.30410907
hmga1a,ptmab,0.30023405
hmga1a,hmgb2a,0.29490644
hmga1a,si:ch73-281n10.2,0.29463208
hmga1a,rpl7a,0.28838748
hmga1a,rplp0,0.28204829
hmga1a,rplp1,0.27744398
hmga1a,eef1a1l1,0.27541962
hmga1a,rps2,0.27385852
hmga1a,rps6,0.27241617
hmga1a,tuba8l4,0.27053732
hmga1a,tubb2b,0.26464027
hmga1a,rpl12,0.26146945
hmga1a,rpl18a,0.26110226
hmga1a,stmn1a,0.2574906
hmga1a,eif5a2,0.25578797
hmga1a,rpl24,0.23583746
hmga1a,hmgb1b,0.22877344
hmga1a,cfl1,0.22564583
hmga1a,ncl,0.15801777
hmga1a,setb,0.15435672
hmga1a,marcksl1a,0.1491086
hmga1a,rrm2,0.13789071
hmga1a,prmt1,0.13501683
meis3,tenm4,0.12782167
hmga1a,mki67,0.12170062
irx3a,mdka,0.12082665
pax7a,cntfr,0.116496325
hmga1a,nap1l1,0.11611928
irx3a,pax3a,0.10627936
irx3a,pax7a,0.10364932
sox21a,serbp1a,0.099483386
pax6a,fgfr3,0.09944449
rx1,rpl3,0.09740558
rx1,fabp7a,0.097285464
sox21a,hspa8,0.09665628
hmga1a,pdap1a,0.09563014
rfx4,ntn1a,0.095353335
hmga1a,dkc1,0.09466871
her9,tpt1,0.09387945
hmga1a,sox21a,0.09290715
rfx4,tenm4,0.091567606
sox21a,rps20,0.09155186
sox21a,pcna,0.090734966
sox21a,ppiaa,0.089998074
sox21a,rpsa,0.08989369
hmga1a,npm1a,0.08851017
sox21a,cirbpa,0.087837406
rx1,hspe1,0.087214254
sox21a,banf1,0.087176725
rx1,cirbpa,0.08649602
rx1,nme2b.1,0.08620442
hmga1a,fbl,0.085999876
sox21a,mdka,0.08503647
rx1,pcna,0.084351435
myog,apoc1,0.08397533
sox21a,nucks1a,0.08393741
hmga1a,ddx21,0.083615206
rx1,rps20,0.082987785
tp53,ccng1,0.08256745
rfx4,cntfr,0.08243117
mef2d,pax3a,0.08208191
rx1,hspa8,0.08202636
rx1,nop58,0.08122672
nr2f1b,fgfr2,0.08104438
sox21a,tuba1a,0.08086418
hmga1a,aldob,0.08082618
hmga1a,si:ch73-21g5.7,0.0801268
rx1,rpsa,0.080093354
sox6,cirbpa,0.07985898
sox11b,id1,0.07970783
irx3a,boc,0.07967069
sox6,tuba1a,0.0795886
sox6,rnf220a,0.079061255
sox6,serbp1a,0.07888412
mef2aa,pax3a,0.078774646
sox21a,hmga1a,0.07874169
sox21a,h3f3d,0.07731193
msx1b,ntn1a,0.075604096
sox21a,fabp7a,0.07532342
rx1,ppiaa,0.07530041
hmga1a,tuba8l,0.074684486
rx1,snu13b,0.0740257
msx1b,mdkb,0.073651455
irx3a,nucks1a,0.07364773
thrab,mdka,0.07251748
her9,nme2b.1,0.0722269
pax7a,pax7b,0.07216271
her9,seta,0.07129678
en2b,efna2a,0.07112353
hmga1a,mcm6,0.06986742
sox6,nucks1a,0.06914584
irx3a,histh1l,0.06858344
mef2d,neo1a,0.06822656
hmga1a,ccng1,0.0682245
hmga1a,apoc1,0.067565344
sox21a,cdon,0.06722685
sox21a,mibp2,0.06637751
sox21a,ptmaa,0.0656652
nr2f6b,mdka,0.065305
rx1,nop56,0.065039694
hmga1a,rsl1d1,0.064674184
hmga1a,sfrp5,0.06407055
tbx2a,serbp1a,0.06405286
sox21a,id1,0.063859105
hmga1a,qkia,0.06288109
msx1b,tenm4,0.06280275
hmga1a,ccnd1,0.06262641
myog,histh1l,0.062405154
myog,rps20,0.062237144
rx1,tpt1,0.061685365
mef2ca,rbm28,0.061403386
rx1,seta,0.061172545
six3b,rps20,0.061147526
irx3a,id1,0.060746025
her9,fabp3,0.06066657
sox21a,fabp3,0.060189612
rx1,h3f3b.1,0.059491556
irx3a,kirrel3l,0.059281852
pbx3b,pcdh19,0.058501076
nr2f1b,ntn1a,0.058423422
her9,tuba8l4,0.05806487
hmga1a,pcdh19,0.05734298
foxn3,ntn1a,0.05725845
mef2d,fgfr3,0.057021532
rx1,dkc1,0.0562976
six3b,cirbpa,0.05618534
rx1,tuba8l4,0.05607362
foxd1,mcm2,0.055848032
sox11b,dla,0.05528579
foxg1d,serbp1a,0.054511778
pax6b,id1,0.05436024
meis2a,tenm4,0.054155793
rx1,rpl12,0.054140713
tp53,serbp1a,0.05411014
sox6,col18a1a,0.054102685
sox11b,aspm,0.054056413
nr6a1b,slc1a3a,0.053979397
rx1,hmga1a,0.05384868
hmx4,fabp7a,0.05370083
sox6,id1,0.053560164
sox6,ppiaa,0.05350869
irx3a,h3f3b.1,0.0534259
irx3a,sox11a,0.053145323
rx1,rpl7a,0.05313273
rx1,fabp11a,0.053132333
mafba,tenm4,0.053118728
sox11b,hmga1a,0.053116173
rx1,npm1a,0.0530544
sox21a,ptmab,0.052945357
sox11b,ube2c,0.052917834
sox13,cdon,0.052889936
dbx1a,rpl3,0.052825328
dlx2b,tenm4,0.052818876
pax5,efna2a,0.052795045
rx1,hmgb2b,0.052624717
sox21a,hmgb2a,0.05246082
hmga1a,gstp1,0.0523942
pax3a,rnf220a,0.05231133
en2b,h3f3b.1,0.05222014
sox21a,rps6,0.05215816
foxn3,cdon,0.05213506
sox6,ptmaa,0.05205288
hmga1a,sox11b,0.051979426
vsx2,snu13b,0.05194218
sox6,hspa8,0.05184053
pbx3b,mdka,0.051825106
rx1,setb,0.051718585
hmga1a,tuba1b,0.051637053
sox13,mdka,0.051628295
etv4,rpl3,0.051589403
msx1a,mdkb,0.051527068
mef2d,pax6a,0.05151779
rx1,h3f3d,0.05146262
nr2f1b,epha4b,0.05114892
