"","degree_all","degree_in","degree_out","clustering_coefficient","clustering_coefficient_weighted","degree_centrality_all","degree_centrality_in","degree_centrality_out","betweenness_centrality","closeness_centrality","eigenvector_centrality","page_rank","assortative_coefficient","average_path_length","community_random_walk","module","connectivity","participation","role"
"hmga1a",99,29,70,0.0861842105263158,0.102546863016937,0.235714285714286,0.0690476190476191,0.166666666666667,5436,0.140460463806147,1,0.00457753319272144,-0.0968267319470704,0.0667617997033273,2,0,4.56078557874277,0.571397569444445,"Connector Hub"
"irx3a",87,0,87,0.0294039026998129,0.0310846895104716,0.207142857142857,0,0.207142857142857,0,0.102416232778223,0.311538658658311,0.00163060776790318,-0.0968267319470704,0.0667617997033273,2,4,4.69488695184985,0.746465847536002,"Connector Hub"
"myog",22,0,22,0,0,0.0523809523809524,0,0.0523809523809524,0,1.40796095591358,0.0736192615002097,0.00163060776790318,-0.0968267319470704,0.0667617997033273,2,3,1.1701396694915,0.644628099173554,"Connector"
"rx1",85,0,85,0.0187675070028011,0.0178651708009322,0.202380952380952,0,0.202380952380952,0,0.111584066307078,0.441871272025376,0.00163060776790318,-0.0968267319470704,0.0667617997033273,2,0,4.19179272063703,0.532871972318339,"Connector Hub"
"mef2ca",6,0,6,0.0666666666666667,0.0480392354184126,0.0142857142857143,0,0.0142857142857143,0,0.0799424297118611,0.0125575965590145,0.00163060776790318,-0.0968267319470704,0.0667617997033273,5,2,-0.161620368352453,0.5,"Peripheral"
"her9",34,7,27,0.0998217468805704,0.101951766963022,0.080952380952381,0.0166666666666667,0.0642857142857143,548,0.0873864524811818,0.115833069567652,0.00202952653200924,-0.0968267319470704,0.0667617997033273,2,0,1.14760164126465,0.527681660899654,"Peripheral"
"rfx4",17,1,16,0.00735294117647059,0.0053596650806734,0.0404761904761905,0.00238095238095238,0.0380952380952381,283,0.0641824584535898,0.00990459566391847,0.00175269931239529,-0.0968267319470704,0.0667617997033273,2,3,1.6542098904631,0.532871972318339,"Peripheral"
"sox21a",63,5,58,0.0639873083024855,0.0610279719051698,0.15,0.0119047619047619,0.138095238095238,685,0.0947467752280232,0.386623383219459,0.00178978796233027,-0.0968267319470704,0.0667617997033273,2,0,1.7933391429497,0.691987513007284,"Connector"
"nr2f1b",29,0,29,0.0221674876847291,0.0171041238106357,0.0690476190476191,0,0.0690476190476191,0,0.0893985378865643,0.0250473135862883,0.00163060776790318,-0.0968267319470704,0.0667617997033273,1,3,4.55863121629269,0.349583828775268,"Connector Hub"
"tp53",16,0,16,0,0,0.0380952380952381,0,0.0380952380952381,0,2.07113206993669,0.0343549256983466,0.00163060776790318,-0.0968267319470704,0.0667617997033273,2,4,0.28485830943808,0.671875,"Connector"
"pax6b",44,0,44,0.0412262156448203,0.0350781186104501,0.104761904761905,0,0.104761904761905,0,0.125449604946997,0.140413736179693,0.00163060776790318,-0.0968267319470704,0.0667617997033273,2,0,1.70109092842327,0.546487603305785,"Peripheral"
"pax7a",32,3,29,0.0866935483870968,0.0971593902008898,0.0761904761904762,0.00714285714285714,0.0690476190476191,54,0.107198033247375,0.105139080736149,0.00171728052364205,-0.0968267319470704,0.0667617997033273,2,0,0.778608783158908,0.611328125,"Peripheral"
