timepoint,timepoint_num,accessible_count,not_accessible_count,accessible_pct,not_accessible_pct
30somites,30,314746,44,99.98602242765018,0.013977572349816114
20somites,20,314768,22,99.99301121382508,0.0069887861749151625
0somites,0,314770,20,99.9936465580228,0.006353441977196894
10somites,10,314770,20,99.9936465580228,0.006353441977196894
5somites,5,314771,19,99.99396423012166,0.00603576987833776
15somites,15,314780,10,99.99682327901141,0.0031767209885913417
