timepoint,mean_presence,median_presence,std_presence,total_pairs,pairs_50pct,pairs_80pct,pairs_90pct
TDR126,0.972927016547226,0.967741935483871,0.028718200778578763,1502238,1502238,1498402,1474178
TDR127,0.9983218389903386,1.0,0.01435070076824275,1333026,1333026,1330210,1326482
TDR128,0.9923296285927988,1.0,0.037125098820420824,1452594,1452574,1438166,1426330
TDR118,0.9977376557526503,1.0,0.018842815611622193,1240506,1240162,1238162,1237630
TDR125,0.9971848399448965,1.0,0.025793865474783087,1130790,1130110,1128214,1125562
TDR124,0.9817652783754478,1.0,0.052302486960210226,864468,863152,854996,816224
